##NAMES=Ancylite-(Ce)
##RRUFFID=R060218
##IDEAL CHEMISTRY=CeSr(CO_3_)_2_(OH)&#183;H_2_O
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Royal Ontario Museum
##DESCRIPTION=Pale pink prismatic crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060218
##MEASURED CHEMISTRY=(Ce_0.40_(La,Pr)_0.23_Ca_0.18_Nd_0.10_Sr_0.09_)_Σ=1_CO_3_((OH)_0.67_(H_2_O)_0.27_F_0.06_)_Σ=1_
507.8938, 0.6127020
508.3759, 3.9092001E-02
508.8580, 0.1278510
509.3401, 0.4671610
509.8223, 1.300664
510.3044, 0.1230560
510.7865, 0.7200820
511.2686, 0.8347140
511.7507, 0.5284530
512.2328, 0.2578430
512.7150, 0.9055940
513.1971, 0.7009210
513.6792, 0.1848520
514.1613, 0.5676980
514.6434, 9.0893000E-02
515.1255, 0.1437430
515.6077, 1.217480
516.0898, 3.667954
516.5719, 4.733593
517.0540, 2.841491
517.5361, 1.225009
518.0182, 1.537464
518.5004, 3.082810
518.9825, 4.868094
519.4646, 6.661435
519.9467, 8.086171
520.4288, 8.590424
520.9109, 7.995409
521.3931, 7.374727
521.8752, 6.282076
522.3573, 5.816185
522.8394, 6.448574
523.3215, 7.844653
523.8036, 9.719635
524.2858, 11.91852
524.7679, 13.95929
525.2500, 14.86603
525.7321, 14.33736
526.2142, 14.18158
526.6964, 14.85375
527.1785, 15.52726
527.6606, 15.42821
528.1427, 15.05913
528.6248, 15.71662
529.1069, 18.57301
529.5891, 21.60692
530.0712, 21.51556
530.5533, 18.53184
531.0354, 16.73116
531.5175, 17.50721
531.9996, 19.43959
532.4818, 21.08352
532.9639, 22.45085
533.4460, 23.51412
533.9281, 24.67540
534.4102, 25.19342
534.8923, 23.70669
535.3745, 20.97143
535.8566, 19.56558
536.3387, 20.78741
536.8208, 23.51356
537.3029, 25.46020
537.7850, 26.47558
538.2672, 26.98249
538.7493, 26.29242
539.2314, 25.75992
539.7135, 26.28517
540.1956, 27.63845
540.6777, 29.14813
541.1599, 30.47109
541.6420, 31.48350
542.1241, 31.81214
542.6062, 31.29142
543.0883, 30.62867
543.5704, 30.12052
544.0526, 29.34367
544.5347, 27.51025
545.0168, 24.97643
545.4989, 23.44184
545.9810, 24.81252
546.4631, 27.13015
546.9453, 26.66719
547.4274, 23.53300
547.9095, 21.94481
548.3916, 24.12156
548.8737, 28.09720
549.3558, 30.42878
549.8380, 30.96269
550.3201, 31.45304
550.8022, 32.39984
551.2843, 33.26965
551.7664, 33.80235
552.2485, 33.88454
552.7307, 33.00884
553.2128, 30.72087
553.6949, 27.99352
554.1770, 27.76862
554.6591, 33.01807
555.1412, 35.39557
555.6234, 32.78783
556.1055, 29.34840
