##NAMES=Enargite
##RRUFFID=R070176
##IDEAL CHEMISTRY=Cu_3_AsS_4_
##LOCALITY=Zuni Mine (Zuñi Mine), Anvil Mountain, Silverton, Silverton District, San Juan County, Colorado, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Massive fine grained dark gray metallic, associated with zunyite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070176
333.4408, 10033.07
333.9229, 10651.39
334.4050, 11309.96
334.8871, 11973.07
335.3692, 12639.63
335.8513, 13304.80
336.3335, 14015.21
336.8156, 14679.72
337.2977, 15306.91
337.7798, 15853.28
338.2619, 16245.57
338.7440, 16436.54
339.2262, 16423.77
339.7083, 16191.23
340.1904, 15717.81
340.6725, 15032.83
341.1546, 14094.05
341.6367, 12998.60
342.1189, 11824.20
342.6010, 10589.75
343.0831, 9357.486
343.5652, 8193.938
344.0473, 7090.815
344.5294, 6109.634
345.0116, 5281.386
345.4937, 4567.924
345.9758, 3944.484
346.4579, 3406.429
346.9400, 2941.172
347.4221, 2547.929
347.9043, 2221.280
348.3864, 1951.907
348.8685, 1748.708
349.3506, 1571.529
349.8327, 1397.587
350.3148, 1230.275
350.7970, 1078.666
351.2791, 942.3159
351.7612, 823.3833
352.2433, 726.3335
352.7254, 648.7095
353.2076, 579.1968
353.6897, 513.8032
354.1718, 453.4878
354.6539, 400.1743
355.1360, 352.0659
355.6181, 313.6641
356.1003, 298.4507
356.5824, 286.6489
357.0645, 251.1602
357.5466, 188.7959
358.0287, 124.8530
358.5108, 85.14697
358.9930, 72.93213
359.4751, 68.82520
359.9572, 86.08789
360.4393, 95.34424
360.9214, 80.16602
361.4035, 49.48926
361.8857, 18.26855
362.3678, 6.182129
362.8499, 24.29102
363.3320, 37.08105
363.8141, 42.74609
364.2962, 45.32373
364.7784, 45.28320
365.2605, 42.96826
365.7426, 37.36914
366.2247, 28.82471
366.7068, 20.21289
367.1889, 15.60840
367.6711, 15.38477
368.1532, 12.30273
368.6353, 5.943848
369.1174, 3.723633
369.5995, 16.21240
370.0816, 31.52051
370.5638, 50.32715
371.0459, 75.14941
371.5280, 102.8066
372.0101, 124.8896
372.4922, 138.0273
372.9743, 152.5752
373.4565, 174.2231
373.9386, 198.9380
374.4207, 223.4844
374.9028, 249.1592
375.3849, 266.2334
375.8670, 257.2573
376.3492, 238.3276
376.8313, 245.8457
377.3134, 288.4424
377.7955, 335.7793
378.2776, 359.8667
378.7597, 359.8330
379.2419, 364.1553
379.7240, 373.1807
380.2061, 386.5142
380.6882, 406.5151
381.1703, 431.0254
381.6524, 454.0664
382.1346, 472.3198
382.6167, 486.7930
383.0988, 503.9097
383.5809, 529.2549
384.0630, 552.1807
384.5451, 571.7319
385.0273, 586.6216
385.5094, 593.8276
385.9915, 595.2642
386.4736, 597.8052
386.9557, 609.3608
387.4378, 630.2373
387.9200, 643.7822
388.4021, 638.7617
388.8842, 640.2192
389.3663, 660.3286
389.8484, 689.4219
390.3305, 712.3564
390.8127, 722.2383
391.2948, 730.3613
391.7769, 755.1392
392.2590, 797.7832
392.7411, 838.0845
393.2232, 872.6567
393.7054, 903.2661
394.1875, 931.6792
394.6696, 956.4785
395.1517, 975.4370
395.6338, 989.8130
396.1159, 997.2319
396.5981, 990.7622
397.0802, 969.1982
397.5623, 947.3848
398.0444, 941.5073
398.5265, 941.1924
399.0086, 908.5200
399.4908, 819.0972
399.9729, 730.2412
400.4550, 661.1880
400.9371, 607.7881
401.4192, 566.3604
401.9013, 535.3345
402.3835, 504.9854
402.8656, 460.1538
403.3477, 392.7437
403.8298, 342.8608
404.3119, 308.8003
404.7940, 289.5337
405.2762, 298.2271
405.7583, 321.1968
406.2404, 327.7075
406.7225, 297.3169
407.2046, 244.1523
407.6867, 214.5840
408.1689, 220.5693
408.6510, 225.9521
409.1331, 222.9136
409.6152, 217.9907
410.0973, 216.3589
410.5794, 218.4458
411.0616, 220.6235
411.5437, 220.6826
412.0258, 218.4531
412.5079, 213.2227
412.9900, 205.7461
413.4721, 193.4800
413.9543, 168.5508
414.4364, 138.1958
414.9185, 116.1709
415.4006, 105.0107
415.8827, 102.5718
416.3648, 114.4893
416.8470, 134.6431
417.3291, 143.1172
417.8112, 132.5752
418.2933, 113.0967
418.7754, 96.97900
419.2575, 84.33984
419.7397, 74.55029
420.2218, 70.38770
420.7039, 66.59033
421.1860, 57.79492
421.6681, 46.36768
422.1502, 40.00635
422.6324, 44.17822
423.1145, 55.52148
423.5966, 60.22510
424.0787, 52.48633
424.5608, 47.82666
425.0429, 52.97559
425.5250, 56.75732
426.0071, 47.69482
426.4893, 26.36084
426.9714, 6.162598
427.4535, 2.154785
427.9356, 12.14404
428.4177, 11.18359
428.8998, 11.77393
429.3820, 25.07373
429.8641, 2.705078
430.3462, 44.96875
430.8283, 62.02295
431.3104, 37.02686
431.7925, 3.942383
432.2747, 11.53516
432.7568, 12.25586
433.2389, 7.595215
433.7210, 0.8735350
434.2031, 11.40332
434.6852, 23.39551
435.1674, 37.25879
435.6495, 45.80615
436.1316, 45.75000
436.6137, 42.87109
437.0958, 41.50879
437.5779, 40.19922
438.0601, 33.41699
438.5422, 17.85986
439.0243, 0.8051760
439.5064, 7.664063
439.9885, 10.72363
440.4706, 15.90381
440.9528, 6.647949
441.4349, 29.02246
441.9170, 33.63721
442.3991, 21.05518
442.8812, 1.377441
443.3633, 20.27637
443.8455, 42.27979
444.3276, 58.19678
444.8097, 67.79297
445.2918, 71.98633
445.7739, 67.67090
446.2560, 59.71777
446.7382, 53.14600
447.2203, 49.00488
447.7024, 42.65186
448.1845, 23.81250
448.6666, 2.001953
449.1487, 3.125488
449.6309, 32.52979
450.1130, 57.38623
450.5951, 47.30176
451.0772, 7.578125
451.5593, 7.090820
452.0414, 25.63965
452.5236, 54.93408
453.0057, 60.35352
453.4878, 53.99609
453.9699, 52.52637
454.4520, 60.83057
454.9341, 73.65186
455.4163, 85.41748
455.8984, 97.55859
456.3805, 100.3618
456.8626, 85.69336
457.3447, 69.60596
457.8268, 49.86768
458.3090, 33.53125
458.7911, 35.02832
459.2732, 63.95312
459.7553, 96.52197
460.2374, 90.85986
460.7195, 46.05664
461.2017, 23.62402
461.6838, 47.69238
462.1659, 81.24023
462.6480, 89.39258
463.1301, 76.46533
463.6122, 65.89893
464.0944, 69.43701
464.5765, 73.82812
465.0586, 63.74609
465.5407, 43.10938
466.0228, 27.87256
466.5049, 24.84326
466.9871, 31.79541
467.4692, 44.88770
467.9513, 70.72852
468.4334, 89.19434
468.9155, 100.9517
469.3976, 105.0269
469.8798, 94.39697
470.3619, 74.90283
470.8440, 61.86963
471.3261, 65.76123
471.8082, 81.31689
472.2903, 93.74854
472.7725, 103.7119
473.2546, 108.5728
473.7367, 110.4062
474.2188, 104.3735
474.7009, 77.59424
475.1830, 33.29688
475.6652, 4.813965
476.1473, 26.53564
476.6294, 70.44824
477.1115, 85.57568
477.5936, 70.02246
478.0757, 54.13428
478.5579, 52.62354
479.0400, 61.64795
479.5221, 73.62451
480.0042, 96.91260
480.4863, 104.6753
480.9684, 75.49805
481.4506, 39.41602
481.9327, 23.90527
482.4148, 30.71094
482.8969, 48.26123
483.3790, 69.60254
483.8611, 91.79590
484.3433, 98.02441
484.8254, 77.41992
485.3075, 57.94043
485.7896, 38.78076
486.2717, 26.12598
