##NAMES=Artroeite
##RRUFFID=R100034
##IDEAL CHEMISTRY=PbAlF_3_(OH)_2_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Natural History Museum of Los Angeles County
##DESCRIPTION=Colorless fragments from the type specimen, associated with calcioaravaipaite R100033.  Photos of type specimen are courtesy of LACMNH.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100034
511.8622, 13.60379
512.3443, 14.88412
512.8264, 15.53775
513.3085, 16.30624
513.7906, 18.18607
514.2728, 20.34875
514.7549, 21.60309
515.2370, 21.45654
515.7191, 21.20557
516.2012, 21.31824
516.6833, 21.92746
517.1655, 23.23840
517.6476, 26.34409
518.1297, 29.14862
518.6118, 30.90732
519.0939, 31.66370
519.5760, 32.10300
520.0582, 31.41232
520.5403, 31.19183
521.0224, 32.31714
521.5045, 35.67886
521.9866, 37.75418
522.4688, 38.15533
522.9509, 37.68942
523.4330, 37.20395
523.9151, 36.61618
524.3972, 36.51657
524.8793, 37.24576
525.3615, 38.35529
525.8436, 38.47543
526.3257, 37.62476
526.8078, 37.01208
527.2899, 37.54013
527.7720, 38.78442
528.2542, 39.82724
528.7363, 40.62766
529.2184, 41.25623
529.7005, 41.47803
530.1826, 41.64850
530.6647, 42.31610
531.1469, 44.03250
531.6290, 45.59671
532.1111, 45.62646
532.5932, 45.05753
533.0753, 45.79208
533.5574, 49.93082
534.0396, 53.97430
534.5217, 56.39697
535.0038, 56.98428
535.4859, 58.72006
535.9680, 62.64581
536.4501, 66.74594
536.9323, 69.79987
537.4144, 71.34274
537.8965, 73.20877
538.3786, 75.45889
538.8607, 77.99829
539.3428, 80.50058
539.8250, 82.93771
540.3071, 86.19794
540.7892, 90.88733
541.2713, 96.24792
541.7534, 99.85367
542.2355, 101.9646
542.7177, 104.5622
543.1998, 110.0193
543.6819, 116.4278
544.1640, 120.4108
544.6461, 121.5850
545.1282, 122.7776
545.6104, 126.2693
546.0925, 130.7691
546.5746, 134.8983
547.0567, 138.7974
547.5388, 141.6481
548.0209, 142.4260
548.5031, 141.9059
548.9852, 141.8452
549.4673, 143.6785
549.9494, 144.5823
550.4315, 143.6351
550.9136, 140.8828
551.3958, 138.5782
551.8779, 136.8244
