##NAMES=Tellurite
##RRUFFID=R070606
##IDEAL CHEMISTRY=TeO_2_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless massive crystalline, associated with quartz and tellurium
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070606
563.2795, 806.7745
563.7617, 859.2586
564.2438, 912.3889
564.7259, 966.4160
565.2080, 1013.272
565.6901, 1048.295
566.1722, 1081.611
566.6544, 1115.110
567.1365, 1149.181
567.6186, 1184.514
568.1007, 1221.039
568.5828, 1259.831
569.0649, 1303.371
569.5471, 1349.686
570.0292, 1392.007
570.5113, 1429.211
570.9934, 1465.297
571.4755, 1504.956
571.9576, 1547.660
572.4398, 1582.490
572.9219, 1604.855
573.4040, 1624.957
573.8861, 1644.531
574.3682, 1663.930
574.8503, 1685.910
575.3325, 1710.293
575.8146, 1731.247
576.2967, 1742.312
576.7788, 1743.369
577.2609, 1734.914
577.7430, 1709.071
578.2252, 1684.897
578.7073, 1672.965
579.1894, 1665.502
579.6715, 1652.494
580.1536, 1631.374
580.6357, 1604.072
581.1179, 1572.917
581.6000, 1537.086
582.0822, 1492.510
582.5643, 1437.435
583.0464, 1380.953
583.5285, 1330.970
584.0106, 1287.114
584.4927, 1240.266
584.9749, 1191.059
585.4570, 1138.422
585.9391, 1075.984
586.4212, 1011.851
586.9033, 957.7084
587.3854, 915.6279
587.8676, 876.9335
588.3497, 831.1083
588.8318, 777.7023
589.3139, 730.9294
589.7960, 696.6116
590.2781, 659.1562
590.7603, 605.8889
591.2424, 549.8426
591.7245, 508.2785
592.2066, 486.7879
592.6887, 469.5149
593.1708, 445.9758
593.6530, 417.9833
594.1351, 389.5452
594.6172, 361.3127
595.0993, 332.0593
595.5814, 300.3315
596.0635, 266.8475
596.5457, 236.8353
597.0278, 209.0733
597.5099, 185.8356
597.9920, 170.6710
598.4741, 158.3569
598.9562, 143.8276
599.4384, 126.3558
599.9205, 107.7550
600.4026, 87.57214
600.8847, 67.61737
601.3668, 62.60986
601.8489, 81.50562
602.3311, 94.02594
602.8132, 85.28662
603.2953, 66.52417
603.7774, 45.40350
604.2595, 21.75055
604.7416, 6.288635
605.2238, 10.73688
605.7059, 23.24023
606.1880, 27.21210
606.6701, 22.29517
607.1522, 17.98480
607.6343, 20.02209
608.1165, 26.91534
608.5986, 33.75934
609.0807, 39.44653
609.5628, 46.87189
610.0449, 57.42950
610.5270, 68.56091
611.0092, 78.46716
611.4913, 87.36279
611.9734, 96.20361
612.4555, 105.1168
612.9376, 115.1384
613.4197, 129.3494
613.9019, 148.2440
614.3840, 165.6115
614.8661, 178.9530
615.3482, 190.9238
615.8303, 204.2322
616.3124, 218.7291
616.7946, 235.3564
617.2767, 254.6038
617.7588, 275.7877
618.2409, 296.8500
618.7230, 319.5747
619.2051, 348.2565
619.6873, 384.7424
620.1694, 426.8940
620.6515, 471.1804
621.1336, 518.4739
621.6157, 564.7550
622.0978, 607.6918
622.5800, 652.4279
623.0621, 699.3689
623.5442, 749.6830
624.0263, 806.3323
624.5084, 872.0630
624.9905, 939.2491
625.4727, 997.7909
625.9548, 1052.136
626.4369, 1117.922
626.9190, 1197.890
627.4011, 1284.174
627.8832, 1367.686
628.3654, 1449.807
628.8475, 1550.101
629.3296, 1673.870
629.8117, 1806.689
630.2938, 1947.554
630.7759, 2094.632
631.2581, 2246.090
631.7402, 2401.766
632.2223, 2562.509
632.7044, 2729.523
633.1865, 2902.789
633.6686, 3086.029
634.1508, 3282.044
634.6329, 3472.431
635.1150, 3633.567
635.5971, 3800.094
636.0792, 4023.766
636.5613, 4312.080
637.0435, 4584.879
637.5256, 4806.700
638.0077, 5012.839
638.4898, 5227.103
638.9719, 5453.297
639.4540, 5695.188
639.9362, 5955.468
640.4183, 6222.454
640.9004, 6471.438
641.3825, 6695.455
641.8646, 6917.984
642.3467, 7150.705
642.8289, 7370.274
643.3110, 7563.901
643.7931, 7737.306
644.2752, 7900.048
644.7573, 8055.825
645.2394, 8205.728
645.7216, 8354.690
646.2037, 8497.334
646.6858, 8614.353
647.1679, 8700.562
647.6500, 8791.865
648.1321, 8919.195
648.6143, 9079.106
649.0964, 9240.440
649.5785, 9386.216
650.0606, 9554.538
650.5427, 9747.380
651.0248, 9968.100
651.5070, 10224.53
651.9891, 10513.14
652.4712, 10818.56
652.9533, 11128.15
653.4354, 11446.92
653.9175, 11790.30
654.3997, 12159.85
654.8818, 12547.09
655.3639, 12959.57
655.8460, 13381.26
656.3281, 13793.94
656.8102, 14199.71
657.2924, 14590.02
657.7745, 14995.47
658.2566, 15358.61
658.7387, 15668.54
659.2208, 15905.36
659.7029, 16038.38
660.1851, 16056.63
