##NAMES=Kunatite
##RRUFFID=R120055
##IDEAL CHEMISTRY=CuFe^3+^_2_(PO_4_)_2_(OH)_2_&#183;4H_2_O
##LOCALITY=Krasno, Horni Slakov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Spherical aggregates of pale green acicular crystals on quartz, associated with triplite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120055
373.3284, 5.769165
373.8105, 5.796951
374.2926, 4.354980
374.7747, 3.070892
375.2568, 2.377655
375.7390, 2.279800
376.2211, 2.595123
376.7032, 3.555115
377.1853, 4.461792
377.6674, 4.559677
378.1495, 3.748367
378.6317, 3.008362
379.1138, 2.464233
379.5959, 2.147415
380.0780, 2.334488
380.5601, 3.089401
381.0422, 3.601563
381.5244, 2.955460
382.0065, 1.440308
382.4886, 0.8429410
382.9707, 1.543991
383.4528, 2.589722
383.9349, 2.542328
384.4171, 1.573273
384.8992, 0.6392060
385.3813, 0.3348240
385.8634, 0.3197020
386.3455, 1.5945001E-02
386.8276, 0.6975710
387.3098, 1.464523
387.7919, 2.221436
388.2740, 2.894897
388.7561, 3.329010
389.2382, 3.094650
389.7203, 2.971771
390.2025, 3.817001
390.6846, 5.430481
391.1667, 6.899063
391.6488, 7.448685
392.1309, 7.762375
392.6130, 8.415344
393.0952, 9.573837
393.5773, 10.94292
394.0594, 12.74643
394.5415, 14.63846
395.0236, 15.97601
395.5057, 15.84126
395.9879, 15.75366
396.4700, 16.31958
396.9521, 17.64412
397.4342, 19.23479
397.9163, 21.37349
398.3984, 23.57585
398.8806, 25.39946
399.3627, 26.48592
399.8448, 27.56940
400.3269, 28.78786
400.8090, 30.10439
401.2911, 31.16426
401.7733, 31.60872
402.2554, 32.22787
402.7375, 33.49072
403.2196, 35.75775
403.7017, 37.73578
404.1838, 39.19595
404.6660, 40.51550
405.1481, 42.52679
405.6302, 45.54152
406.1123, 48.12956
406.5944, 49.58548
407.0765, 49.98856
407.5587, 50.99158
408.0408, 52.70160
408.5229, 54.61290
409.0050, 56.21181
409.4871, 57.51039
409.9692, 58.78879
410.4514, 60.05661
410.9335, 61.40439
411.4156, 63.16370
411.8977, 65.27454
412.3798, 67.24268
