##NAMES=Wiserite
##RRUFFID=R130122
##IDEAL CHEMISTRY=Mn^2+^_14_(B_2_O_5_)_4_(OH)_8_&#183;(Si,Mg)(O,OH)_4_Cl
##LOCALITY=Kombat Mine, Namibia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Light brown prismatic to needles, associated with black hausmannite and white barite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130122
335.6326, 2.731628
336.1147, 2.829979
336.5968, 2.840187
337.0789, 2.830124
337.5610, 2.829697
338.0432, 2.795197
338.5253, 2.712845
339.0074, 2.585922
339.4895, 2.426674
339.9716, 2.257866
340.4537, 2.088974
340.9359, 1.928596
341.4180, 1.678146
341.9001, 1.427971
342.3822, 1.384628
342.8643, 1.607254
343.3464, 1.866722
343.8286, 1.822067
344.3107, 1.315262
344.7928, 1.061775
345.2749, 1.149651
345.7570, 1.336136
346.2391, 1.465874
346.7213, 1.534470
347.2034, 1.665253
347.6855, 2.001625
348.1676, 2.564148
348.6497, 2.833939
349.1318, 2.694771
349.6140, 2.438927
350.0961, 2.038834
350.5782, 1.613258
351.0603, 1.453773
351.5424, 1.772491
352.0245, 2.414391
352.5067, 2.671242
352.9888, 1.967239
353.4709, 1.534271
353.9530, 1.692886
354.4351, 2.140503
354.9172, 2.572701
355.3994, 2.873375
355.8815, 3.014694
356.3636, 2.927437
356.8457, 2.359718
357.3278, 2.171814
357.8099, 2.536079
358.2920, 3.035477
358.7741, 3.413445
359.2563, 3.628647
359.7384, 3.726517
360.2205, 3.718285
360.7026, 3.566048
361.1847, 3.680382
361.6668, 4.507935
362.1490, 5.139832
362.6311, 5.151009
363.1132, 4.730064
363.5953, 4.233650
364.0774, 3.864471
364.5595, 3.621574
365.0417, 3.499329
365.5238, 3.561165
366.0059, 3.671730
366.4880, 3.866257
366.9701, 4.088806
367.4522, 4.265526
367.9344, 4.365257
368.4165, 4.425179
368.8986, 4.522316
369.3807, 4.734459
369.8628, 4.778847
370.3449, 4.455917
370.8271, 4.121521
371.3092, 4.034775
371.7913, 4.147141
372.2734, 4.167076
372.7555, 3.770584
373.2376, 2.981056
373.7198, 2.494789
374.2019, 2.500374
374.6840, 2.607079
375.1661, 2.763145
375.6482, 2.902802
376.1303, 2.917358
376.6125, 2.728516
