##NAMES=Aminoffite
##RRUFFID=R100055
##IDEAL CHEMISTRY=Ca_3_(BeOH)_2_Si_3_O_10_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Colorless transparent tetragonal pyramids with basal terminations, co-type sample from Harvard
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100055
529.7773, 55.13127
530.2594, 55.72873
530.7415, 55.31973
531.2236, 55.49085
531.7057, 57.15302
532.1879, 59.15099
532.6700, 59.23283
533.1521, 56.57856
533.6342, 53.69516
534.1163, 50.51154
534.5984, 47.21828
535.0806, 43.75671
535.5627, 40.28653
536.0448, 37.20252
536.5269, 34.79107
537.0090, 32.81695
537.4911, 30.61182
537.9733, 28.06034
538.4554, 25.48138
538.9375, 22.49086
539.4196, 19.82873
539.9017, 18.05493
540.3839, 17.07386
540.8660, 16.34677
541.3481, 15.73047
541.8302, 15.02194
542.3123, 13.52238
542.7944, 11.07954
543.2766, 9.242424
543.7587, 8.925629
544.2408, 9.298874
544.7229, 9.077469
545.2050, 8.173370
545.6871, 7.490753
546.1693, 7.350441
546.6514, 7.580292
547.1335, 8.141487
547.6156, 8.951187
548.0977, 9.624313
548.5798, 9.901489
549.0620, 9.911606
549.5441, 10.08841
550.0262, 10.27869
550.5083, 10.87217
550.9904, 11.96973
551.4725, 13.39740
551.9547, 15.23281
552.4368, 17.31145
552.9189, 19.18462
553.4010, 20.47057
553.8831, 21.33016
554.3652, 22.40614
554.8474, 23.80835
555.3295, 25.13878
555.8116, 26.02580
556.2937, 27.00192
556.7758, 28.50047
557.2579, 30.51558
557.7401, 32.66456
558.2222, 34.81802
558.7043, 36.92258
559.1864, 38.83015
559.6685, 40.52307
560.1506, 42.40173
560.6328, 44.65588
561.1149, 47.17563
561.5970, 49.79881
562.0791, 52.52404
562.5612, 55.30279
563.0433, 57.87216
563.5255, 60.68834
564.0076, 64.29568
564.4897, 68.54866
564.9718, 72.82256
565.4539, 76.71352
565.9360, 81.74084
566.4182, 85.14729
566.9003, 91.37800
567.3824, 96.87646
567.8645, 101.6343
568.3466, 105.7889
568.8287, 109.5508
569.3109, 112.7178
569.7930, 114.6197
570.2751, 114.8235
570.7572, 113.5904
571.2393, 111.3891
571.7214, 108.1842
572.2036, 103.9600
572.6857, 98.51365
573.1678, 92.26962
573.6499, 85.59205
574.1320, 78.52182
574.6141, 71.36633
575.0963, 63.54808
575.5784, 56.31957
576.0605, 50.96648
576.5426, 47.08127
577.0247, 43.25464
577.5068, 38.85115
577.9890, 34.43882
578.4711, 31.12150
578.9532, 29.48138
579.4353, 27.48213
579.9174, 24.39418
580.3995, 21.70010
580.8817, 20.35461
581.3638, 19.88897
581.8459, 19.23296
582.3280, 17.86168
582.8101, 16.20219
583.2922, 14.91702
583.7744, 14.02777
584.2565, 13.23005
584.7386, 12.54047
585.2207, 11.82616
585.7029, 10.79124
586.1850, 9.673019
586.6671, 9.105629
587.1492, 9.573997
587.6313, 10.26163
588.1135, 10.51448
588.5956, 10.44009
589.0777, 10.33067
589.5598, 10.26020
590.0419, 10.13922
590.5240, 9.841072
591.0062, 9.357780
591.4883, 8.964943
591.9704, 8.583580
592.4525, 8.378517
592.9346, 8.574242
593.4167, 8.896236
