##NAMES=Krautite
##RRUFFID=R060967
##IDEAL CHEMISTRY=Mn^2+^(As^5+^O_3_OH)&#183;H_2_O
##LOCALITY=Jachymov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pink spheroidal aggregates and crusts found with other secondary arsenic minerals, quartz and mica
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060967
353.4260, 835.2422
353.9081, 861.4531
354.3903, 869.6250
354.8724, 813.3086
355.3545, 728.2461
355.8366, 686.0000
356.3187, 705.2305
356.8008, 721.6328
357.2830, 700.7969
357.7651, 655.7031
358.2472, 604.0156
358.7293, 546.6602
359.2114, 509.5703
359.6935, 534.7969
360.1757, 643.2383
360.6578, 706.2969
361.1399, 682.1875
361.6220, 641.6797
362.1041, 626.8438
362.5862, 639.7227
363.0684, 669.3125
363.5505, 708.6484
364.0326, 757.7891
364.5147, 817.6445
364.9968, 920.2070
365.4789, 995.2539
365.9611, 1008.051
366.4432, 997.9414
366.9253, 1007.047
367.4074, 1049.719
367.8895, 1115.281
368.3716, 1189.090
368.8538, 1273.160
369.3359, 1358.938
369.8180, 1467.289
370.3001, 1558.227
370.7822, 1609.164
371.2643, 1623.762
371.7465, 1620.250
372.2286, 1602.781
372.7107, 1578.191
373.1928, 1580.207
373.6749, 1629.461
374.1570, 1655.082
374.6392, 1596.984
375.1213, 1506.105
375.6034, 1446.125
376.0855, 1442.895
376.5676, 1443.938
377.0497, 1406.312
377.5319, 1333.141
378.0140, 1236.461
378.4961, 1109.770
378.9782, 977.7500
379.4603, 872.1719
379.9424, 791.6562
380.4246, 726.3438
380.9066, 686.1406
381.3888, 652.9375
381.8709, 607.4922
382.3530, 549.6211
382.8351, 492.7500
383.3172, 448.5312
383.7993, 414.4609
384.2815, 361.5820
384.7636, 263.1602
385.2457, 181.3438
385.7278, 132.0391
386.2099, 107.6328
386.6920, 104.6133
387.1742, 120.4570
387.6563, 139.4062
388.1384, 130.8320
388.6205, 70.39453
389.1026, 47.70312
389.5847, 95.10547
390.0669, 148.3438
390.5490, 169.7109
391.0311, 168.0195
391.5132, 180.1172
391.9953, 242.6445
392.4774, 333.3516
392.9596, 363.7422
393.4417, 309.7852
393.9238, 253.4531
394.4059, 217.9961
394.8880, 199.6133
395.3701, 198.8203
395.8523, 218.0039
396.3344, 242.9023
396.8165, 262.9375
397.2986, 278.9688
397.7807, 299.3789
398.2628, 333.4375
398.7450, 352.7461
399.2271, 316.7578
399.7092, 230.1914
400.1913, 150.1445
400.6734, 79.82812
401.1555, 23.91797
401.6377, 13.43750
402.1198, 32.57422
402.6019, 30.76172
403.0840, 0.2265630
403.5661, 42.55078
404.0482, 40.08984
404.5304, 68.74609
405.0125, 142.5859
405.4946, 161.1914
405.9767, 147.6016
406.4588, 113.1406
406.9409, 64.55469
407.4231, 16.15234
407.9052, 16.55859
408.3873, 32.71094
408.8694, 48.03516
409.3515, 53.16797
409.8336, 69.17188
410.3158, 98.87109
410.7979, 143.8711
411.2800, 208.9336
411.7621, 299.3750
412.2442, 398.8320
412.7263, 490.3477
413.2085, 574.5742
413.6906, 627.6523
414.1727, 613.1094
414.6548, 595.3281
415.1369, 652.5664
415.6190, 782.4102
416.1012, 884.4453
416.5833, 898.4258
417.0654, 869.9492
417.5475, 854.0430
418.0296, 855.0195
418.5117, 872.1289
418.9939, 911.4727
419.4760, 965.8750
419.9581, 994.1094
420.4402, 995.5156
420.9223, 980.7148
421.4044, 931.4062
421.8866, 871.5430
422.3687, 832.9727
422.8508, 825.0859
423.3329, 836.8164
423.8150, 855.3906
424.2971, 884.8086
424.7793, 893.7539
425.2614, 869.1094
425.7435, 835.5742
426.2256, 794.1328
426.7077, 753.6367
427.1898, 725.4648
427.6719, 715.6836
428.1541, 714.9453
428.6362, 700.5195
429.1183, 669.8828
429.6004, 640.2109
430.0825, 618.0195
430.5646, 596.1328
431.0468, 564.5508
431.5289, 523.8398
432.0110, 492.2578
432.4931, 487.0156
