##NAMES=Joesmithite
##RRUFFID=R120157
##IDEAL CHEMISTRY=PbCa_2_Mg_3_Fe^3+^_2_(Si_6_Be_2_)O_22_(OH)_2_
##LOCALITY=Ramsorten drift, Langban, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Reddish brown to black short prismatic crystals and fragments associated with hematite, from type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120157
314.9317, 29.30884
315.4138, 29.33090
315.8959, 29.02570
316.3781, 28.85199
316.8602, 29.33444
317.3423, 29.84360
317.8244, 29.85800
318.3065, 28.56503
318.7886, 27.76489
319.2708, 28.62057
319.7529, 30.50317
320.2350, 31.64786
320.7171, 30.61188
321.1992, 29.38315
321.6813, 28.99170
322.1635, 29.96393
322.6456, 30.85806
323.1277, 31.36874
323.6098, 31.63113
324.0919, 31.87515
324.5740, 31.95844
325.0562, 32.18304
325.5383, 32.81180
326.0204, 34.12796
326.5025, 34.72452
326.9846, 34.03452
327.4667, 32.78174
327.9489, 31.72748
328.4310, 31.02646
328.9131, 30.37195
329.3952, 29.76468
329.8773, 29.21198
330.3594, 28.50354
330.8416, 27.46021
331.3237, 26.42316
331.8058, 25.67081
332.2879, 25.59027
332.7700, 25.09991
333.2521, 23.85672
333.7343, 22.08679
334.2164, 20.94904
334.6985, 20.83469
335.1806, 20.75275
335.6627, 20.20306
336.1448, 19.14642
336.6270, 17.66190
337.1091, 15.45340
337.5912, 13.03860
338.0733, 11.60718
338.5554, 11.45657
339.0375, 11.36740
339.5197, 10.81116
340.0018, 9.758392
340.4839, 8.815704
340.9660, 8.019165
341.4481, 7.285553
341.9302, 6.511292
342.4124, 5.683655
342.8945, 4.947906
343.3766, 4.433716
343.8587, 4.067505
344.3408, 3.349030
344.8229, 2.242859
345.3051, 1.122314
345.7872, 0.2733760
346.2693, 0.3066710
346.7514, 0.6102290
347.2335, 0.5423280
347.7156, 0.3141480
348.1978, 0.3669740
348.6799, 0.6797790
349.1620, 0.9721370
349.6441, 1.011719
350.1262, 0.8847660
350.6083, 0.8143010
351.0905, 0.8378910
351.5726, 0.8681030
352.0547, 0.7499080
352.5368, 0.5450440
353.0189, 0.4342040
353.5010, 0.8171390
353.9832, 1.207123
354.4653, 0.7850040
354.9474, 0.5236820
355.4295, 1.602722
355.9116, 1.219940
356.3937, 0.1141050
356.8759, 0.6029360
357.3580, 0.4580990
357.8401, 0.1455690
358.3222, 1.283417
358.8043, 2.816559
359.2864, 3.840637
359.7686, 3.332886
360.2507, 2.396118
360.7328, 2.022217
361.2149, 2.840332
361.6970, 3.547119
362.1791, 3.400085
362.6613, 2.748505
363.1434, 2.399872
363.6255, 2.936401
364.1076, 3.567139
364.5897, 3.894745
365.0718, 3.752228
365.5540, 3.706085
366.0361, 3.998413
366.5182, 4.391724
367.0003, 4.602295
367.4824, 4.452454
367.9645, 4.273376
368.4467, 4.065155
368.9288, 3.824341
369.4109, 3.848785
369.8930, 4.433746
370.3751, 5.067322
370.8572, 5.359192
371.3394, 4.690979
371.8215, 4.769928
372.3036, 6.182037
372.7857, 8.417328
373.2678, 9.626709
373.7499, 9.417877
374.2321, 8.888123
374.7142, 8.496613
375.1963, 8.239532
375.6784, 8.106293
376.1605, 8.079254
376.6426, 8.194244
377.1248, 8.527313
377.6069, 9.105988
378.0890, 9.760071
378.5711, 10.50790
379.0532, 11.30685
379.5353, 11.74081
380.0175, 11.76672
380.4996, 11.67206
380.9817, 11.76211
381.4638, 12.00372
381.9459, 12.08990
382.4280, 11.87888
382.9102, 11.58270
383.3923, 11.76947
383.8744, 12.37210
384.3565, 12.70850
384.8386, 12.09824
385.3207, 10.94467
385.8029, 10.03098
386.2850, 9.407166
386.7671, 9.123322
387.2492, 9.414398
387.7313, 10.08908
388.2134, 10.70676
388.6956, 11.06805
389.1777, 11.27875
389.6598, 11.34891
390.1419, 11.29849
390.6240, 11.38571
391.1061, 12.09064
391.5883, 12.88751
392.0704, 13.17316
392.5525, 12.17819
393.0346, 11.48932
393.5167, 12.18011
393.9988, 13.78516
394.4810, 14.99805
394.9631, 14.66681
395.4452, 14.37396
395.9273, 15.06549
396.4094, 17.29803
396.8915, 19.07385
397.3737, 19.65512
397.8558, 19.70245
398.3379, 20.02927
398.8200, 20.89722
399.3021, 21.84949
399.7842, 22.89700
400.2664, 24.03259
400.7485, 24.84253
401.2306, 24.98111
401.7127, 25.11572
402.1948, 25.72495
402.6769, 27.26755
403.1591, 28.28595
403.6412, 28.55945
404.1233, 28.30212
404.6054, 28.03909
405.0875, 27.71909
405.5696, 27.60883
406.0518, 27.89465
406.5339, 28.61432
407.0160, 28.74332
407.4981, 28.25333
407.9802, 27.43497
408.4623, 26.41794
408.9445, 25.19705
409.4266, 24.44180
409.9087, 24.46860
410.3908, 24.91083
410.8729, 24.79803
411.3550, 24.13284
411.8372, 23.38495
412.3193, 22.93503
412.8014, 22.73416
413.2835, 22.46802
413.7656, 21.97934
414.2477, 21.64072
414.7299, 22.03763
415.2120, 22.96417
415.6941, 23.81430
416.1762, 24.15927
416.6583, 24.35214
417.1404, 24.60907
417.6226, 24.94510
418.1047, 25.54660
418.5868, 26.80966
419.0689, 28.24948
419.5510, 29.41995
420.0331, 30.13699
420.5153, 30.63715
420.9974, 30.79105
421.4795, 30.77606
421.9616, 31.03522
422.4437, 32.03952
422.9258, 33.05072
423.4080, 33.70343
423.8901, 33.82120
424.3722, 34.18918
424.8543, 35.13641
425.3364, 36.24432
425.8185, 37.08884
426.3007, 37.38831
426.7828, 37.86432
427.2649, 38.73526
427.7470, 39.90314
428.2291, 40.74243
428.7112, 41.16949
429.1934, 41.39420
429.6755, 41.45026
430.1576, 41.23788
430.6397, 41.42966
431.1218, 42.22473
431.6039, 43.12674
432.0861, 43.32581
432.5682, 42.78351
433.0503, 42.04523
433.5324, 41.25687
434.0145, 40.42453
434.4966, 39.59619
434.9788, 38.77838
435.4609, 37.86826
435.9430, 36.70447
436.4251, 35.36877
436.9072, 34.13107
437.3893, 33.10178
437.8715, 32.00479
438.3536, 30.28702
438.8357, 28.20807
439.3178, 26.49228
439.7999, 25.95166
440.2820, 25.65665
440.7642, 24.64212
441.2463, 22.83932
441.7284, 21.19897
442.2105, 20.56140
442.6926, 20.16721
443.1747, 19.27255
443.6569, 17.13327
444.1390, 15.10922
444.6211, 13.69110
445.1032, 12.71698
445.5853, 11.76944
446.0674, 10.67871
446.5496, 9.676971
447.0317, 8.893616
447.5138, 8.441040
447.9959, 7.856476
448.4780, 7.063080
448.9601, 6.201965
449.4423, 5.385254
449.9244, 4.597778
450.4065, 3.918304
450.8886, 3.349670
451.3707, 2.903412
451.8528, 2.618744
452.3350, 2.521088
452.8171, 2.492676
453.2992, 2.478027
453.7813, 2.472351
454.2634, 2.468842
454.7455, 2.488037
455.2277, 2.413818
455.7098, 1.984192
456.1919, 1.265411
456.6740, 0.6954650
457.1561, 0.4478150
457.6382, 0.4214170
458.1204, 0.6125790
458.6025, 0.9667050
459.0846, 1.076782
459.5667, 0.4821780
460.0488, 0.4422300
460.5309, 1.227783
461.0131, 1.798309
461.4952, 2.248901
461.9773, 2.854523
462.4594, 3.326263
462.9415, 3.247375
463.4236, 1.575684
463.9058, 0.1444700
464.3879, 0.1254270
464.8700, 0.6777950
465.3521, 1.510437
465.8342, 2.600464
466.3163, 3.309204
466.7985, 3.202820
467.2806, 1.458801
467.7627, 0.3634340
468.2448, 0.2067570
468.7269, 0.6181030
469.2090, 1.138733
469.6912, 2.081635
470.1733, 2.554657
470.6554, 2.197144
471.1375, 1.121857
471.6196, 0.4283450
472.1017, 0.1823730
472.5839, 0.1351930
473.0660, 0.1902470
473.5481, 0.3483580
474.0302, 0.3417360
474.5123, 0.1274410
474.9944, 0.2048950
475.4766, 0.5213930
475.9587, 0.8368530
476.4408, 1.231689
476.9229, 1.799561
477.4050, 2.434418
477.8871, 2.929077
478.3693, 3.303741
478.8514, 3.718018
479.3335, 4.262482
479.8156, 4.922424
480.2977, 5.690552
480.7798, 6.583466
481.2620, 7.505981
481.7441, 8.334320
482.2262, 9.166138
482.7083, 10.14618
483.1904, 11.38571
483.6725, 12.71472
484.1547, 14.11084
484.6368, 15.55374
485.1189, 16.91336
485.6010, 18.00494
486.0831, 19.13831
486.5652, 20.45142
487.0474, 21.96286
487.5295, 23.65656
488.0116, 25.74356
488.4937, 27.83859
488.9758, 29.33374
489.4579, 29.97400
489.9401, 30.79187
490.4222, 32.01648
490.9043, 33.61288
491.3864, 35.55402
491.8685, 37.89706
492.3506, 40.23679
492.8328, 42.33276
493.3149, 44.19571
493.7970, 45.89621
494.2791, 47.43707
494.7612, 48.85815
495.2433, 49.94644
495.7255, 50.95535
496.2076, 52.56717
496.6897, 55.52722
497.1718, 58.71500
497.6539, 60.91281
498.1360, 62.34433
498.6182, 63.91367
499.1003, 66.24731
499.5824, 68.77515
500.0645, 71.00497
500.5466, 72.80908
501.0287, 74.78027
501.5109, 77.36014
501.9930, 80.07126
502.4751, 82.40842
502.9572, 83.83301
503.4393, 85.44315
503.9214, 87.48273
504.4036, 89.78549
504.8857, 91.79871
505.3678, 93.35034
505.8499, 94.94781
506.3320, 96.88074
506.8141, 99.19977
507.2963, 101.0643
507.7784, 102.3839
508.2605, 103.5427
508.7426, 105.0155
509.2247, 106.7687
509.7068, 108.2956
510.1890, 109.4960
510.6711, 110.4348
511.1532, 111.1945
511.6353, 111.7697
512.1174, 112.1395
512.5995, 112.3408
513.0817, 112.3051
513.5638, 111.8704
514.0459, 111.0502
514.5280, 110.1649
515.0101, 109.3452
515.4922, 108.5916
515.9744, 107.9637
516.4565, 107.6846
516.9386, 107.1052
517.4207, 105.6707
517.9028, 103.8598
518.3849, 102.4639
518.8671, 101.8605
519.3492, 101.4381
519.8313, 101.1070
520.3134, 100.8638
520.7955, 100.5373
521.2776, 100.1524
521.7598, 99.77368
522.2419, 99.54056
522.7240, 99.60327
523.2061, 98.65015
523.6882, 96.28616
524.1703, 93.65732
524.6525, 92.37024
525.1346, 92.41043
525.6167, 92.64810
526.0988, 92.93005
526.5809, 93.00391
527.0630, 92.20328
527.5452, 90.66434
528.0273, 89.25137
528.5094, 88.60690
528.9915, 88.35608
529.4736, 88.01440
529.9557, 87.52423
530.4379, 87.07568
530.9200, 86.88297
531.4021, 86.72174
531.8842, 86.35962
532.3663, 85.48743
532.8484, 84.77267
533.3306, 84.53235
533.8127, 84.57178
534.2948, 84.47546
534.7769, 84.15292
535.2590, 83.71472
535.7411, 83.16449
536.2233, 82.54684
536.7054, 82.09140
537.1875, 81.81830
537.6696, 81.61426
538.1517, 81.42670
538.6339, 81.27759
539.1160, 81.00998
539.5981, 80.61429
540.0802, 80.15067
540.5623, 79.54449
541.0444, 78.84363
541.5266, 78.35611
542.0087, 78.22180
542.4908, 78.28735
542.9729, 78.57199
543.4550, 78.96597
543.9371, 79.00681
544.4193, 78.12225
544.9014, 76.92667
545.3835, 75.77115
545.8656, 74.66348
546.3477, 74.06827
546.8298, 74.74673
547.3120, 75.67831
547.7941, 76.02502
548.2762, 75.10527
548.7583, 74.33630
549.2404, 73.99899
549.7225, 73.84451
550.2047, 73.42427
550.6868, 72.60980
551.1689, 71.77647
551.6510, 71.00725
552.1331, 70.30051
552.6152, 69.68181
553.0974, 69.16154
553.5795, 68.69904
554.0616, 68.27118
554.5437, 67.88457
555.0258, 67.58655
555.5079, 67.39711
555.9901, 67.19034
556.4722, 66.76230
556.9543, 66.22147
557.4364, 65.79286
557.9185, 65.56367
558.4006, 65.42599
558.8828, 65.46207
559.3649, 65.51538
559.8470, 65.22191
560.3291, 63.64365
560.8112, 62.39215
561.2933, 62.49428
561.7755, 63.99149
562.2576, 64.82654
562.7397, 64.08563
563.2218, 63.11153
563.7039, 62.56558
564.1860, 62.69519
564.6682, 62.59137
565.1503, 62.14700
565.6324, 61.60626
566.1145, 61.34940
566.5966, 61.42549
567.0787, 61.32443
567.5609, 60.93573
568.0430, 60.32452
568.5251, 59.48914
569.0072, 58.47928
569.4893, 57.75916
569.9714, 57.72527
570.4536, 58.05453
570.9357, 58.36989
571.4178, 58.64981
571.8999, 58.75465
572.3820, 58.51030
572.8641, 58.09358
573.3463, 57.69452
573.8284, 57.42645
574.3105, 56.92531
574.7926, 55.98376
575.2747, 54.77972
575.7568, 53.53766
576.2390, 52.04878
576.7211, 50.80099
577.2032, 49.93475
577.6853, 49.33592
578.1674, 48.63777
578.6495, 47.78400
579.1317, 47.02095
579.6138, 46.68375
580.0959, 46.61754
580.5780, 45.35849
581.0601, 42.81169
581.5422, 39.98331
582.0244, 37.62122
582.5065, 35.61972
582.9886, 33.84586
583.4707, 32.30782
583.9528, 30.66682
584.4349, 28.37392
584.9171, 25.83710
585.3992, 23.66670
585.8813, 22.49976
586.3634, 21.27106
586.8455, 19.48122
587.3276, 17.28444
587.8098, 15.18112
588.2919, 13.18031
588.7740, 11.37471
589.2561, 9.858353
589.7382, 8.637802
590.2203, 7.195633
590.7025, 5.289215
591.1846, 3.626663
591.6667, 2.863419
592.1488, 3.096344
592.6309, 2.685059
593.1130, 1.456635
593.5952, 1.4847000E-02
594.0773, 0.9576720
594.5594, 1.529739
595.0415, 1.915497
595.5236, 2.090317
596.0057, 2.266037
596.4879, 2.783676
596.9700, 3.484512
597.4521, 3.988510
597.9342, 4.102448
598.4163, 3.987930
598.8984, 3.573746
599.3806, 2.922653
599.8627, 2.555954
600.3448, 3.000320
600.8269, 3.408615
601.3090, 3.365036
601.7911, 2.741730
602.2733, 2.171066
602.7554, 1.696167
603.2375, 1.213562
603.7196, 0.6349950
604.2017, 4.6432000E-02
604.6838, 0.7642820
605.1660, 1.467896
605.6481, 2.317673
606.1302, 3.790955
606.6123, 5.710953
607.0944, 7.227661
607.5765, 7.796387
608.0587, 8.049652
608.5408, 8.371704
609.0229, 8.927948
609.5050, 10.31902
609.9871, 14.12144
610.4692, 17.82341
610.9514, 19.72223
611.4335, 19.62874
611.9156, 19.54207
612.3977, 19.63739
612.8798, 20.03575
613.3619, 20.84439
613.8441, 22.37422
614.3262, 23.55930
614.8083, 24.24583
615.2904, 24.80936
615.7725, 25.74255
616.2546, 27.07060
616.7368, 28.36557
617.2189, 29.56441
617.7010, 30.68861
618.1831, 31.87923
618.6652, 33.05756
619.1473, 33.89914
619.6295, 33.89081
620.1116, 33.70239
620.5937, 34.08517
621.0758, 34.92885
621.5579, 35.68625
622.0400, 36.14194
622.5222, 36.37614
623.0043, 36.34076
623.4864, 35.94180
