##NAMES=Tenorite
##RRUFFID=R060978
##IDEAL CHEMISTRY=CuO
##LOCALITY=Algomah, Michigan, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black massive with some prismatic faces, associated with malachite and chrysocolla
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060978
235.3075, 13.95703
235.7896, 17.92041
236.2717, 19.31519
236.7539, 22.54028
237.2360, 33.10815
237.7181, 37.19092
238.2002, 30.26221
238.6823, 19.59277
239.1644, 10.71484
239.6466, 5.285889
240.1287, 2.695313
240.6108, 1.957520
241.0929, 2.339355
241.5750, 6.829346
242.0571, 22.91138
242.5393, 37.22510
243.0214, 37.94946
243.5035, 25.28296
243.9856, 10.43091
244.4677, 6.325684
244.9498, 15.65527
245.4320, 25.85083
245.9141, 39.61719
246.3962, 51.84912
246.8783, 60.69824
247.3604, 65.82959
247.8425, 67.06030
248.3247, 63.59131
248.8068, 54.88892
249.2889, 48.99170
249.7710, 42.80981
250.2531, 42.45532
250.7352, 53.54907
251.2174, 72.07178
251.6995, 90.00342
252.1816, 101.9031
252.6637, 108.2327
253.1458, 112.0615
253.6279, 108.7312
254.1101, 108.2632
254.5922, 114.8928
255.0743, 125.0212
255.5564, 133.2876
256.0385, 136.6406
256.5206, 137.2544
257.0027, 142.4109
257.4849, 157.9478
257.9670, 167.9827
258.4491, 164.9338
258.9312, 158.1667
259.4133, 156.3579
259.8954, 162.6968
260.3776, 175.0889
260.8597, 191.7375
261.3418, 216.1799
261.8239, 234.3892
262.3060, 242.6362
262.7881, 245.1504
263.2703, 240.8589
263.7524, 230.5181
264.2345, 223.3784
264.7166, 233.8831
265.1987, 265.4338
265.6808, 286.7954
266.1630, 286.8428
266.6451, 281.9246
267.1272, 278.2168
267.6093, 276.9236
268.0914, 279.6621
268.5735, 290.2742
269.0557, 307.9849
269.5378, 319.7085
270.0199, 317.7261
270.5020, 319.0754
270.9841, 334.9463
271.4662, 361.7114
271.9484, 389.0334
272.4305, 413.3394
272.9126, 432.8315
273.3947, 441.8726
273.8768, 434.7900
274.3589, 432.2427
274.8411, 454.7310
275.3232, 488.3062
275.8053, 510.3120
276.2874, 503.3242
276.7695, 491.9995
277.2516, 510.5049
277.7338, 561.0542
278.2159, 612.7197
278.6980, 656.1255
279.1801, 689.3589
279.6622, 707.7490
280.1443, 701.4595
280.6265, 699.4336
281.1086, 727.8301
281.5907, 781.1152
282.0728, 828.8999
282.5549, 856.9258
283.0370, 879.7803
283.5192, 921.0166
284.0013, 982.8130
284.4834, 1047.619
284.9655, 1102.619
285.4476, 1156.743
285.9297, 1227.081
286.4119, 1318.822
286.8940, 1421.087
287.3761, 1519.041
287.8582, 1610.255
288.3403, 1724.589
288.8224, 1870.427
289.3046, 2037.528
289.7867, 2211.996
290.2688, 2392.988
290.7509, 2597.750
291.2330, 2848.918
291.7151, 3147.733
292.1972, 3426.889
292.6794, 3655.593
293.1615, 3894.269
293.6436, 4188.850
294.1257, 4520.719
294.6078, 4839.482
295.0899, 5113.794
295.5721, 5352.780
296.0542, 5599.300
296.5363, 5904.747
297.0184, 6158.769
297.5005, 6373.803
297.9826, 6516.986
298.4648, 6552.114
298.9469, 6464.569
299.4290, 6259.679
299.9111, 5942.287
300.3932, 5449.904
300.8753, 4935.155
301.3575, 4354.874
301.8396, 3783.613
302.3217, 3274.316
302.8038, 2837.982
303.2859, 2462.834
303.7680, 2138.460
304.2502, 1868.736
304.7323, 1633.452
305.2144, 1446.255
305.6965, 1281.805
306.1786, 1131.506
306.6607, 996.2676
307.1429, 880.2612
307.6250, 789.9224
308.1071, 721.7510
308.5892, 656.4424
309.0713, 591.3589
309.5534, 533.6792
310.0356, 480.3545
310.5177, 436.1938
310.9998, 410.2417
311.4819, 409.8149
311.9640, 417.4189
312.4461, 401.3096
312.9283, 355.1372
313.4104, 313.9565
313.8925, 290.8594
314.3746, 275.1909
314.8567, 260.3818
315.3388, 245.7017
315.8210, 229.5825
316.3031, 209.7822
316.7852, 186.9966
317.2673, 164.8682
317.7494, 141.6479
318.2315, 122.9751
318.7137, 116.4004
319.1958, 119.8516
319.6779, 121.2534
320.1600, 113.8218
320.6421, 102.3765
321.1242, 92.34668
321.6064, 83.60840
322.0885, 81.68115
322.5706, 93.76465
323.0527, 116.5376
323.5348, 132.3501
324.0169, 141.2197
324.4991, 142.1592
324.9812, 129.0596
325.4633, 109.5537
325.9454, 96.43896
326.4275, 92.61621
326.9096, 97.20410
327.3918, 108.8071
327.8739, 138.7461
328.3560, 157.9121
328.8381, 151.8711
329.3202, 136.7290
329.8023, 130.1016
330.2845, 135.0205
330.7666, 144.7109
331.2487, 150.6543
331.7308, 149.1963
332.2129, 152.7563
332.6950, 162.7251
333.1772, 173.1694
333.6593, 182.7715
334.1414, 191.6177
334.6235, 199.0947
335.1056, 204.6504
335.5877, 208.3818
336.0698, 211.1226
336.5519, 206.3228
337.0341, 209.3984
337.5162, 228.1929
337.9983, 254.0752
338.4804, 276.6304
338.9625, 291.6123
339.4446, 301.9277
339.9268, 311.7373
340.4089, 318.7886
340.8910, 333.3691
341.3731, 366.6548
341.8552, 401.1582
342.3373, 425.7002
342.8195, 439.5112
343.3016, 449.8008
343.7837, 461.5005
344.2658, 474.5312
344.7479, 489.8984
345.2300, 512.1436
345.7122, 528.3159
346.1943, 529.9844
346.6764, 519.6943
347.1585, 501.7637
347.6406, 473.2197
348.1227, 440.8955
348.6049, 413.0127
349.0870, 389.6592
349.5691, 366.9683
350.0512, 342.2534
350.5333, 317.7939
351.0154, 298.5894
351.4976, 287.3296
351.9797, 275.6567
352.4618, 254.1489
352.9439, 230.8169
353.4260, 225.5503
353.9081, 245.4668
354.3903, 267.7388
354.8724, 260.9126
355.3545, 212.5767
355.8366, 175.5020
356.3187, 153.2705
356.8008, 139.8345
357.2830, 133.6851
357.7651, 133.2144
358.2472, 134.9365
358.7293, 136.5596
359.2114, 138.0161
359.6935, 138.5068
360.1757, 143.7505
