##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
360.5544, 2.1999000E-02
361.0365, 0.4559710
361.5186, 0.5680850
362.0007, 0.2976230
362.4828, 0.1925130
362.9649, 0.7067870
363.4471, 1.369774
363.9292, 1.602428
364.4113, 1.264973
364.8934, 0.8657230
365.3755, 0.8213270
365.8576, 1.068695
366.3398, 1.249783
366.8219, 1.241673
367.3040, 1.207775
367.7861, 1.346966
368.2682, 1.640480
368.7503, 1.894711
369.2325, 1.986401
369.7146, 2.004833
370.1967, 2.145466
370.6788, 2.458080
371.1609, 2.680473
371.6430, 2.449928
372.1252, 1.954483
372.6073, 1.829346
373.0894, 2.580734
373.5715, 3.392422
374.0536, 3.538414
374.5357, 3.118813
375.0179, 2.747330
375.5000, 2.764729
375.9821, 2.971737
376.4642, 2.866161
376.9463, 2.282928
377.4284, 1.811073
377.9106, 1.729927
378.3927, 1.889149
378.8748, 2.060760
379.3569, 2.193520
379.8390, 2.253456
380.3211, 2.142811
380.8033, 1.794739
381.2854, 1.702862
381.7675, 2.184101
382.2496, 2.732140
382.7317, 2.980282
383.2138, 2.901661
383.6960, 2.580059
384.1781, 1.996029
384.6602, 1.199249
385.1423, 0.8954470
385.6244, 1.453201
386.1065, 1.990795
386.5887, 2.284935
387.0708, 2.351799
387.5529, 2.182377
388.0350, 1.759880
388.5171, 1.236717
388.9992, 0.9477960
389.4814, 1.070854
389.9635, 1.176971
390.4456, 1.308868
390.9277, 1.396862
391.4098, 1.406464
391.8919, 1.321373
392.3741, 1.100723
392.8562, 0.6630740
393.3383, 5.9691999E-02
393.8204, 0.4762420
394.3025, 0.5150910
394.7846, 0.3481750
395.2668, 0.1341400
395.7489, 0.7634770
396.2310, 1.265381
396.7131, 1.480656
397.1952, 1.460220
397.6773, 1.372528
398.1595, 1.167835
398.6416, 0.9508250
399.1237, 0.6631580
399.6058, 0.4465640
400.0879, 0.3873480
400.5700, 0.5021440
401.0522, 0.7461320
401.5343, 1.125565
402.0164, 1.684250
402.4985, 2.100647
402.9806, 2.208454
403.4627, 2.308800
403.9449, 2.526226
404.4270, 2.814964
404.9091, 3.075314
405.3912, 3.253937
405.8733, 3.431335
406.3554, 3.801403
406.8376, 4.458958
407.3197, 5.009884
407.8018, 5.104404
408.2839, 5.107277
408.7660, 5.462151
409.2481, 6.357075
409.7303, 7.262848
410.2124, 7.540001
410.6945, 7.216194
411.1766, 7.075306
411.6587, 7.463665
412.1408, 8.025551
412.6230, 8.298401
413.1051, 8.322868
413.5872, 8.532791
414.0693, 9.326790
414.5514, 10.31119
415.0335, 10.78541
415.5157, 10.71288
415.9978, 10.65147
416.4799, 10.87471
416.9620, 11.34574
417.4441, 11.95339
417.9262, 12.78545
418.4084, 13.67593
418.8905, 14.62021
419.3726, 15.52543
419.8547, 16.10020
420.3368, 16.17531
420.8189, 16.12934
421.3011, 16.59179
421.7832, 17.69179
422.2653, 18.71411
422.7474, 19.57883
423.2295, 20.33897
423.7116, 21.07329
424.1938, 21.76987
424.6759, 22.30305
425.1580, 22.53326
425.6401, 22.49000
426.1222, 22.73938
426.6043, 23.62566
427.0865, 24.35655
427.5686, 24.64035
428.0507, 24.68182
428.5328, 24.78033
429.0149, 25.04965
429.4970, 25.37888
429.9792, 25.55860
430.4613, 25.43459
430.9434, 25.50568
431.4255, 26.02253
431.9076, 26.48210
432.3897, 26.51828
432.8719, 26.21818
433.3540, 25.94957
433.8361, 26.01313
434.3182, 26.35719
434.8003, 26.60891
435.2824, 26.73407
435.7646, 26.81092
436.2467, 26.82645
436.7288, 26.82608
437.2109, 26.92747
437.6930, 27.17162
438.1751, 27.28437
438.6573, 26.76871
439.1394, 25.55348
439.6215, 24.74895
440.1036, 24.91986
440.5857, 25.06776
441.0678, 24.46400
441.5500, 23.26512
442.0321, 22.10127
442.5142, 21.23626
442.9963, 20.62465
443.4784, 20.23931
443.9605, 20.11319
444.4427, 19.96155
444.9248, 19.67840
445.4069, 19.25764
445.8890, 18.70439
446.3711, 17.98958
446.8532, 17.21973
447.3354, 16.48242
447.8175, 15.73130
448.2996, 14.78622
448.7817, 13.56427
449.2638, 12.43651
449.7459, 11.88085
450.2281, 11.94126
450.7102, 11.79909
451.1923, 11.24082
451.6744, 10.61791
452.1565, 10.18029
452.6386, 9.894485
453.1208, 9.632236
453.6029, 9.322510
454.0850, 8.936256
454.5671, 8.388195
455.0492, 7.220890
455.5313, 6.534351
456.0135, 6.818462
456.4956, 7.266464
456.9777, 7.160439
457.4598, 6.462570
457.9419, 5.670197
458.4240, 5.252651
458.9062, 5.216518
459.3883, 5.185902
459.8704, 5.386719
460.3525, 5.319866
460.8346, 4.693714
461.3167, 3.807735
461.7989, 3.003017
462.2810, 2.404083
462.7631, 2.002247
463.2452, 1.849430
463.7273, 2.012192
464.2094, 2.029732
464.6916, 1.858768
465.1737, 1.496193
465.6558, 0.7473950
466.1379, 0.2322690
466.6200, 0.9213680
467.1021, 0.8802300
467.5843, 0.4336660
468.0664, 0.1872100
468.5485, 0.1414450
469.0306, 0.3052750
469.5127, 0.8667300
469.9948, 1.534237
470.4770, 1.871422
470.9591, 1.841415
471.4412, 1.563931
471.9233, 0.9014820
472.4054, 7.8201003E-02
472.8875, 0.4827380
473.3697, 0.7011380
473.8518, 0.7448580
474.3339, 0.7212490
474.8160, 0.6349600
475.2981, 0.6490210
475.7802, 0.8572240
476.2624, 1.063843
476.7445, 1.135807
477.2266, 1.150730
477.7087, 1.272820
478.1908, 1.569031
478.6729, 1.940434
479.1551, 2.175659
479.6372, 2.002369
480.1193, 2.369373
480.6014, 3.801067
481.0835, 5.229633
481.5656, 6.044033
482.0478, 6.331261
482.5299, 6.457188
483.0120, 6.628265
483.4941, 6.885208
483.9762, 7.417835
484.4583, 8.445007
484.9405, 9.298386
485.4226, 9.726616
485.9047, 10.03132
486.3868, 10.39920
486.8689, 10.87002
487.3510, 11.44390
487.8332, 12.19440
488.3153, 13.06483
488.7974, 13.74287
489.2795, 14.08108
489.7616, 14.56199
490.2437, 15.60527
490.7259, 16.95635
491.2080, 18.27412
491.6901, 19.50675
492.1722, 20.66384
492.6543, 21.69198
493.1364, 22.64203
493.6186, 23.65418
494.1007, 24.77133
494.5828, 25.96399
495.0649, 27.18746
495.5470, 28.43933
496.0291, 29.85152
496.5113, 31.65614
496.9934, 33.41773
497.4755, 34.67662
497.9576, 35.69130
498.4397, 37.18246
498.9218, 39.51187
499.4040, 42.25071
499.8861, 44.37802
500.3682, 45.20137
500.8503, 46.67718
501.3324, 49.05344
501.8145, 51.79271
502.2967, 54.63734
502.7788, 57.55805
503.2609, 60.65707
503.7430, 64.07726
504.2251, 67.67049
504.7072, 70.73279
505.1894, 72.86249
505.6715, 75.41862
506.1536, 79.09189
506.6357, 83.09628
507.1178, 86.72883
507.5999, 89.93143
508.0821, 93.34754
508.5642, 97.73081
509.0463, 102.6815
509.5284, 106.9558
510.0105, 110.3252
510.4926, 113.7142
510.9748, 117.9992
511.4569, 122.5898
511.9390, 126.0120
512.4211, 127.2247
512.9032, 128.9972
513.3853, 133.2714
513.8674, 138.8575
514.3495, 143.7139
514.8317, 147.4171
515.3138, 150.4051
515.7959, 153.0329
516.2780, 155.2688
516.7601, 157.8241
517.2422, 160.9922
517.7244, 164.0766
518.2065, 167.0762
518.6886, 169.8012
519.1707, 171.9601
519.6528, 173.4601
520.1349, 174.5435
520.6171, 175.5715
521.0992, 176.6141
521.5813, 177.4159
522.0634, 177.8244
522.5455, 178.0039
523.0276, 178.1526
523.5098, 178.1495
523.9919, 177.7569
524.4740, 176.8834
524.9561, 175.4696
525.4382, 173.2803
525.9203, 170.3103
526.4025, 167.1872
526.8846, 164.0185
527.3667, 160.7709
527.8488, 157.5719
528.3309, 154.3870
528.8130, 150.6581
529.2952, 146.0262
529.7773, 140.9324
530.2594, 135.6269
530.7415, 130.1199
531.2236, 124.4743
531.7057, 118.6894
532.1879, 112.8880
532.6700, 107.2681
533.1521, 101.5460
533.6342, 96.71191
534.1163, 93.77087
534.5984, 90.89915
535.0806, 86.76440
535.5627, 81.64931
536.0448, 76.59003
536.5269, 72.22567
537.0090, 68.38620
537.4911, 64.65945
537.9733, 60.90573
538.4554, 57.54534
538.9375, 54.85931
539.4196, 52.36617
539.9017, 49.75471
540.3839, 47.03817
540.8660, 44.43051
541.3481, 42.10032
541.8302, 39.93526
542.3123, 37.68365
542.7944, 35.33740
543.2766, 33.06482
543.7587, 30.95195
544.2408, 28.95378
544.7229, 26.94959
545.2050, 24.89782
545.6871, 23.08527
546.1693, 21.68801
546.6514, 20.54746
547.1335, 19.52501
547.6156, 18.59929
548.0977, 17.74593
548.5798, 16.98507
549.0620, 16.24292
549.5441, 15.25521
550.0262, 13.41339
550.5083, 12.11050
550.9904, 11.82574
551.4725, 11.73606
551.9547, 11.11845
552.4368, 10.06320
552.9189, 9.214603
553.4010, 9.117085
553.8831, 9.522606
554.3652, 9.389675
554.8474, 8.442261
555.3295, 7.669899
555.8116, 7.708004
556.2937, 7.742508
556.7758, 6.974754
557.2579, 5.447956
557.7401, 4.222393
558.2222, 4.213722
558.7043, 4.804062
559.1864, 4.852142
559.6685, 4.309116
560.1506, 3.772690
560.6328, 3.510208
561.1149, 3.460617
561.5970, 3.534443
562.0791, 3.819138
562.5612, 3.936935
563.0433, 3.611706
563.5255, 3.243233
564.0076, 3.338882
564.4897, 3.755932
564.9718, 3.774876
565.4539, 2.879051
565.9360, 1.436367
566.4182, 0.7249150
566.9003, 1.220978
567.3824, 1.555714
567.8645, 1.563339
568.3466, 1.457027
568.8287, 1.383305
569.3109, 1.325878
569.7930, 1.164696
570.2751, 0.7702180
570.7572, 0.2667310
571.2393, 8.2580999E-02
571.7214, 0.2703130
572.2036, 0.3625300
572.6857, 0.3427890
