##NAMES=Diamond
##RRUFFID=X080011
##IDEAL CHEMISTRY=C
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted yellow gemstone, 0.19 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080011
590.3635, 7.813317
590.8456, 3.962667
591.3278, 0.9574300
591.8099, 0.3562590
592.2920, 4.903086
592.7741, 8.857059
593.2562, 9.145052
593.7383, 7.145906
594.2205, 5.245268
594.7026, 4.423548
595.1847, 4.375985
595.6668, 4.925441
596.1489, 6.290673
596.6310, 6.249718
597.1132, 2.918048
597.5953, 0.6983870
598.0774, 3.648880
598.5595, 9.230864
599.0416, 12.27312
599.5237, 10.71176
600.0059, 8.023438
600.4880, 6.750718
600.9701, 6.379207
601.4522, 4.800657
601.9343, 1.484804
602.4164, 9.2436001E-02
602.8986, 4.700172
603.3807, 14.64727
603.8628, 20.34062
604.3449, 20.21196
604.8270, 18.45679
605.3091, 14.44090
605.7913, 10.00765
606.2734, 6.314157
606.7555, 3.918434
607.2376, 3.893961
607.7197, 7.967619
608.2018, 14.85167
608.6840, 17.94174
609.1661, 16.05520
609.6482, 13.77421
610.1303, 12.14909
610.6124, 10.90126
611.0945, 9.572105
611.5767, 8.157837
612.0588, 7.754335
612.5409, 10.17139
613.0230, 12.78761
613.5051, 11.81700
613.9872, 8.053000
614.4694, 6.018959
614.9515, 7.859348
615.4336, 10.88535
615.9157, 10.38256
616.3978, 4.535627
616.8799, 1.373734
617.3621, 2.494707
617.8442, 4.301795
618.3263, 5.773921
618.8084, 6.770703
619.2905, 7.539297
619.7726, 8.140845
620.2548, 7.683250
620.7369, 3.766451
621.2190, 3.364167
621.7011, 6.092818
622.1832, 2.175502
622.6653, 1.923696
623.1475, 1.059625
623.6296, 1.471645
624.1117, 0.3584490
624.5938, 9.080155
625.0759, 16.07246
625.5580, 16.58085
626.0402, 13.96588
626.5223, 11.06523
627.0044, 8.673912
627.4865, 8.582825
627.9686, 12.37220
628.4507, 18.32364
628.9329, 20.53151
629.4150, 16.42695
629.8971, 13.19905
630.3792, 11.53764
630.8613, 10.26905
631.3434, 8.414562
631.8256, 6.422092
632.3077, 5.656653
632.7898, 7.119292
633.2719, 9.141001
633.7540, 9.065557
634.2361, 7.175020
634.7183, 6.437045
635.2004, 7.776079
635.6825, 9.287625
636.1646, 9.156665
636.6467, 7.567502
637.1288, 6.830395
637.6110, 8.188046
638.0931, 8.758107
638.5752, 5.712579
639.0573, 2.423298
639.5394, 4.444407
640.0215, 11.38715
640.5037, 16.15445
640.9858, 12.15457
641.4679, 1.835330
641.9500, 2.173449
642.4321, 2.745730
642.9142, 7.542219
643.3964, 10.27595
643.8785, 12.27711
644.3606, 15.31190
644.8427, 18.70096
645.3248, 18.99224
645.8069, 11.84035
646.2891, 3.589988
646.7712, 0.8659610
647.2533, 2.450016
647.7354, 4.572008
648.2175, 6.212752
648.6996, 7.345087
649.1818, 7.844720
649.6639, 7.661997
650.1460, 7.815729
650.6281, 8.301685
651.1102, 9.110313
651.5923, 11.16573
652.0745, 12.97677
652.5566, 13.08208
653.0387, 11.29817
653.5208, 8.215020
654.0029, 2.781816
654.4850, 2.917524
654.9672, 1.100787
655.4493, 9.312680
655.9314, 15.20843
656.4135, 9.892536
656.8956, 1.073033
657.3777, 0.4531690
657.8599, 5.042565
658.3420, 8.531045
658.8241, 7.427447
659.3062, 5.511822
659.7883, 4.413257
660.2704, 4.080554
660.7526, 4.687866
661.2347, 6.114283
661.7168, 7.018289
662.1989, 5.367752
662.6810, 1.368275
663.1631, 1.014086
663.6453, 7.120834
664.1274, 11.22954
664.6095, 8.358612
665.0916, 3.757972
665.5737, 2.029490
666.0558, 3.436736
666.5380, 5.237967
667.0201, 5.862349
667.5022, 6.515097
667.9843, 9.178347
668.4664, 13.09864
668.9485, 15.55518
669.4307, 15.54856
669.9128, 13.87843
670.3949, 11.26933
670.8770, 7.337962
671.3591, 5.686522
671.8412, 8.736211
672.3234, 11.26457
672.8055, 11.63538
673.2876, 11.24389
673.7697, 11.76807
674.2518, 13.38912
674.7339, 14.69333
675.2161, 14.58427
675.6982, 13.44104
676.1803, 11.66256
676.6624, 9.287070
677.1445, 7.731996
677.6266, 7.604159
678.1088, 8.373302
678.5909, 9.598961
679.0730, 11.37717
679.5551, 11.34094
680.0372, 7.114391
680.5193, 4.622463
681.0015, 8.761296
681.4836, 14.34756
681.9657, 14.06670
682.4478, 6.744049
682.9299, 1.251921
683.4120, 3.837560
683.8942, 2.190981
684.3763, 0.8929200
