##NAMES=Palermoite
##RRUFFID=R130090
##IDEAL CHEMISTRY=Li_2_SrAl_4_(PO_4_)_4_(OH)_4_
##LOCALITY=Palermo Mine, N. Groton, New Hampshire, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch and Don Doell
##DESCRIPTION=Colorless prismatic crystal, associated with quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130090
406.5944, 16.95605
407.0765, 18.68591
407.5587, 20.75900
408.0408, 23.30957
408.5229, 25.85846
409.0050, 27.63553
409.4871, 28.68396
409.9692, 29.96313
410.4514, 31.72971
410.9335, 33.88281
411.4156, 36.27866
411.8977, 38.86658
412.3798, 41.51981
412.8619, 44.06430
413.3441, 46.58258
413.8262, 49.31284
414.3083, 52.35052
414.7904, 55.39264
415.2725, 57.96887
415.7546, 60.37317
416.2368, 63.26724
416.7189, 67.27042
417.2010, 71.60825
417.6831, 75.84872
418.1652, 79.93143
418.6473, 83.74158
419.1295, 86.66562
419.6116, 89.52747
420.0937, 93.03693
420.5758, 97.85709
421.0579, 102.6856
421.5400, 107.3238
422.0222, 111.7034
422.5043, 115.7928
422.9864, 119.2860
423.4685, 122.6990
423.9506, 126.2133
424.4327, 129.7579
424.9149, 133.6431
425.3970, 137.9167
425.8791, 142.4957
426.3612, 147.3892
426.8433, 152.8602
427.3254, 158.1488
427.8076, 162.9787
428.2897, 167.4962
428.7718, 172.5282
429.2539, 178.2043
429.7360, 183.9715
430.2181, 189.4387
430.7003, 194.5690
431.1824, 199.6902
431.6645, 204.9694
432.1466, 209.9677
432.6287, 213.7831
433.1108, 216.3754
433.5930, 218.5634
434.0751, 221.2026
434.5572, 223.6164
435.0393, 223.5089
435.5214, 220.8842
436.0035, 216.4169
436.4857, 210.3431
436.9678, 202.9344
437.4499, 194.6699
437.9320, 185.6031
438.4141, 175.8249
438.8962, 164.7112
439.3784, 152.8318
439.8605, 141.8681
440.3426, 133.0299
440.8247, 125.3055
441.3068, 117.7172
441.7889, 110.2205
442.2711, 103.2350
442.7532, 96.77631
443.2353, 91.02887
443.7174, 86.18445
444.1995, 82.69223
444.6816, 79.57434
445.1638, 76.63019
445.6459, 73.93558
446.1280, 71.48129
446.6101, 69.44937
447.0922, 67.42682
447.5743, 65.18518
448.0565, 62.52527
448.5386, 60.25732
449.0207, 58.59702
449.5028, 57.19522
