##NAMES=Vuoriyarvite-K
##RRUFFID=R070703
##IDEAL CHEMISTRY=(K,Na,[box])_12_Nb_8_(Si_4_O_12_)_4_O_8_&#183;12-16H_2_O
##LOCALITY=Vein No. 46,  Kirovskii apatite mine (Kirovsky Mine; Kirov Mine),  Kukisvumchorr Mt,  Khibiny Massif,  Kola Peninsula,  Murmanskaja Oblast',  Northern Region,  Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light tan, compact mass of micro-crystals associated with calcite and greenish sodalite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070703
591.0710, 199.5020
591.5532, 213.6406
592.0353, 189.9336
592.5174, 178.0781
592.9995, 210.3359
593.4816, 277.6875
593.9637, 312.2871
594.4459, 312.3887
594.9280, 298.6328
595.4101, 281.6445
595.8922, 265.8027
596.3743, 261.2461
596.8564, 272.7129
597.3386, 289.0020
597.8207, 308.7090
598.3028, 325.7832
598.7849, 329.3750
599.2670, 284.1289
599.7491, 254.2891
600.2313, 288.1035
600.7134, 381.8047
601.1955, 411.2500
601.6776, 314.9180
602.1597, 205.6250
602.6418, 134.7773
603.1240, 108.9512
603.6061, 113.1289
604.0882, 165.3457
604.5703, 218.1035
605.0524, 191.2363
605.5345, 87.64062
606.0167, 30.25195
606.4988, 66.95508
606.9809, 144.9277
607.4630, 178.9141
607.9451, 172.9785
608.4272, 146.8848
608.9094, 98.07422
609.3915, 42.68945
609.8736, 2.642578
610.3557, 36.80273
610.8378, 70.60547
611.3199, 110.3242
611.8021, 151.3047
612.2842, 189.3047
612.7663, 206.9551
613.2484, 246.0254
613.7305, 325.3477
614.2126, 419.4141
614.6948, 481.8984
615.1769, 502.8379
615.6590, 520.5098
616.1411, 542.8691
616.6232, 569.8242
617.1053, 602.9941
617.5875, 642.9102
618.0696, 676.5664
618.5517, 682.4902
619.0338, 678.0176
619.5159, 708.8008
619.9980, 782.2207
620.4802, 855.1953
620.9623, 893.2559
621.4444, 912.2617
621.9265, 930.9844
622.4086, 941.0957
622.8907, 970.9766
623.3729, 1051.025
623.8550, 1158.721
624.3371, 1228.973
624.8192, 1227.721
625.3013, 1222.484
625.7834, 1225.105
626.2656, 1236.350
626.7477, 1271.963
627.2298, 1332.738
627.7119, 1412.064
628.1940, 1508.771
628.6761, 1622.488
629.1583, 1726.773
629.6404, 1817.414
630.1225, 1898.789
630.6046, 1973.117
631.0867, 2039.100
631.5688, 2109.521
632.0510, 2181.449
632.5331, 2254.166
633.0152, 2341.898
633.4973, 2434.568
633.9794, 2517.572
634.4615, 2566.842
634.9437, 2628.768
635.4258, 2738.145
635.9079, 2900.547
636.3900, 3025.152
636.8721, 3094.201
637.3542, 3147.459
637.8364, 3227.072
638.3185, 3324.438
