##NAMES=Nenadkevichite
##RRUFFID=R070610
##IDEAL CHEMISTRY=(Na,[box])_8_Nb_4_(Si_4_O_12_)_2_(O,OH)_4_&#183;8H_2_O
##LOCALITY=Desourdy Quarry, Mount Saint Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Cluster of pale-pink translucent tabular pseudohexagonal crystals, associated with analcime
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070610
621.6157, 271.8618
622.0978, 250.9810
622.5800, 235.0815
623.0621, 239.4028
623.5442, 253.0200
624.0263, 254.9937
624.5084, 234.7178
624.9905, 213.7217
625.4727, 216.1929
625.9548, 234.2520
626.4369, 244.7129
626.9190, 244.4028
627.4011, 229.3872
627.8832, 191.8979
628.3654, 134.5859
628.8475, 95.17041
629.3296, 82.27588
629.8117, 73.05176
630.2938, 68.25635
630.7759, 61.82520
631.2581, 45.37842
631.7402, 19.64355
632.2223, 4.175293
632.7044, 13.80078
633.1865, 14.56445
633.6686, 30.31982
634.1508, 62.01855
634.6329, 103.8740
635.1150, 164.4360
635.5971, 226.3467
636.0792, 265.1279
636.5613, 278.0020
637.0435, 301.4561
637.5256, 356.8188
638.0077, 419.7769
638.4898, 466.5894
638.9719, 501.5117
639.4540, 540.3955
639.9362, 590.6523
640.4183, 649.2798
640.9004, 709.9570
641.3825, 770.0420
641.8646, 839.8408
642.3467, 944.1069
642.8289, 1032.354
643.3110, 1063.334
643.7931, 1066.738
644.2752, 1103.166
644.7573, 1203.735
645.2394, 1314.740
645.7216, 1382.612
646.2037, 1420.832
646.6858, 1468.221
647.1679, 1531.574
647.6500, 1605.688
648.1321, 1687.891
648.6143, 1777.213
649.0964, 1866.769
649.5785, 1954.386
650.0606, 2043.100
650.5427, 2136.840
651.0248, 2229.785
651.5070, 2311.254
651.9891, 2384.477
652.4712, 2470.040
652.9533, 2590.473
653.4354, 2729.817
653.9175, 2844.476
654.3997, 2933.028
654.8818, 3017.913
655.3639, 3103.944
655.8460, 3193.603
656.3281, 3293.595
656.8102, 3405.011
657.2924, 3510.499
657.7745, 3594.004
658.2566, 3686.110
658.7387, 3818.397
659.2208, 3968.799
659.7029, 4087.310
660.1851, 4158.347
660.6672, 4221.694
661.1493, 4339.321
661.6314, 4517.964
662.1135, 4652.479
662.5956, 4716.621
663.0778, 4782.271
663.5599, 4886.126
664.0420, 5010.840
664.5241, 5137.938
665.0062, 5266.962
665.4883, 5388.719
665.9705, 5488.159
666.4526, 5584.333
666.9347, 5703.246
667.4168, 5843.627
667.8989, 5986.470
668.3810, 6120.649
668.8632, 6249.268
669.3453, 6380.606
669.8274, 6515.371
670.3095, 6648.154
670.7916, 6774.237
671.2737, 6903.126
671.7559, 7041.984
672.2380, 7187.836
672.7201, 7334.369
673.2022, 7476.430
673.6843, 7623.379
674.1664, 7789.420
674.6486, 7967.250
675.1307, 8136.333
675.6128, 8292.092
676.0949, 8449.862
676.5770, 8625.191
677.0591, 8813.938
677.5413, 8976.241
678.0234, 9087.312
678.5055, 9205.615
678.9876, 9338.243
679.4697, 9477.948
679.9518, 9610.662
