##NAMES=Chlorartinite
##RRUFFID=R060878
##IDEAL CHEMISTRY=Mg_2_CO_3_Cl(OH)&#183;2.5H_2_O
##LOCALITY=500m level, Quarry of Udachnaya-Vostochnaya pipe, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fibrous mass, associated with larger crystals of aragonite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R060878
491.9291, 0.1604310
492.4112, 1.9699000E-02
492.8933, 1.1848000E-02
493.3754, 0.4152910
493.8575, 1.149780
494.3397, 1.463150
494.8218, 1.071724
495.3039, 0.4294280
495.7860, 0.1533660
496.2681, 0.1586990
496.7502, 0.1541600
497.2324, 0.1395340
497.7145, 0.4379960
498.1966, 0.4291150
498.6787, 9.6709996E-02
499.1608, 0.2269670
499.6429, 0.4085010
500.1251, 0.4806370
500.6072, 0.4655690
501.0893, 0.1812060
501.5714, 6.7322001E-02
502.0535, 0.4379960
502.5356, 1.034164
503.0178, 1.275284
503.4999, 0.7871250
503.9820, 0.2951280
504.4641, 3.5682999E-02
504.9462, 0.2023700
505.4283, 0.2716060
505.9105, 0.1984940
506.3926, 9.2987001E-02
506.8747, 3.8391002E-02
507.3568, 4.2015001E-02
507.8389, 5.3734001E-02
508.3210, 9.4269000E-02
508.8032, 9.6519001E-02
509.2853, 0.1226580
509.7674, 0.5446170
510.2495, 0.8605580
510.7316, 0.8727260
511.2137, 0.7252200
511.6959, 0.7556380
512.1780, 0.9481810
512.6601, 1.112511
513.1422, 1.029678
513.6243, 0.8670120
514.1064, 0.8722990
514.5886, 1.148079
515.0707, 1.375580
515.5528, 1.319130
516.0349, 1.100739
516.5170, 0.8959350
516.9991, 0.6380080
517.4813, 0.5288160
517.9634, 0.7583010
518.4455, 1.267281
518.9276, 1.565964
519.4097, 1.338730
519.8918, 1.115784
520.3740, 1.118858
520.8561, 1.427612
521.3382, 1.700851
521.8203, 1.934532
522.3024, 2.102737
522.7845, 2.242905
523.2667, 2.380119
523.7488, 2.487617
524.2309, 2.563393
524.7130, 2.608910
525.1951, 2.634094
525.6772, 2.639503
526.1594, 2.604256
526.6415, 2.509811
527.1236, 2.363792
527.6057, 2.179985
528.0878, 1.969536
528.5699, 1.778290
529.0521, 1.621490
529.5342, 1.517395
530.0163, 1.513672
530.4984, 1.701637
530.9805, 1.842667
531.4626, 1.704460
531.9448, 1.434296
532.4269, 1.317955
532.9090, 1.624138
533.3911, 1.903358
533.8732, 2.022957
534.3553, 1.985863
534.8375, 1.861870
535.3196, 1.404251
535.8017, 1.104172
536.2838, 1.305519
536.7659, 2.355988
537.2480, 2.913101
537.7302, 2.862228
538.2123, 2.457977
538.6944, 2.002159
539.1765, 1.478065
539.6586, 1.097748
540.1407, 0.9476470
540.6229, 0.9569470
541.1050, 0.9913480
541.5871, 1.048866
542.0692, 1.092789
542.5513, 1.134445
543.0334, 1.167274
543.5156, 1.198807
543.9977, 1.237289
544.4798, 1.138504
544.9619, 0.5911480
545.4440, 5.9783999E-02
545.9261, 0.4368740
546.4083, 0.3729930
546.8904, 0.1227040
547.3725, 0.4696580
547.8546, 1.171127
548.3367, 1.498962
548.8188, 0.9803770
549.3010, 0.4980160
549.7831, 0.2628940
550.2652, 0.2710190
550.7473, 0.3281250
551.2294, 0.4720150
551.7115, 0.6093670
552.1937, 0.6978610
552.6758, 0.7426300
553.1579, 0.6834110
553.6400, 0.4928360
554.1221, 0.2714770
554.6042, 0.1382140
555.0864, 7.9810999E-02
555.5685, 6.5261997E-02
556.0506, 0.1077190
556.5327, 0.2287600
557.0148, 0.4846500
557.4969, 0.8186420
557.9791, 1.048866
558.4612, 1.026588
558.9433, 0.8842540
559.4254, 0.6936190
559.9075, 0.4590990
560.3896, 0.2797850
560.8718, 0.1104580
561.3539, 6.6284001E-02
561.8360, 0.2547230
562.3181, 1.106201
562.8002, 1.530952
563.2823, 1.146439
563.7645, 0.4719390
564.2466, 0.3276900
564.7287, 1.012360
565.2108, 1.547653
565.6929, 1.705315
566.1750, 1.541656
566.6572, 1.261124
567.1393, 0.8436970
567.6214, 0.5268400
568.1035, 0.4661250
568.5856, 0.6242600
569.0677, 0.8606490
569.5499, 1.166748
570.0320, 1.568245
570.5141, 2.308334
570.9962, 3.101845
571.4783, 3.447449
571.9604, 3.069725
572.4426, 2.546829
572.9247, 2.163589
573.4068, 1.905426
573.8889, 1.737526
574.3710, 1.560776
574.8531, 1.566460
575.3353, 1.959549
575.8174, 2.694916
576.2995, 3.136414
576.7816, 3.082520
577.2637, 2.952652
577.7458, 2.937294
578.2280, 3.076012
578.7101, 3.109329
579.1922, 3.004372
579.6743, 2.862190
580.1564, 2.768623
580.6385, 2.725182
581.1207, 2.765007
581.6028, 2.892883
