##NAMES=Rooseveltite
##RRUFFID=R060804
##IDEAL CHEMISTRY=Bi^3+^As^5+^O_4_
##LOCALITY=Josef mine, Moldava, Czech. Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue-gray ill-formed grains, somewhat in spherical shapes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060804
351.9743, 2775.202
352.4565, 2695.692
352.9386, 2623.379
353.4207, 2543.345
353.9028, 2464.087
354.3849, 2401.725
354.8670, 2362.523
355.3492, 2317.724
355.8313, 2232.322
356.3134, 2124.266
356.7955, 2027.252
357.2776, 1967.253
357.7597, 1919.829
358.2419, 1868.452
358.7240, 1812.402
359.2061, 1747.602
359.6882, 1659.880
360.1703, 1565.678
360.6524, 1484.457
361.1346, 1438.178
361.6167, 1392.093
362.0988, 1325.620
362.5809, 1240.264
363.0630, 1163.833
363.5451, 1112.907
364.0273, 1069.990
364.5094, 1022.182
364.9915, 949.3916
365.4736, 890.4307
365.9557, 862.0439
366.4378, 856.8848
366.9200, 843.3320
367.4021, 804.7627
367.8842, 767.2266
368.3663, 743.1250
368.8484, 746.1816
369.3305, 742.3838
369.8127, 726.3350
370.2948, 704.4531
370.7769, 690.8223
371.2590, 693.8604
371.7411, 693.9707
372.2232, 682.3477
372.7054, 653.1445
373.1875, 636.6680
373.6696, 637.6416
374.1517, 646.4307
374.6338, 649.2959
375.1159, 641.0410
375.5981, 641.3418
376.0802, 658.4092
376.5623, 690.5029
377.0444, 712.7793
377.5265, 722.3730
378.0086, 729.7900
378.4908, 746.4473
378.9729, 773.1279
379.4550, 795.0137
379.9371, 808.1240
380.4192, 816.2500
380.9013, 827.3496
381.3835, 841.7051
381.8656, 862.2168
382.3477, 894.8369
382.8298, 936.3135
383.3119, 971.9570
383.7940, 997.2520
384.2762, 1023.139
384.7583, 1063.013
385.2404, 1116.027
385.7225, 1179.474
386.2046, 1266.233
386.6867, 1356.446
387.1689, 1414.793
387.6510, 1435.540
388.1331, 1456.333
388.6152, 1507.496
389.0973, 1581.020
389.5794, 1662.235
390.0616, 1766.567
390.5437, 1861.263
391.0258, 1914.208
391.5079, 1929.126
391.9900, 1944.122
392.4721, 1982.792
392.9542, 2029.709
393.4363, 2072.292
393.9185, 2117.869
394.4006, 2145.468
394.8827, 2144.342
395.3648, 2119.337
395.8469, 2085.264
396.3290, 2042.642
396.8112, 1994.422
397.2933, 1941.198
397.7754, 1881.861
398.2575, 1820.647
398.7396, 1758.938
399.2217, 1694.876
399.7039, 1625.614
400.1860, 1547.939
400.6681, 1468.340
401.1502, 1383.143
401.6323, 1289.020
402.1144, 1222.474
402.5966, 1199.381
403.0787, 1186.396
403.5608, 1152.143
404.0429, 1087.100
404.5250, 1027.366
405.0071, 978.0322
405.4893, 937.7920
405.9714, 905.6650
406.4535, 883.6709
406.9356, 860.2900
407.4177, 829.1836
407.8998, 790.0264
408.3820, 740.5361
408.8641, 675.9023
409.3462, 609.1660
409.8283, 566.9619
410.3104, 547.2715
410.7925, 527.5693
411.2747, 496.1221
411.7568, 456.1816
412.2389, 418.4287
