##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=BiAl_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
205.9433, 5.329041
206.4254, 6.724121
206.9075, 9.381042
207.3896, 11.24652
207.8717, 11.50409
208.3539, 11.66516
208.8360, 12.09778
209.3181, 12.82672
209.8002, 13.72858
210.2823, 14.66949
210.7644, 15.60126
211.2466, 17.00555
211.7287, 19.41217
212.2108, 21.75146
212.6929, 23.54565
213.1750, 24.86578
213.6571, 26.09033
214.1393, 27.55450
214.6214, 29.29578
215.1035, 31.09497
215.5856, 32.88855
216.0677, 34.78571
216.5498, 36.93604
217.0320, 39.27698
217.5141, 41.59497
217.9962, 43.68353
218.4783, 45.51520
218.9604, 47.28333
219.4425, 48.83521
219.9247, 50.44958
220.4068, 52.31903
220.8889, 54.43726
221.3710, 56.64532
221.8531, 58.79523
222.3352, 60.88745
222.8174, 63.15350
223.2995, 65.87250
223.7816, 68.56226
224.2637, 70.73163
224.7458, 72.38788
225.2279, 74.09888
225.7100, 76.40881
226.1922, 79.22577
226.6743, 81.78009
227.1564, 83.78394
227.6385, 85.65259
228.1206, 87.67029
228.6027, 89.84302
229.0849, 92.30090
229.5670, 95.50507
230.0491, 99.05396
230.5312, 101.8421
231.0133, 103.1909
231.4954, 103.9636
231.9776, 105.0702
232.4597, 106.5328
232.9418, 108.1757
233.4239, 110.0820
233.9060, 112.0695
234.3881, 113.8724
234.8703, 115.5428
235.3524, 116.8962
235.8345, 117.7014
236.3166, 117.9453
236.7987, 117.6805
237.2808, 116.5586
237.7630, 115.0508
238.2451, 113.6385
238.7272, 112.4894
239.2093, 111.4667
239.6914, 110.4414
240.1735, 109.5089
240.6557, 108.2407
241.1378, 106.2704
241.6199, 103.9855
242.1020, 101.6934
242.5841, 99.47900
243.0662, 97.37866
243.5484, 95.36627
244.0305, 93.28406
244.5126, 91.77814
244.9947, 91.54797
245.4768, 91.65540
245.9589, 91.23663
246.4410, 89.97302
246.9232, 88.38910
247.4053, 87.31458
247.8874, 86.75482
248.3695, 86.78589
248.8516, 87.95380
