##NAMES=Kurchatovite
##RRUFFID=R130074
##IDEAL CHEMISTRY=CaMgB_2_O_5_
##LOCALITY=Solongo B deposit, Vitim Plateau, Buriatia (Buryatia) Republic, Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia
##OWNER=RRUFF
##SOURCE=Igor Pekov
##DESCRIPTION=Pale gray crystals with good cleavage, associated with white frolovite and yellow wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130074
279.7372, 76.07178
280.2193, 73.69849
280.7014, 71.23425
281.1835, 67.62024
281.6656, 62.85950
282.1478, 58.99396
282.6299, 56.13062
283.1120, 54.20435
283.5941, 53.60455
284.0762, 54.45807
284.5583, 54.75317
285.0405, 52.96973
285.5226, 49.46191
286.0047, 47.36420
286.4868, 46.73212
286.9689, 47.04462
287.4510, 47.84534
287.9332, 49.11584
288.4153, 50.71210
288.8974, 52.70447
289.3795, 55.08057
289.8616, 57.41132
290.3438, 59.63507
290.8259, 61.95636
291.3080, 64.71039
291.7901, 67.81952
292.2722, 71.01019
292.7543, 74.07117
293.2365, 77.16248
293.7186, 80.95612
294.2007, 85.43762
294.6828, 89.48059
295.1649, 91.97278
295.6470, 93.16187
296.1292, 93.87396
296.6113, 94.05829
297.0934, 94.14935
297.5755, 94.84503
298.0576, 96.12683
298.5397, 97.70410
299.0219, 99.62726
299.5040, 101.6989
299.9861, 103.3781
300.4682, 104.3734
300.9503, 105.3494
301.4324, 107.3929
301.9146, 110.2322
302.3967, 112.7986
302.8788, 113.9360
303.3609, 114.5305
303.8430, 115.9795
304.3251, 118.6824
304.8073, 121.4415
305.2894, 123.3322
305.7715, 124.4301
306.2536, 124.9807
306.7357, 125.0905
307.2178, 124.6885
307.7000, 123.8205
308.1821, 122.5238
308.6642, 120.2771
309.1463, 116.4357
309.6284, 111.4393
310.1105, 105.9129
310.5927, 99.81445
311.0748, 93.57123
311.5569, 87.25452
312.0390, 80.88538
312.5211, 74.96466
313.0032, 70.01404
313.4854, 65.50696
313.9675, 60.95087
314.4496, 55.87512
314.9317, 51.02087
315.4138, 46.76379
315.8959, 43.06335
316.3781, 39.49426
316.8602, 35.27039
317.3423, 31.50323
317.8244, 29.09027
318.3065, 29.10895
318.7886, 29.24860
319.2708, 28.72882
319.7529, 27.75085
320.2350, 26.88019
320.7171, 26.02844
321.1992, 25.51404
321.6813, 25.65912
322.1635, 27.12726
322.6456, 27.79321
323.1277, 26.11945
323.6098, 23.55298
324.0919, 22.51447
324.5740, 24.79413
325.0562, 27.36920
325.5383, 29.37500
326.0204, 30.68781
326.5025, 31.76489
326.9846, 32.48163
327.4667, 33.04810
327.9489, 33.69855
328.4310, 34.62891
328.9131, 35.45459
329.3952, 36.17236
329.8773, 36.79211
330.3594, 37.13293
330.8416, 36.86469
331.3237, 36.60425
331.8058, 36.76666
332.2879, 37.32477
332.7700, 38.38721
333.2521, 40.20148
333.7343, 42.55621
334.2164, 44.47180
334.6985, 45.75403
335.1806, 46.88550
335.6627, 48.14081
336.1448, 49.48346
336.6270, 50.74786
337.1091, 51.93103
337.5912, 53.06842
338.0733, 54.24597
338.5554, 55.54187
339.0375, 56.50995
339.5197, 56.97052
340.0018, 56.92242
340.4839, 56.63348
340.9660, 56.04340
341.4481, 55.37738
341.9302, 55.04620
342.4124, 55.06976
342.8945, 54.67596
343.3766, 53.48981
343.8587, 51.73291
344.3408, 50.16455
344.8229, 48.75366
345.3051, 48.05243
345.7872, 48.86444
346.2693, 50.87885
346.7514, 52.31409
347.2335, 52.52844
347.7156, 52.31342
348.1978, 53.50995
348.6799, 56.09302
349.1620, 58.76202
349.6441, 60.29199
350.1262, 61.15338
350.6083, 62.60010
351.0905, 64.88855
351.5726, 67.40906
352.0547, 69.55945
352.5368, 71.42267
353.0189, 73.16724
353.5010, 74.72009
353.9832, 76.10718
354.4653, 77.74719
354.9474, 79.79327
355.4295, 81.04742
355.9116, 79.66333
356.3937, 76.80426
356.8759, 74.50366
357.3580, 74.39484
357.8401, 74.46912
358.3222, 73.17810
358.8043, 70.68140
359.2864, 68.24634
359.7686, 66.51172
360.2507, 65.14868
360.7328, 63.89307
361.2149, 62.64453
361.6970, 61.51227
362.1791, 60.78705
362.6613, 60.21350
363.1434, 59.20526
363.6255, 56.85046
364.1076, 54.58313
364.5897, 53.21906
365.0718, 53.27332
365.5540, 52.82983
366.0361, 51.16650
366.5182, 48.96167
367.0003, 47.02930
367.4824, 45.99097
367.9645, 44.70380
368.4467, 42.73926
368.9288, 40.09082
369.4109, 37.88684
369.8930, 36.19507
370.3751, 34.91913
370.8572, 34.05255
371.3394, 34.15479
371.8215, 33.75861
372.3036, 32.69458
372.7857, 31.05670
373.2678, 29.06604
373.7499, 26.27722
374.2321, 23.87378
374.7142, 22.69733
375.1963, 23.32770
375.6784, 22.43115
376.1605, 19.32330
376.6426, 15.54968
377.1248, 13.85413
377.6069, 14.60712
378.0890, 15.04401
378.5711, 14.14612
379.0532, 12.10901
379.5353, 10.41113
380.0175, 9.072998
380.4996, 7.905273
380.9817, 6.653076
381.4638, 5.365723
381.9459, 4.407288
382.4280, 3.889526
382.9102, 3.701477
383.3923, 3.874878
383.8744, 4.341858
384.3565, 4.452515
384.8386, 3.269348
385.3207, 1.506714
385.8029, 0.8495480
386.2850, 1.621216
386.7671, 2.595398
387.2492, 2.408142
387.7313, 1.455017
388.2134, 0.6412960
388.6956, 0.5609130
389.1777, 0.7036740
389.6598, 0.5621950
390.1419, 0.1582640
390.6240, 0.1300660
391.1061, 0.3025510
391.5883, 0.8226320
392.0704, 0.7120360
392.5525, 0.8509520
393.0346, 2.194580
393.5167, 2.385986
393.9988, 1.748474
394.4810, 1.205566
394.9631, 1.260559
395.4452, 1.347046
395.9273, 1.141418
396.4094, 0.4782710
396.8915, 5.8899000E-02
397.3737, 0.3866580
397.8558, 0.5140380
398.3379, 0.4518430
398.8200, 0.1403810
399.3021, 0.5808720
399.7842, 0.6600950
400.2664, 0.3873900
400.7485, 0.3216550
401.2306, 0.4417720
401.7127, 0.8077390
402.1948, 1.551453
402.6769, 3.176514
403.1591, 4.079224
403.6412, 3.990784
404.1233, 3.211121
404.6054, 2.319275
405.0875, 1.077637
405.5696, 0.4470830
406.0518, 1.077698
406.5339, 3.015869
407.0160, 4.268860
407.4981, 4.720764
407.9802, 4.749207
408.4623, 4.663391
408.9445, 4.460449
409.4266, 4.465637
409.9087, 4.946838
410.3908, 5.521362
410.8729, 5.059082
411.3550, 3.586243
411.8372, 2.215637
412.3193, 2.239563
412.8014, 2.908203
413.2835, 2.199036
413.7656, 0.4666750
414.2477, 3.264404
414.7299, 3.715820
415.2120, 2.709778
415.6941, 2.377625
416.1762, 4.716187
416.6583, 7.499756
417.1404, 8.428955
417.6226, 7.532654
418.1047, 6.845764
418.5868, 7.739075
419.0689, 9.303223
419.5510, 10.69556
420.0331, 11.64575
420.5153, 12.43280
420.9974, 13.16040
421.4795, 13.80469
421.9616, 14.26495
422.4437, 14.44928
422.9258, 14.53015
423.4080, 14.48462
423.8901, 14.14948
424.3722, 14.34351
424.8543, 15.75690
425.3364, 17.45074
425.8185, 18.48724
426.3007, 18.34015
426.7828, 18.32220
427.2649, 18.56946
427.7470, 19.08008
428.2291, 19.95282
428.7112, 21.47943
429.1934, 22.82983
429.6755, 23.25793
430.1576, 22.28412
430.6397, 23.17328
431.1218, 26.87573
431.6039, 31.04803
432.0861, 31.43951
432.5682, 27.75641
433.0503, 24.65118
433.5324, 23.99872
434.0145, 25.09564
434.4966, 25.50806
434.9788, 25.22614
435.4609, 24.77600
435.9430, 24.27301
436.4251, 23.94397
436.9072, 24.44409
437.3893, 25.99829
437.8715, 28.14569
438.3536, 30.88409
438.8357, 33.86450
439.3178, 36.11212
439.7999, 36.74426
440.2820, 36.64520
440.7642, 36.39819
441.2463, 36.02771
441.7284, 35.97430
442.2105, 36.66833
442.6926, 37.68945
443.1747, 38.64062
443.6569, 39.49597
444.1390, 40.15558
444.6211, 40.31238
445.1032, 40.21057
445.5853, 40.55292
446.0674, 41.97705
446.5496, 43.43274
447.0317, 44.45782
447.5138, 44.79761
447.9959, 45.59973
448.4780, 47.35266
448.9601, 49.27319
449.4423, 50.51947
449.9244, 50.43854
450.4065, 51.01794
450.8886, 52.57819
451.3707, 55.02838
451.8528, 57.94501
452.3350, 61.41736
452.8171, 65.05469
453.2992, 68.84247
453.7813, 72.81030
454.2634, 76.21210
454.7455, 78.83112
455.2277, 81.49719
455.7098, 85.74786
456.1919, 91.26050
456.6740, 96.13013
457.1561, 99.31049
457.6382, 101.7334
458.1204, 105.1312
458.6025, 109.3393
459.0846, 112.9775
459.5667, 114.8154
460.0488, 115.6699
460.5309, 116.6321
461.0131, 117.9921
461.4952, 119.1981
461.9773, 120.0068
462.4594, 120.3878
462.9415, 120.3152
463.4236, 119.6201
463.9058, 118.4445
464.3879, 116.6141
464.8700, 114.2476
465.3521, 111.9273
465.8342, 109.5970
466.3163, 107.5182
466.7985, 105.9067
467.2806, 105.3475
467.7627, 104.0851
468.2448, 101.5727
468.7269, 98.62488
469.2090, 96.37061
469.6912, 95.16736
470.1733, 93.83917
470.6554, 91.78760
471.1375, 89.29285
471.6196, 88.62646
472.1017, 90.16058
472.5839, 92.13898
473.0660, 93.35748
473.5481, 93.74689
474.0302, 94.74921
474.5123, 96.71332
474.9944, 98.64886
475.4766, 98.98804
475.9587, 97.92828
476.4408, 96.59344
476.9229, 94.97430
477.4050, 93.49628
477.8871, 92.99078
478.3693, 93.48975
478.8514, 94.82617
479.3335, 97.25092
479.8156, 100.1609
480.2977, 102.6132
480.7798, 104.0045
481.2620, 106.4449
481.7441, 112.1027
482.2262, 119.3752
482.7083, 125.9007
483.1904, 130.5562
483.6725, 134.6577
484.1547, 138.5463
484.6368, 142.2216
485.1189, 145.7362
485.6010, 149.2551
486.0831, 152.3981
486.5652, 154.9423
487.0474, 156.5173
487.5295, 158.3431
488.0116, 160.5371
488.4937, 162.8671
488.9758, 165.0939
489.4579, 167.3304
489.9401, 169.1788
490.4222, 170.6941
490.9043, 171.7391
491.3864, 171.5422
491.8685, 169.9610
492.3506, 168.0940
492.8328, 166.5906
493.3149, 165.4244
493.7970, 164.2728
494.2791, 162.9922
494.7612, 162.3974
495.2433, 163.6989
495.7255, 166.4160
496.2076, 169.3777
496.6897, 172.3751
497.1718, 175.3782
497.6539, 178.2964
498.1360, 180.9597
498.6182, 183.0532
499.1003, 184.4758
499.5824, 185.2527
500.0645, 185.2939
500.5466, 184.5161
501.0287, 183.4800
501.5109, 181.4485
501.9930, 179.6452
502.4751, 179.2945
502.9572, 184.5854
503.4393, 186.3801
503.9214, 182.4383
504.4036, 174.2382
504.8857, 166.7703
505.3678, 160.3395
505.8499, 153.9730
506.3320, 147.2713
506.8141, 140.2190
507.2963, 133.3148
507.7784, 126.6448
508.2605, 119.7529
508.7426, 111.6028
509.2247, 102.3630
509.7068, 94.04999
510.1890, 87.13904
510.6711, 81.15973
511.1532, 75.71832
511.6353, 70.69019
512.1174, 65.63055
512.5995, 59.67065
513.0817, 53.83289
513.5638, 49.57996
514.0459, 46.87018
514.5280, 44.34088
515.0101, 41.16675
515.4922, 37.74268
515.9744, 34.44702
516.4565, 31.26526
516.9386, 28.37024
517.4207, 25.93134
517.9028, 23.80957
518.3849, 21.76501
518.8671, 19.70233
519.3492, 17.77100
519.8313, 15.93298
520.3134, 14.21173
520.7955, 12.80109
521.2776, 11.78986
521.7598, 10.93506
522.2419, 10.26343
522.7240, 9.964050
523.2061, 8.584839
523.6882, 5.656494
524.1703, 2.582825
524.6525, 1.349121
525.1346, 1.851257
525.6167, 2.588501
526.0988, 3.385742
526.5809, 3.922729
527.0630, 3.286560
527.5452, 1.691650
528.0273, 0.3345340
528.5094, 0.1885990
528.9915, 0.5257570
529.4736, 0.4185180
529.9557, 0.2233280
530.4379, 0.6210330
530.9200, 2.8503001E-02
531.4021, 0.9805910
531.8842, 1.503845
532.3663, 1.270203
532.8484, 0.7871700
533.3306, 0.1782840
533.8127, 1.297058
534.2948, 1.842041
534.7769, 1.033203
535.2590, 0.4943850
535.7411, 0.7600100
536.2233, 1.787109
536.7054, 2.172119
537.1875, 1.693420
537.6696, 0.9711300
538.1517, 0.3358150
538.6339, 0.2163700
539.1160, 0.6224980
539.5981, 0.8592530
540.0802, 1.013367
540.5623, 1.331482
541.0444, 1.728943
541.5266, 1.683472
542.0087, 0.7013550
542.4908, 0.4301760
542.9729, 0.4742430
543.4550, 0.3580930
543.9371, 1.242310
544.4193, 1.738525
544.9014, 2.072937
545.3835, 2.485229
545.8656, 3.005798
546.3477, 3.291626
546.8298, 3.045898
547.3120, 2.593140
547.7941, 2.195374
548.2762, 1.805786
548.7583, 1.586914
549.2404, 1.653687
549.7225, 1.859802
550.2047, 1.985474
550.6868, 2.121277
551.1689, 1.973328
551.6510, 1.314026
552.1331, 0.2846680
552.6152, 6.4090001E-03
553.0974, 0.6522220
553.5795, 1.051514
554.0616, 7.5070001E-03
554.5437, 2.151367
555.0258, 3.151306
555.5079, 2.789185
555.9901, 1.927673
556.4722, 1.247986
556.9543, 0.7484130
557.4364, 0.4466550
557.9185, 0.4037480
558.4006, 0.4738770
558.8828, 0.7437740
559.3649, 1.050842
559.8470, 1.007080
560.3291, 6.1400998E-02
560.8112, 1.010864
561.2933, 1.184326
561.7755, 0.5375980
562.2576, 0.1404420
562.7397, 0.4288330
563.2218, 0.7421880
563.7039, 0.7456670
564.1860, 0.2779540
564.6682, 0.1539310
565.1503, 0.8291630
565.6324, 1.097961
566.1145, 0.3699950
566.5966, 3.935059
567.0787, 6.014832
567.5609, 5.559753
568.0430, 3.585999
