##NAMES=Derriksite
##RRUFFID=R100223
##IDEAL CHEMISTRY=Cu_4_(UO_2_)(Se^4+^O_3_)_2_(OH)_6_
##LOCALITY=Musonoi mine, Kolwezi, Katanga, Congo
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark green crystal associated with metatorbernite, malachite and brochantite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100223
516.7446, 19.19176
517.2267, 18.41588
517.7089, 18.09275
518.1910, 17.85736
518.6731, 17.97966
519.1552, 17.86385
519.6373, 17.20692
520.1194, 15.96960
520.6016, 14.95573
521.0837, 14.45179
521.5658, 13.76130
522.0479, 12.12663
522.5300, 8.925991
523.0121, 7.274879
523.4943, 7.756054
523.9764, 9.352947
524.4585, 10.41467
524.9406, 10.93356
525.4227, 11.05029
525.9048, 10.51244
526.3870, 9.725346
526.8691, 10.03665
527.3513, 11.35191
527.8334, 12.20427
528.3155, 11.04578
528.7976, 8.952450
529.2797, 7.436897
529.7618, 6.694298
530.2440, 6.422890
530.7261, 6.744461
531.2082, 7.310658
531.6903, 7.666779
532.1724, 8.035213
532.6545, 7.809479
533.1367, 6.244141
533.6188, 3.824291
534.1009, 2.220001
534.5830, 2.259384
535.0651, 2.618015
535.5472, 2.876240
536.0294, 2.997791
536.5115, 3.366447
536.9936, 4.324291
537.4757, 5.052742
537.9578, 4.645298
538.4399, 2.807152
538.9221, 1.763775
539.4042, 1.929050
539.8863, 2.633869
540.3684, 2.628220
540.8505, 1.978085
541.3326, 1.476868
541.8148, 1.524826
542.2969, 1.873806
542.7790, 2.223560
543.2611, 2.538193
543.7432, 2.551796
544.2253, 1.291069
544.7075, 5.8949001E-02
545.1896, 0.7318690
545.6717, 4.098492
546.1538, 6.296246
546.6359, 3.898388
547.1180, 1.0639000E-02
547.6002, 2.122707
548.0823, 0.6237450
548.5644, 2.580811
549.0465, 2.261715
549.5286, 0.4053610
550.0107, 0.8660770
550.4929, 1.513256
