##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
257.0763, 812.7227
257.5584, 719.5635
258.0405, 612.4228
258.5226, 521.6940
259.0047, 454.0463
259.4868, 395.4771
259.9690, 339.3243
260.4511, 282.6923
260.9332, 239.5203
261.4153, 214.3593
261.8974, 197.5047
262.3795, 172.1862
262.8617, 133.7928
263.3438, 101.4481
263.8259, 84.76012
264.3080, 59.91633
264.7901, 73.43146
265.2722, 35.12888
265.7544, 28.96390
266.2365, 35.49081
266.7186, 17.74297
267.2007, 2.5532000E-02
267.6828, 11.00877
268.1649, 16.07320
268.6471, 19.37184
269.1292, 21.87633
269.6113, 20.49276
270.0934, 9.123989
270.5755, 16.45609
271.0576, 36.22883
271.5398, 43.33287
272.0219, 37.86279
272.5040, 33.56968
272.9861, 30.10113
273.4682, 27.55980
273.9503, 28.15613
274.4325, 34.01871
274.9146, 34.48663
275.3967, 23.58942
275.8788, 3.220261
276.3610, 4.344036
276.8431, 3.985390
277.3252, 18.59030
277.8073, 32.45413
278.2894, 45.81190
278.7715, 52.77146
279.2537, 49.52875
279.7358, 39.29782
280.2179, 34.63285
280.7000, 35.36663
281.1821, 41.35050
281.6642, 54.02632
282.1464, 73.38316
282.6285, 92.86264
283.1106, 115.0943
283.5927, 133.8431
284.0748, 128.3000
284.5569, 96.27470
285.0391, 59.55886
285.5212, 32.03914
286.0033, 13.37194
286.4854, 2.733446
286.9675, 16.64790
287.4496, 28.45564
287.9318, 22.75526
288.4139, 13.32670
288.8960, 5.326483
289.3781, 3.238251
289.8602, 11.75626
290.3423, 16.31078
290.8245, 15.88099
291.3066, 13.93600
291.7887, 14.44884
292.2708, 17.74417
292.7529, 24.60373
293.2350, 35.54963
293.7172, 50.53058
294.1993, 66.86468
294.6814, 83.95122
295.1635, 106.0767
295.6456, 141.3694
296.1277, 187.0427
296.6099, 231.1326
297.0920, 261.7807
297.5741, 287.1507
298.0562, 325.3689
298.5383, 377.0193
299.0204, 428.2897
299.5026, 458.9419
299.9847, 477.1351
300.4668, 506.8869
300.9489, 563.6369
301.4311, 633.2739
301.9132, 696.6006
302.3953, 754.5430
302.8774, 805.8806
303.3595, 843.9035
303.8416, 876.1260
304.3238, 918.1483
304.8059, 979.2552
305.2880, 1046.481
305.7701, 1104.468
306.2522, 1155.129
306.7343, 1204.967
307.2165, 1253.863
307.6986, 1306.899
308.1807, 1370.833
308.6628, 1451.224
309.1449, 1538.234
309.6270, 1627.098
310.1092, 1718.283
310.5913, 1809.874
311.0734, 1898.832
311.5555, 1989.022
312.0376, 2082.417
312.5197, 2180.156
313.0019, 2279.171
313.4840, 2382.412
313.9661, 2487.346
314.4482, 2589.992
314.9303, 2679.973
315.4124, 2773.735
315.8946, 2879.604
316.3767, 2999.542
316.8588, 3130.378
317.3409, 3276.225
317.8230, 3432.225
318.3051, 3591.031
318.7873, 3739.974
319.2694, 3903.161
319.7515, 4099.350
320.2336, 4332.233
320.7157, 4554.165
321.1978, 4757.921
321.6800, 4939.997
322.1621, 5095.632
322.6442, 5237.932
323.1263, 5339.709
323.6084, 5402.695
324.0905, 5425.633
324.5727, 5386.796
325.0548, 5271.285
325.5369, 5100.527
326.0190, 4887.658
326.5012, 4616.364
326.9833, 4322.826
327.4654, 3993.521
327.9475, 3640.515
328.4296, 3314.677
328.9117, 3022.806
329.3939, 2751.865
329.8760, 2494.364
330.3581, 2242.370
330.8402, 2017.311
331.3223, 1823.735
331.8044, 1653.907
332.2866, 1491.856
332.7687, 1335.148
333.2508, 1191.787
333.7329, 1063.092
334.2150, 947.4127
334.6971, 848.3942
335.1793, 767.9183
335.6614, 700.8162
336.1435, 642.5303
336.6256, 596.8054
337.1077, 551.8113
337.5898, 502.6096
338.0720, 450.1008
338.5541, 416.2672
339.0362, 405.9660
339.5183, 403.8282
340.0004, 395.7630
340.4825, 381.3315
340.9647, 367.1709
341.4468, 353.5050
341.9289, 342.9906
342.4110, 342.9158
342.8931, 353.7117
343.3752, 369.7832
343.8574, 386.5109
344.3395, 403.9164
344.8216, 421.0948
345.3037, 434.7327
345.7858, 453.4138
346.2679, 493.5171
346.7501, 554.2599
347.2322, 619.2988
347.7143, 683.2162
348.1964, 744.9700
348.6785, 801.1923
349.1607, 851.7713
349.6428, 903.1755
350.1249, 963.4545
350.6070, 1031.713
351.0891, 1106.773
351.5713, 1187.546
352.0534, 1273.958
352.5355, 1369.337
353.0176, 1472.163
353.4997, 1578.836
353.9818, 1689.313
354.4640, 1799.975
354.9461, 1908.879
355.4282, 2022.399
355.9103, 2123.606
356.3924, 2196.402
356.8745, 2244.588
357.3567, 2278.897
357.8388, 2310.694
358.3209, 2326.874
358.8030, 2314.774
359.2851, 2264.093
359.7672, 2207.414
360.2494, 2166.145
360.7315, 2131.965
361.2136, 2088.356
361.6957, 2019.271
362.1778, 1943.783
362.6599, 1870.502
363.1421, 1800.078
363.6242, 1730.310
364.1063, 1655.274
364.5884, 1583.659
365.0705, 1523.089
365.5526, 1473.694
366.0348, 1435.187
366.5169, 1413.048
366.9990, 1407.052
367.4811, 1393.126
367.9632, 1370.246
368.4453, 1336.318
368.9275, 1290.646
369.4096, 1218.449
369.8917, 1156.421
370.3738, 1102.592
370.8559, 1058.681
371.3380, 1031.290
371.8202, 1022.892
372.3023, 1024.806
372.7844, 1036.322
373.2665, 1058.223
373.7487, 1092.085
374.2308, 1140.723
374.7129, 1196.784
375.1950, 1246.192
375.6771, 1282.026
376.1592, 1329.150
376.6414, 1396.156
377.1235, 1482.228
377.6056, 1580.125
378.0877, 1694.589
378.5698, 1807.621
379.0519, 1902.354
379.5341, 1978.125
380.0162, 2062.683
380.4983, 2158.306
380.9804, 2265.111
381.4625, 2371.772
381.9446, 2481.436
382.4268, 2607.540
382.9089, 2764.582
383.3910, 2945.191
383.8731, 3132.307
384.3552, 3323.090
384.8373, 3521.477
385.3195, 3730.779
385.8016, 3950.312
386.2837, 4184.216
386.7658, 4441.784
387.2479, 4705.034
387.7300, 4961.988
388.2122, 5210.276
388.6943, 5435.131
389.1764, 5637.979
389.6585, 5804.629
390.1406, 5911.932
390.6227, 5958.412
391.1049, 5937.808
391.5870, 5843.658
392.0691, 5677.717
392.5512, 5445.838
393.0333, 5109.592
393.5154, 4737.015
393.9976, 4366.454
394.4797, 4000.008
394.9618, 3647.344
395.4439, 3310.198
395.9260, 2989.057
396.4081, 2685.796
396.8903, 2396.156
397.3724, 2125.679
397.8545, 1870.552
398.3366, 1630.294
398.8188, 1419.837
399.3009, 1251.869
399.7830, 1106.607
400.2651, 971.4656
400.7472, 837.1344
401.2293, 727.1706
401.7115, 651.0786
402.1936, 598.6970
402.6757, 538.2326
403.1578, 460.3142
403.6399, 390.1592
404.1220, 340.0631
404.6042, 313.1383
405.0863, 287.0379
405.5684, 262.1349
406.0505, 237.2531
406.5326, 210.5312
407.0147, 181.8148
407.4969, 153.3461
407.9790, 125.4530
408.4611, 98.73693
408.9432, 74.88106
409.4253, 53.98869
409.9074, 35.04178
410.3896, 15.89552
410.8717, 2.167484
411.3538, 12.80504
411.8359, 14.05907
412.3180, 10.96532
412.8001, 8.964336
413.2823, 8.752934
413.7644, 10.58901
414.2465, 20.54360
414.7286, 30.42548
415.2107, 25.03808
415.6928, 3.662403
416.1750, 15.02790
416.6571, 17.06565
417.1392, 7.263294
417.6213, 6.924175
418.1034, 28.38544
418.5855, 47.02595
419.0677, 36.81905
419.5498, 28.50614
420.0319, 26.00783
420.5140, 37.38539
420.9961, 40.66493
421.4782, 38.14535
421.9604, 32.13613
422.4425, 22.53480
422.9246, 20.34346
423.4067, 28.20446
423.8889, 13.62834
424.3710, 17.58240
424.8531, 18.61220
425.3352, 8.698931
425.8173, 12.35913
426.2994, 19.90976
426.7816, 5.519318
427.2637, 14.18580
427.7458, 29.62095
428.2279, 22.03887
428.7100, 18.10235
429.1921, 22.07277
429.6743, 7.988874
430.1564, 16.65514
430.6385, 0.4479540
431.1206, 18.19932
431.6027, 9.402657
432.0848, 38.29885
432.5670, 51.35453
433.0491, 45.87816
433.5312, 34.31470
434.0133, 31.04999
434.4954, 34.79765
434.9775, 36.38380
435.4597, 32.31034
435.9418, 26.03225
436.4239, 27.92246
436.9060, 36.18209
437.3881, 37.57079
437.8702, 16.02012
438.3524, 8.752199
438.8345, 10.91461
439.3166, 15.23098
439.7987, 15.04574
440.2808, 17.36648
440.7629, 21.20725
441.2451, 24.64277
441.7272, 31.71998
442.2093, 33.54247
442.6914, 21.28789
443.1735, 25.97550
443.6556, 9.401162
444.1378, 21.55034
444.6199, 26.16243
445.1020, 23.21450
445.5841, 9.321497
446.0662, 2.723891
446.5483, 20.12109
447.0305, 43.01822
447.5126, 54.64465
447.9947, 39.85975
448.4768, 31.68309
448.9590, 39.93097
449.4411, 64.73824
449.9232, 82.42516
450.4053, 88.74169
450.8874, 94.05692
451.3695, 105.6267
451.8517, 124.8455
452.3338, 144.5121
452.8159, 165.0562
453.2980, 182.9681
453.7801, 188.0912
454.2622, 178.5546
454.7444, 176.4540
455.2265, 197.8537
455.7086, 235.7128
456.1907, 255.2226
456.6728, 256.2033
457.1549, 252.5165
457.6371, 256.5797
458.1192, 266.7742
458.6013, 281.1796
459.0834, 301.2220
459.5655, 320.8818
460.0476, 331.9048
460.5298, 336.7581
461.0119, 340.0195
461.4940, 347.2126
461.9761, 352.9133
462.4582, 350.1257
462.9403, 337.5625
463.4225, 331.4348
463.9046, 353.1623
464.3867, 378.8661
464.8688, 384.5776
465.3509, 342.4666
465.8330, 305.8494
466.3152, 292.4213
466.7973, 294.3992
467.2794, 282.8513
467.7615, 238.4751
468.2436, 197.7780
468.7257, 173.9112
469.2079, 170.2849
469.6900, 165.7702
470.1721, 160.9976
470.6542, 154.4642
471.1363, 143.5171
471.6184, 126.0641
472.1006, 111.3568
472.5827, 101.6915
473.0648, 96.16196
473.5469, 91.88453
474.0291, 88.70229
474.5112, 79.95752
474.9933, 54.16194
475.4754, 17.63400
475.9575, 3.717766
476.4396, 7.174236
476.9218, 21.68372
477.4039, 29.74962
477.8860, 32.95820
478.3681, 34.24529
478.8502, 32.68097
479.3323, 32.23646
479.8145, 37.03728
480.2966, 47.18275
480.7787, 59.98225
481.2608, 72.79255
481.7429, 80.19598
482.2250, 81.05407
482.7072, 74.91535
483.1893, 66.58830
483.6714, 58.13157
484.1535, 47.47493
484.6356, 33.14436
485.1177, 5.907840
485.5999, 15.98664
486.0820, 12.74171
486.5641, 14.95697
487.0462, 20.02141
487.5283, 18.78230
488.0104, 11.35871
488.4926, 3.574898
488.9747, 3.660618
489.4568, 6.457592
489.9389, 0.6888290
490.4210, 6.016890
490.9031, 5.150379
491.3853, 34.37120
491.8674, 62.20354
492.3495, 85.73530
492.8316, 102.4490
493.3137, 100.7177
493.7958, 82.66243
494.2780, 70.53320
494.7601, 78.19540
495.2422, 100.1763
495.7243, 127.6060
496.2064, 160.4546
496.6885, 193.0025
497.1707, 224.1391
497.6528, 250.6771
498.1349, 267.5113
498.6170, 263.2131
499.0992, 264.3094
499.5813, 292.9048
500.0634, 338.5264
500.5455, 376.2112
501.0276, 388.2229
501.5097, 397.6169
501.9919, 417.5606
502.4740, 450.8438
502.9561, 478.9608
503.4382, 493.3759
503.9203, 508.4107
504.4024, 536.1313
504.8846, 578.9619
505.3667, 625.1696
505.8488, 677.4183
506.3309, 729.8712
506.8130, 770.8571
507.2951, 800.6547
507.7773, 817.9890
508.2594, 820.3016
508.7415, 808.7406
509.2236, 794.0740
509.7057, 777.1356
510.1878, 747.5581
510.6700, 687.7908
511.1521, 608.3224
511.6342, 537.6877
512.1163, 478.6994
512.5984, 435.7753
513.0806, 422.1853
513.5627, 428.0892
514.0448, 432.6943
514.5269, 429.0867
515.0090, 418.7349
515.4911, 400.0296
515.9733, 373.9593
516.4554, 347.4146
516.9375, 318.0125
517.4196, 292.5659
517.9017, 278.1331
518.3839, 287.6283
518.8660, 277.2041
519.3481, 219.5086
519.8302, 149.8508
520.3123, 106.4648
520.7944, 103.0969
521.2766, 101.8877
521.7587, 98.41933
522.2408, 93.22301
522.7229, 90.71679
523.2050, 93.40858
523.6871, 91.86073
524.1693, 75.84296
524.6514, 47.64441
525.1335, 42.30798
525.6156, 62.35327
526.0977, 90.10448
526.5798, 113.3670
527.0620, 131.3647
527.5441, 139.0393
528.0262, 131.5037
528.5083, 119.4921
528.9904, 107.7037
529.4725, 99.01384
529.9547, 101.0614
530.4368, 132.0361
530.9189, 162.4760
531.4010, 166.8341
531.8831, 145.2696
532.3652, 131.2204
532.8474, 153.0455
533.3295, 173.9370
533.8116, 170.1960
534.2937, 117.5173
534.7758, 80.29926
535.2579, 68.13419
535.7401, 67.84176
536.2222, 60.08951
536.7043, 45.48409
537.1864, 23.91935
537.6685, 11.51618
538.1506, 52.01641
538.6328, 52.14184
539.1149, 4.312328
539.5970, 41.85234
540.0791, 51.78003
540.5612, 33.82642
541.0433, 19.82141
541.5255, 10.32060
542.0076, 8.288879
542.4897, 15.83588
542.9718, 32.76124
543.4539, 61.80589
543.9360, 113.7007
544.4182, 161.3896
544.9003, 174.2074
545.3824, 165.5691
545.8645, 165.4135
546.3466, 195.2165
546.8287, 227.0070
547.3109, 245.2941
547.7930, 248.0939
548.2751, 254.8499
548.7572, 268.7068
549.2393, 288.6444
549.7214, 316.0951
550.2036, 362.8638
550.6857, 389.6419
551.1678, 385.5584
551.6499, 373.6523
552.1320, 389.1503
552.6141, 438.5134
553.0963, 477.3080
553.5784, 492.6938
554.0605, 496.9370
554.5426, 513.6771
555.0247, 543.6124
555.5068, 582.2180
555.9890, 624.0839
556.4711, 671.3265
556.9532, 734.8213
557.4353, 814.8298
557.9174, 881.3321
558.3995, 907.7861
558.8817, 907.3827
559.3638, 893.3115
559.8459, 870.3143
560.3281, 839.1094
560.8102, 800.6526
561.2923, 756.1450
561.7744, 709.2821
562.2565, 660.6339
562.7386, 609.5491
563.2208, 554.8101
563.7029, 495.8637
564.1850, 438.5378
564.6671, 384.6831
565.1492, 338.5674
565.6313, 301.9917
566.1135, 274.9285
566.5956, 257.5812
567.0777, 251.6214
567.5598, 248.2799
568.0419, 237.1580
568.5240, 219.8145
569.0062, 207.9642
569.4883, 205.1306
569.9704, 204.5401
570.4525, 195.3805
