##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
507.0410, 134.6056
507.5231, 145.0529
508.0052, 153.9808
508.4873, 163.5490
508.9695, 173.8717
509.4516, 184.8286
509.9337, 195.8470
510.4158, 206.9866
510.8979, 219.3248
511.3800, 233.8350
511.8622, 249.8121
512.3443, 265.9739
512.8264, 282.1766
513.3085, 298.6178
513.7906, 314.9912
514.2728, 331.8031
514.7549, 349.8328
515.2370, 369.4791
515.7191, 389.5883
516.2012, 409.9650
516.6833, 430.1664
517.1655, 449.8635
517.6476, 467.2373
518.1297, 485.7915
518.6118, 507.2628
519.0939, 531.4272
519.5760, 555.4535
520.0582, 579.4043
520.5403, 602.6224
521.0224, 623.9954
521.5045, 641.6543
521.9866, 663.6816
522.4688, 692.6174
522.9509, 723.1306
523.4330, 748.6760
523.9151, 768.2878
524.3972, 788.2080
524.8793, 809.8052
525.3615, 832.1908
525.8436, 853.7924
526.3257, 874.6855
526.8078, 893.8899
527.2899, 910.9871
527.7720, 926.2334
528.2542, 940.7798
528.7363, 954.7474
529.2184, 964.9316
529.7005, 966.2261
530.1826, 962.7058
530.6647, 960.0756
531.1469, 961.7122
531.6290, 961.5659
532.1111, 956.3047
532.5932, 946.8335
533.0753, 935.0564
533.5574, 920.3459
534.0396, 904.4209
534.5217, 887.9688
535.0038, 871.2062
535.4859, 852.0603
535.9680, 828.1487
536.4501, 804.2788
536.9323, 783.6677
537.4144, 768.2271
537.8965, 749.9609
538.3786, 727.9792
538.8607, 704.1975
539.3428, 681.5164
539.8250, 659.7329
540.3071, 639.5320
540.7892, 621.5771
541.2713, 605.1605
541.7534, 588.9735
542.2355, 573.0903
542.7177, 558.5165
543.1998, 545.9554
543.6819, 534.9482
544.1640, 525.3851
544.6461, 517.3186
545.1282, 508.5178
545.6104, 495.4935
546.0925, 481.8263
546.5746, 471.5466
547.0567, 467.6022
547.5388, 464.5294
548.0209, 461.0280
548.5031, 457.0629
548.9852, 452.6132
549.4673, 447.7443
549.9494, 442.5081
550.4315, 436.4148
550.9136, 429.4218
551.3958, 424.2983
551.8779, 422.3490
552.3600, 420.3569
552.8421, 416.0131
553.3242, 409.0475
553.8063, 401.6786
554.2885, 393.8059
554.7706, 386.0806
555.2527, 380.0760
555.7348, 375.3369
556.2169, 368.8563
556.6990, 359.2148
557.1812, 348.1816
557.6633, 338.2603
558.1454, 329.1602
558.6275, 319.7368
559.1096, 308.9911
559.5917, 297.9760
560.0739, 287.9531
560.5560, 278.9869
561.0381, 269.4111
561.5202, 258.7629
562.0023, 247.2239
562.4844, 234.8802
562.9666, 220.4198
563.4487, 207.0874
563.9308, 195.2656
564.4129, 184.5293
564.8950, 174.3744
565.3771, 165.2068
565.8593, 155.8625
566.3414, 145.8508
566.8235, 135.5162
567.3056, 125.9645
567.7877, 117.2448
568.2698, 109.2469
568.7520, 102.3041
569.2341, 96.06445
569.7162, 88.47546
570.1983, 79.43396
570.6804, 70.88708
571.1625, 65.37305
571.6447, 61.50452
572.1268, 56.98291
572.6089, 50.81616
573.0910, 44.78870
573.5731, 40.12659
574.0552, 36.35950
574.5374, 32.54871
575.0195, 29.10168
575.5016, 24.92676
575.9837, 18.64014
576.4658, 10.64990
576.9479, 5.473145
577.4301, 5.006592
577.9122, 5.289185
578.3943, 4.719971
578.8764, 3.200928
579.3585, 1.264648
579.8406, 1.365845
580.3228, 3.809937
580.8049, 5.294434
581.2870, 5.823608
581.7691, 5.163452
582.2512, 2.925049
582.7333, 0.3599850
583.2155, 0.2271730
583.6975, 0.5329590
584.1796, 0.5904540
584.6617, 1.955811
585.1439, 4.892700
585.6260, 5.636230
586.1081, 4.723389
586.5902, 4.930176
587.0723, 9.794312
587.5544, 14.38708
588.0366, 15.36438
588.5187, 11.17212
589.0008, 8.692505
589.4829, 9.122314
589.9650, 11.35156
590.4471, 14.77197
590.9293, 20.13196
591.4114, 25.05017
591.8935, 29.44861
592.3756, 33.34265
592.8577, 36.41089
593.3398, 38.53735
593.8220, 41.51306
594.3041, 46.05615
594.7862, 51.70435
595.2683, 57.52966
595.7504, 63.49316
596.2325, 69.66150
596.7147, 76.45569
597.1968, 83.25696
597.6789, 89.04199
598.1610, 93.71570
598.6431, 99.33118
599.1252, 107.5272
599.6074, 116.8134
600.0895, 126.0846
600.5716, 135.3990
601.0537, 144.2949
601.5358, 151.5731
602.0179, 158.7898
602.5001, 168.0721
602.9822, 180.5222
603.4643, 192.6931
603.9464, 204.1104
