##NAMES=Gartrellite
##RRUFFID=R060881
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)&#183;H_2_O
##LOCALITY=Ashburton Downs, Western Australia
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Yellow grainy incrustations
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060881
##MEASURED CHEMISTRY=Pb_1.00_Cu_1.00_(Fe^3+^_0.77_Cu_0.18_Al_0.04_Zn_0.01_)_Σ=1_((As_0.97_S_0.03_)_Σ=1_O_4_)_2_(OH)_0.87_·H_2_O; trace amounts of P; OH estimated by charge balance, H_2_O by difference
494.6862, 1904.000
495.1683, 1933.880
495.6505, 1951.424
496.1326, 1968.325
496.6147, 1985.844
497.0968, 1998.797
497.5789, 2005.312
498.0610, 2007.316
498.5432, 2006.904
499.0253, 2003.516
499.5074, 1993.960
499.9895, 1976.523
500.4716, 1952.597
500.9537, 1922.323
501.4359, 1886.242
501.9180, 1849.040
502.4001, 1814.594
502.8822, 1778.452
503.3643, 1730.387
503.8464, 1662.996
504.3286, 1597.363
504.8107, 1536.391
505.2928, 1475.642
505.7749, 1410.138
506.2570, 1342.131
506.7391, 1279.755
507.2213, 1229.175
507.7034, 1185.563
508.1855, 1133.683
508.6676, 1070.734
509.1497, 1009.471
509.6318, 949.8013
510.1140, 895.1438
510.5961, 850.4248
511.0782, 814.8389
511.5603, 778.7395
512.0424, 738.4358
512.5245, 694.5315
513.0067, 642.9219
513.4888, 586.1755
513.9709, 541.1887
514.4530, 517.9819
514.9351, 506.0083
515.4172, 483.3652
515.8994, 439.9951
516.3815, 406.5508
516.8636, 393.5620
517.3457, 380.6033
517.8278, 352.2073
518.3099, 313.3882
518.7921, 278.7717
519.2742, 257.0925
519.7563, 244.5703
520.2384, 233.5759
520.7205, 224.4128
521.2026, 215.9219
521.6848, 212.5889
522.1669, 204.5259
522.6490, 178.2515
523.1311, 137.0347
523.6132, 106.4744
524.0953, 103.0625
524.5775, 106.4333
525.0596, 97.25342
525.5417, 79.57910
526.0238, 69.35864
526.5059, 73.77051
526.9880, 82.37769
527.4702, 76.90942
527.9523, 49.61328
528.4344, 31.40674
528.9165, 25.61182
529.3986, 24.28589
529.8807, 29.76147
530.3629, 36.12158
530.8450, 32.03076
531.3271, 11.02100
531.8092, 14.31494
532.2913, 26.15942
532.7734, 25.04395
533.2556, 21.03662
533.7377, 13.39404
534.2198, 7.988770
534.7019, 10.11133
535.1840, 19.03491
535.6661, 31.50684
536.1483, 60.10718
536.6304, 78.44165
537.1125, 64.23242
537.5946, 34.04028
538.0767, 15.46460
538.5588, 15.66919
539.0410, 22.40576
539.5231, 20.79614
540.0052, 10.01416
540.4873, 4.599609
540.9694, 9.368408
541.4515, 13.23047
541.9337, 9.513672
542.4158, 4.783203
542.8979, 8.577148
543.3800, 23.81860
543.8621, 37.71729
544.3442, 38.29565
544.8264, 30.42871
545.3085, 25.73560
545.7906, 25.43420
546.2727, 26.34082
546.7548, 25.93774
547.2369, 25.24524
547.7191, 28.78772
548.2012, 52.25183
548.6833, 58.22620
549.1654, 21.17896
549.6475, 19.46338
550.1296, 25.57263
