##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=PbS^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
330.7334, 10.77299
331.2155, 10.77447
331.6976, 11.36244
332.1797, 11.36749
332.6619, 10.48299
333.1440, 9.315521
333.6261, 7.786919
334.1082, 6.273048
334.5903, 5.900894
335.0724, 8.330894
335.5546, 11.42740
336.0367, 12.18577
336.5188, 10.44327
337.0009, 8.529984
337.4830, 7.623787
337.9651, 7.319778
338.4473, 6.995346
338.9294, 6.552902
339.4115, 6.169670
339.8936, 5.927383
340.3757, 5.840729
340.8578, 6.101341
341.3400, 7.090790
341.8221, 8.169083
342.3042, 8.158272
342.7863, 6.784615
343.2684, 5.802879
343.7505, 6.668938
344.2327, 8.528130
344.7148, 9.126770
345.1969, 7.667061
345.6790, 5.760841
346.1611, 5.479172
346.6432, 6.540077
347.1254, 7.265244
347.6075, 6.924606
348.0896, 6.168304
348.5717, 5.725815
349.0538, 5.652931
349.5359, 5.895088
350.0181, 6.740166
350.5002, 7.893402
350.9823, 8.124596
351.4644, 6.312279
351.9465, 4.455231
352.4286, 4.015160
352.9108, 4.759880
353.3929, 5.629837
353.8750, 6.242897
354.3571, 6.528229
354.8392, 6.248466
355.3214, 5.021118
355.8035, 4.171715
356.2856, 4.376289
356.7677, 5.221367
357.2498, 6.129341
357.7319, 7.010178
358.2141, 7.527039
358.6962, 6.982750
359.1783, 5.107620
359.6604, 3.899155
360.1425, 4.553505
360.6246, 5.379730
361.1068, 4.242462
361.5889, 1.126846
362.0710, 1.419243
362.5531, 1.019577
363.0352, 2.292419
363.5173, 4.256691
363.9995, 4.092506
364.4816, 3.490639
364.9637, 3.179031
365.4458, 3.076599
365.9279, 2.795753
366.4100, 2.072693
366.8922, 1.178970
367.3743, 1.046570
367.8564, 2.420570
368.3385, 3.442154
368.8206, 3.994911
369.3027, 4.029228
369.7849, 3.093765
370.2670, 1.143234
370.7491, 0.6896130
371.2312, 0.6801610
371.7133, 2.236786
372.1954, 3.740562
372.6776, 2.932236
373.1597, 1.590736
373.6418, 0.5031130
374.1239, 0.1562880
374.6060, 0.2928540
375.0881, 0.2440340
375.5703, 1.431374
376.0524, 2.315254
376.5345, 3.095802
377.0166, 3.353508
377.4987, 2.687813
377.9808, 1.515083
378.4630, 0.2082290
378.9451, 1.073273
379.4272, 1.933479
379.9093, 1.285484
380.3914, 2.599571
380.8735, 5.118759
381.3557, 5.868378
381.8378, 5.527199
382.3199, 4.135742
382.8020, 1.962921
383.2841, 0.1002200
383.7662, 0.9577940
384.2484, 0.4001690
384.7305, 5.3314000E-02
385.2126, 0.2905880
385.6947, 0.3943480
386.1768, 0.2204740
386.6589, 0.2696080
387.1411, 1.270973
387.6232, 3.113419
388.1053, 5.222427
388.5874, 5.272949
389.0695, 1.555611
389.5516, 0.9581530
390.0338, 0.2521820
390.5159, 1.497490
390.9980, 2.307297
391.4801, 1.628410
391.9622, 0.3652650
392.4443, 0.3508610
392.9265, 0.4270860
393.4086, 0.7521210
393.8907, 2.173805
394.3728, 3.157356
394.8549, 2.521629
395.3370, 0.5893780
395.8192, 1.307228
396.3013, 2.471474
396.7834, 2.946648
397.2655, 2.749557
397.7476, 1.631653
398.2297, 0.4906390
398.7119, 0.5700150
399.1940, 1.260483
399.6761, 0.9415740
400.1582, 0.9930420
400.6403, 2.956184
401.1224, 2.895172
401.6046, 0.9779360
402.0867, 5.5817001E-02
402.5688, 1.564857
403.0509, 3.759384
403.5330, 4.509659
404.0151, 3.807930
404.4973, 2.972733
404.9794, 2.383781
405.4615, 2.080780
405.9436, 2.173370
406.4257, 2.691559
406.9078, 3.484329
407.3900, 4.647308
407.8721, 6.024811
408.3542, 6.860909
408.8363, 6.839455
409.3184, 6.483543
409.8005, 5.843987
410.2827, 5.094009
410.7648, 4.929596
411.2469, 5.814766
411.7290, 7.137047
412.2111, 7.393173
412.6932, 6.076523
413.1754, 5.126480
413.6575, 4.791855
414.1396, 5.031181
414.6217, 6.071968
415.1038, 7.854637
415.5859, 9.593636
416.0681, 10.47739
416.5502, 10.40442
417.0323, 10.53169
417.5144, 10.44361
417.9965, 10.93870
418.4786, 12.86564
418.9608, 15.54566
419.4429, 17.81673
419.9250, 19.01751
420.4071, 19.29716
420.8892, 18.69138
421.3713, 15.72885
421.8535, 13.95128
422.3356, 14.18340
422.8177, 15.03455
423.2998, 15.44958
423.7819, 15.29535
424.2640, 15.11530
424.7462, 15.58198
425.2283, 16.79375
425.7104, 17.25064
426.1925, 15.98132
426.6746, 14.97337
427.1567, 14.94406
427.6389, 15.51053
428.1210, 16.03445
428.6031, 16.16358
429.0852, 16.15738
429.5673, 16.56644
430.0494, 17.52347
430.5316, 18.19579
431.0137, 18.21493
431.4958, 17.98326
431.9779, 17.64232
432.4600, 17.24294
432.9421, 16.95236
433.4243, 16.78652
433.9064, 16.78622
434.3885, 17.22409
434.8706, 18.30933
435.3527, 19.37706
435.8348, 20.31413
436.3170, 20.90215
436.7991, 20.52238
437.2812, 18.38471
437.7633, 16.24762
438.2454, 15.89533
438.7275, 17.03427
439.2097, 18.16756
439.6918, 18.88116
440.1739, 19.21407
440.6560, 19.11633
441.1381, 18.55822
441.6202, 18.03938
442.1024, 17.37975
442.5845, 17.09128
443.0666, 18.13455
443.5487, 20.48389
444.0308, 22.64577
444.5129, 23.46761
444.9951, 23.07128
445.4772, 22.80528
445.9593, 22.65028
446.4414, 22.62671
446.9235, 22.77338
447.4056, 23.01703
447.8878, 23.35036
448.3699, 23.73349
448.8520, 24.17152
449.3341, 24.68319
449.8162, 25.26899
450.2983, 25.92820
450.7805, 26.40307
451.2626, 27.16995
451.7447, 28.43333
452.2268, 30.16833
452.7089, 32.36349
453.1910, 35.03329
453.6732, 37.99680
454.1553, 40.58459
454.6374, 41.47011
455.1195, 44.38252
455.6016, 50.57607
456.0837, 58.28052
456.5659, 66.20398
457.0480, 74.06557
457.5301, 81.86173
458.0122, 89.11367
458.4943, 95.87051
458.9764, 104.4468
459.4586, 115.1116
459.9407, 127.4367
460.4228, 140.3091
460.9049, 154.5456
461.3870, 171.6736
461.8691, 192.2402
462.3513, 215.8526
462.8334, 241.3768
463.3155, 268.9083
463.7976, 300.8600
464.2797, 337.6335
464.7618, 379.8670
465.2440, 427.5740
465.7261, 480.5179
466.2082, 539.7043
466.6903, 603.9624
467.1724, 675.6501
467.6545, 756.9720
468.1367, 847.9478
468.6188, 950.0698
469.1009, 1062.811
469.5830, 1187.219
470.0651, 1331.724
470.5472, 1503.973
471.0294, 1682.105
471.5115, 1889.820
471.9936, 2088.052
472.4757, 2242.523
472.9578, 2339.783
473.4399, 2355.656
473.9221, 2254.523
474.4042, 2018.512
474.8863, 1765.296
475.3684, 1456.505
475.8505, 1170.728
476.3326, 933.2538
476.8148, 740.2175
477.2969, 584.3892
477.7790, 463.6257
478.2611, 371.1596
478.7432, 296.0504
479.2253, 241.3029
479.7075, 196.5335
480.1896, 164.4541
480.6717, 139.1879
481.1538, 119.5012
481.6359, 104.4105
482.1180, 91.46722
482.6002, 78.89359
483.0823, 67.30315
483.5644, 58.51910
484.0465, 53.15798
484.5286, 48.52614
485.0107, 43.51156
485.4929, 38.60664
485.9750, 34.39148
486.4571, 31.01431
486.9392, 28.02460
487.4213, 24.99944
487.9034, 22.18641
488.3856, 20.37811
488.8677, 19.80476
489.3498, 19.27425
489.8319, 17.70766
490.3140, 15.17001
490.7961, 13.04635
491.2783, 11.21558
491.7604, 9.862877
492.2425, 9.417877
492.7246, 9.376793
493.2067, 8.787598
493.6888, 7.322945
494.1710, 5.344894
494.6531, 3.297562
495.1352, 0.7025600
495.6173, 0.3043900
496.0994, 1.445343
496.5815, 3.388710
497.0637, 4.478989
497.5458, 4.756302
498.0279, 4.553146
498.5100, 4.030930
498.9921, 3.243683
499.4742, 2.229546
499.9564, 0.6983340
500.4385, 0.3001860
500.9206, 0.4779280
501.4027, 0.2014920
501.8848, 0.6020740
502.3669, 1.786186
502.8491, 2.721512
503.3312, 2.773384
503.8133, 2.280365
504.2954, 2.206085
504.7775, 2.630287
505.2596, 3.011284
505.7418, 3.092857
506.2239, 3.037308
506.7060, 3.020584
507.1881, 3.014893
507.6702, 3.206245
508.1523, 3.833763
508.6345, 4.674515
509.1166, 5.442253
509.5987, 6.077301
510.0808, 6.352608
510.5629, 5.895935
511.0450, 4.854370
511.5272, 4.866241
512.0093, 7.072975
512.4914, 8.829796
512.9735, 9.173203
513.4556, 8.708252
513.9377, 8.293144
514.4199, 8.143867
514.9020, 7.756371
515.3841, 6.345688
515.8662, 3.598640
516.3483, 2.001625
516.8304, 2.382225
517.3126, 3.084290
517.7947, 3.807373
518.2768, 4.525482
518.7589, 5.381081
519.2410, 6.458260
519.7231, 7.265327
520.2053, 6.791634
520.6874, 4.896362
521.1695, 3.841011
521.6516, 4.418007
522.1337, 5.276321
522.6158, 5.535660
523.0980, 5.329361
523.5801, 5.010956
524.0622, 4.633095
524.5443, 4.291817
525.0264, 4.017197
525.5085, 3.744667
525.9907, 3.940445
526.4728, 5.056076
526.9549, 6.243118
527.4370, 6.052650
527.9191, 4.189949
528.4012, 2.920967
528.8834, 2.865044
529.3655, 3.132454
529.8476, 3.316208
530.3297, 3.302322
530.8118, 2.839027
531.2939, 1.745110
531.7761, 0.4070130
532.2582, 0.1329270
532.7403, 0.9072040
533.2224, 1.299721
533.7045, 0.6777040
534.1866, 0.2226640
534.6688, 1.349350
535.1509, 2.401337
535.6330, 2.692299
536.1151, 1.624863
536.5972, 0.3109890
537.0793, 2.026207
537.5615, 3.671005
538.0436, 4.251984
538.5257, 2.340714
539.0078, 0.1297680
539.4899, 0.2265550
539.9720, 1.231537
540.4542, 2.447624
540.9363, 2.038292
541.4184, 0.9902950
541.9005, 0.7405550
542.3826, 1.310326
542.8647, 2.032799
543.3469, 2.674103
543.8290, 3.132767
544.3111, 3.058495
544.7932, 2.104462
545.2753, 1.511566
545.7574, 1.901772
546.2396, 2.397827
546.7217, 2.231155
547.2038, 1.412544
547.6859, 0.3205490
548.1680, 0.8470540
548.6501, 1.952667
549.1323, 2.332779
549.6144, 1.425072
550.0965, 0.7507550
550.5786, 0.5577550
551.0607, 0.5607680
551.5428, 0.5938490
552.0250, 0.6259920
552.5071, 0.6742320
552.9892, 0.8127060
553.4713, 0.9598460
553.9534, 0.8138050
554.4355, 0.3114850
554.9177, 0.1429290
555.3998, 0.3449250
555.8819, 0.4486390
556.3640, 0.6752170
556.8461, 1.044044
557.3282, 1.397346
557.8104, 1.860443
558.2925, 2.164864
558.7746, 1.857635
559.2567, 1.001450
559.7388, 0.1868670
560.2209, 0.2472230
560.7031, 0.3757480
561.1852, 0.4402160
561.6673, 0.5129930
562.1494, 0.4080280
562.6315, 9.5848002E-02
563.1136, 0.6078030
563.5958, 0.8093490
564.0779, 0.7394030
564.5600, 0.6490780
565.0421, 0.7206270
565.5242, 0.8940430
566.0063, 0.8657230
566.4885, 0.3512730
566.9706, 0.4688950
567.4527, 2.422974
567.9348, 4.395714
568.4169, 5.028534
568.8990, 4.391022
569.3812, 3.576248
569.8633, 3.072456
570.3454, 2.767807
570.8275, 2.369087
571.3096, 1.918251
571.7917, 2.111282
572.2739, 3.491722
572.7560, 5.274834
573.2381, 5.988060
573.7202, 5.350761
574.2023, 4.850571
574.6844, 4.618073
575.1666, 4.568260
575.6487, 4.935875
576.1308, 5.435234
576.6129, 5.185638
577.0950, 3.669235
577.5771, 1.815765
578.0593, 1.999504
578.5414, 5.682030
579.0235, 7.395920
579.5056, 4.866722
579.9877, 2.172134
580.4698, 1.270004
580.9520, 1.631073
581.4341, 1.678230
581.9162, 0.4404530
582.3983, 0.8471370
582.8804, 0.1738130
583.3625, 2.240761
583.8447, 4.024429
584.3268, 4.601929
584.8089, 4.467094
585.2910, 3.862946
585.7731, 2.854851
586.2552, 2.154266
586.7374, 1.836601
587.2195, 1.827484
587.7016, 2.321884
588.1837, 3.042076
588.6658, 3.531105
589.1479, 3.670372
589.6301, 3.594124
590.1122, 3.451775
590.5943, 3.277802
591.0764, 3.408287
591.5585, 4.253387
592.0406, 4.948288
592.5228, 5.496552
593.0049, 5.579857
593.4870, 4.470161
593.9691, 2.113808
594.4512, 0.2439190
594.9333, 0.8035740
595.4155, 3.194519
595.8976, 4.783531
596.3797, 5.331741
596.8618, 5.530785
597.3439, 5.808075
597.8260, 5.984985
598.3082, 5.489235
598.7903, 3.863167
599.2724, 2.723701
599.7545, 2.722244
600.2366, 3.383965
600.7188, 4.567719
601.2009, 6.028152
601.6830, 6.774796
602.1651, 5.988525
602.6472, 4.351143
603.1293, 4.541695
603.6115, 8.290123
604.0936, 10.67138
604.5757, 10.79647
605.0578, 10.10846
605.5399, 9.043953
606.0220, 7.844162
606.5042, 7.018845
606.9863, 6.877831
607.4684, 7.447273
607.9505, 8.894623
608.4326, 11.16397
608.9147, 13.01820
609.3969, 14.01729
609.8790, 14.71849
610.3611, 15.42796
610.8432, 16.19833
611.3253, 18.01092
611.8074, 22.01357
612.2896, 26.05288
612.7717, 28.81680
613.2538, 30.86562
613.7359, 33.04673
614.2180, 35.66929
614.7001, 38.89523
615.1823, 42.98613
615.6644, 47.97440
616.1465, 53.10846
616.6286, 57.52818
617.1107, 63.33939
617.5928, 72.41098
618.0750, 82.19646
618.5571, 89.87481
619.0392, 94.96021
619.5213, 99.70654
620.0034, 106.2734
620.4855, 113.6369
620.9677, 119.8020
621.4498, 124.6817
621.9319, 127.6473
622.4140, 128.6364
622.8961, 127.2855
623.3782, 122.3534
623.8604, 113.1262
624.3425, 103.1376
624.8246, 92.09657
625.3067, 81.12263
625.7888, 70.54464
626.2709, 60.66899
626.7531, 51.72518
627.2352, 43.86159
627.7173, 37.23322
628.1994, 32.38906
628.6815, 29.59804
629.1636, 27.06949
629.6458, 25.09497
630.1279, 22.89325
630.6100, 19.53705
631.0921, 15.84270
631.5742, 13.33119
632.0563, 12.57833
632.5385, 12.45193
633.0206, 12.61849
633.5027, 12.69629
633.9848, 11.69877
634.4669, 9.521072
634.9490, 7.348549
635.4312, 5.938530
635.9133, 5.288490
