##NAMES=Enstatite
##RRUFFID=R120168
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Merensky Reef, Rustenburg, Brushveld District, South Africa
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Dark green, massive
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120168
305.2592, 14.67700
305.7414, 15.09668
306.2235, 16.15344
306.7056, 17.54987
307.1877, 18.64600
307.6698, 19.29193
308.1519, 20.24976
308.6341, 21.63544
309.1162, 23.51257
309.5983, 26.14105
310.0804, 29.68512
310.5625, 33.52606
311.0446, 36.77130
311.5268, 39.41339
312.0089, 42.16571
312.4910, 45.17059
312.9731, 48.35175
313.4552, 51.54303
313.9373, 54.69391
314.4195, 58.21771
314.9016, 62.63654
315.3837, 67.88422
315.8658, 72.95032
316.3479, 77.17999
316.8300, 81.71014
317.3121, 88.00952
317.7943, 95.93262
318.2764, 103.3830
318.7585, 108.6426
319.2406, 112.2269
319.7227, 117.1190
320.2048, 124.5409
320.6870, 132.1674
321.1691, 138.6553
321.6512, 144.2589
322.1333, 150.1542
322.6154, 156.9213
323.0975, 164.3376
323.5797, 171.5077
324.0618, 178.0372
324.5439, 185.1470
325.0260, 193.2955
325.5081, 202.3323
325.9902, 212.1185
326.4724, 222.6906
326.9545, 233.7311
327.4366, 244.8492
327.9187, 256.0445
328.4008, 267.0480
328.8829, 277.6790
329.3651, 288.0923
329.8472, 298.4204
330.3293, 308.6705
330.8114, 318.9548
331.2935, 329.6626
331.7756, 340.8486
332.2578, 350.6769
332.7399, 358.7030
333.2220, 365.6907
333.7041, 373.1853
334.1862, 380.6855
334.6683, 384.9548
335.1505, 383.2239
335.6326, 376.1415
336.1147, 369.6674
336.5968, 365.2533
337.0789, 359.8140
337.5610, 352.0530
338.0432, 342.2660
338.5253, 331.1967
339.0074, 319.1501
339.4895, 306.1691
339.9716, 292.2039
340.4537, 276.4247
340.9359, 261.3671
341.4180, 247.7543
341.9001, 235.0201
342.3822, 222.3968
342.8643, 209.7124
343.3464, 197.5428
343.8286, 186.8289
344.3107, 178.2650
344.7928, 169.2711
345.2749, 159.1019
345.7570, 149.0785
346.2391, 140.3520
346.7213, 132.9754
347.2034, 125.9188
347.6855, 118.2150
348.1676, 109.7531
348.6497, 103.2183
349.1318, 100.3024
349.6140, 97.27576
350.0961, 92.17700
350.5782, 85.74084
351.0603, 79.75000
351.5424, 75.25787
352.0245, 72.05060
352.5067, 69.20782
352.9888, 67.32062
353.4709, 65.07172
353.9530, 61.99554
354.4351, 58.59662
354.9172, 55.36591
355.3994, 52.48999
355.8815, 49.99030
356.3636, 47.91730
356.8457, 46.62640
357.3278, 45.02789
357.8099, 42.83472
358.2920, 40.56787
358.7741, 38.31073
359.2563, 36.23315
359.7384, 34.89423
360.2205, 34.99829
360.7026, 36.80591
361.1847, 37.51245
361.6668, 36.48419
362.1490, 35.10217
362.6311, 33.31165
363.1132, 31.53778
363.5953, 30.53247
364.0774, 30.78601
364.5595, 32.03046
365.0417, 33.14069
365.5238, 34.19202
366.0059, 34.96893
366.4880, 35.28021
366.9701, 35.40356
367.4522, 35.59283
367.9344, 35.93274
368.4165, 36.35913
368.8986, 36.82660
369.3807, 37.47955
369.8628, 37.76355
370.3449, 37.30347
370.8271, 36.80054
371.3092, 36.79266
371.7913, 37.16211
372.2734, 37.25177
372.7555, 36.25256
373.2376, 34.23163
373.7198, 33.35596
374.2019, 34.80524
374.6840, 35.99359
375.1661, 35.82153
375.6482, 34.90399
376.1303, 34.18872
376.6125, 34.11761
377.0946, 34.53375
377.5767, 35.16913
378.0588, 36.17297
378.5409, 36.95770
379.0230, 37.07941
379.5052, 37.08447
379.9873, 37.40808
380.4694, 38.13397
380.9515, 39.00171
381.4336, 39.56201
381.9157, 39.83154
382.3979, 40.89532
382.8800, 43.39203
383.3621, 46.14679
383.8442, 48.37915
384.3263, 50.17139
384.8084, 51.90912
