##NAMES=Vanadiocarpholite
##RRUFFID=R080099
##IDEAL CHEMISTRY=Mn^2+^V^3+^AlSi_2_O_6_(OH)_4_
##LOCALITY=Molinello mine, Graveglia Valley, Ne, Genova Province, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow brown fibrous, associated with quartz crystals on matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R080099
315.5735, 135.9485
316.0557, 134.9222
316.5378, 134.0334
317.0199, 133.5578
317.5020, 133.2699
317.9841, 133.0084
318.4662, 132.8428
318.9484, 132.5501
319.4305, 132.4600
319.9126, 132.2316
320.3947, 130.9673
320.8768, 127.1521
321.3589, 123.1882
321.8411, 120.3655
322.3232, 119.4508
322.8053, 118.2635
323.2874, 116.3331
323.7695, 113.8910
324.2516, 111.3030
324.7338, 108.8497
325.2159, 106.0510
325.6980, 102.5864
326.1801, 98.17831
326.6622, 94.25496
327.1443, 91.23915
327.6265, 88.58592
328.1086, 85.73726
328.5907, 82.43918
329.0728, 79.25597
329.5549, 76.30243
330.0370, 73.56941
330.5192, 70.84515
331.0013, 68.07031
331.4834, 65.33603
331.9655, 62.67557
332.4476, 60.09042
332.9297, 57.54286
333.4119, 54.86932
333.8940, 52.21829
334.3761, 50.38669
334.8582, 49.89920
335.3403, 49.45544
335.8224, 48.36761
336.3046, 46.37746
336.7867, 44.46364
337.2688, 42.54958
337.7509, 40.77859
338.2330, 39.44058
338.7151, 38.64284
339.1973, 37.97626
339.6794, 37.28926
340.1615, 36.58690
340.6436, 35.96039
341.1257, 35.48570
341.6078, 34.94635
342.0900, 33.93951
342.5721, 32.43439
343.0542, 31.17287
343.5363, 30.48726
344.0184, 30.22574
344.5005, 29.70772
344.9827, 28.92268
345.4648, 27.99927
345.9469, 26.98671
346.4290, 25.89735
346.9111, 24.95061
347.3932, 24.18379
347.8754, 23.56483
348.3575, 23.29677
348.8396, 23.31462
349.3217, 22.85750
349.8038, 20.78447
350.2859, 17.88162
350.7681, 16.24063
351.2502, 16.32426
351.7323, 16.83702
352.2144, 16.32170
352.6965, 15.00905
353.1786, 13.62048
353.6608, 12.38873
354.1429, 11.37228
354.6250, 10.75070
355.1071, 10.52632
355.5892, 10.24184
356.0714, 9.439865
356.5535, 8.406219
357.0356, 7.543518
357.5177, 7.160431
357.9998, 6.802338
358.4819, 6.090103
358.9641, 5.132751
359.4462, 4.384369
359.9283, 4.256714
360.4104, 4.318817
360.8925, 4.181473
361.3746, 3.576035
361.8568, 2.949539
362.3389, 2.445633
362.8210, 2.073257
363.3031, 1.844193
363.7852, 2.032318
364.2673, 2.138138
364.7495, 1.872406
365.2316, 1.068008
365.7137, 0.4095000
366.1958, 0.1779170
366.6779, 0.1201020
367.1600, 6.5002002E-02
367.6422, 0.7012330
368.1243, 1.166107
368.6064, 1.235947
369.0885, 0.8840030
369.5706, 0.7277980
370.0527, 0.8815310
370.5349, 1.139160
371.0170, 1.379120
371.4991, 1.632004
371.9812, 1.814789
372.4633, 1.985519
372.9454, 2.079147
373.4276, 1.825775
373.9097, 1.019226
374.3918, 0.2182920
374.8739, 0.3225400
375.3560, 0.5828700
375.8381, 0.6691890
376.3203, 0.4902950
376.8024, 0.2550510
377.2845, 0.2869720
377.7666, 0.6132200
378.2487, 1.067703
378.7308, 1.637497
379.2130, 2.298264
379.6951, 2.847321
380.1772, 3.277924
380.6593, 3.643250
381.1414, 3.887619
381.6235, 4.049713
382.1057, 4.565536
382.5878, 5.672256
383.0699, 6.971191
383.5520, 7.577942
384.0341, 7.568405
384.5162, 7.668594
384.9984, 8.547165
385.4805, 9.842850
385.9626, 10.71544
386.4447, 11.01625
386.9268, 11.24808
387.4089, 12.02829
387.8911, 13.13678
388.3732, 14.06418
388.8553, 14.43413
389.3374, 14.61394
389.8195, 14.91254
390.3016, 15.33128
390.7838, 15.84148
391.2659, 16.55161
391.7480, 17.28817
392.2301, 17.87738
392.7122, 18.30799
393.1943, 18.53732
393.6765, 18.45946
394.1586, 18.15149
394.6407, 17.83663
395.1228, 17.73534
395.6049, 17.53522
396.0870, 16.99049
396.5692, 15.88089
397.0513, 15.07695
397.5334, 15.10004
398.0155, 15.40128
398.4976, 15.29622
398.9797, 14.45457
399.4619, 13.47511
399.9440, 12.32902
400.4261, 11.01772
400.9082, 10.11086
401.3903, 9.906258
401.8724, 9.819077
402.3546, 9.469017
402.8367, 8.725273
403.3188, 8.017906
403.8009, 7.404037
404.2830, 6.826225
404.7651, 6.116188
405.2473, 5.230484
405.7294, 4.359810
406.2115, 3.523666
406.6936, 2.722946
407.1757, 2.290031
407.6578, 2.309883
408.1400, 2.466850
408.6221, 2.447678
409.1042, 2.252563
409.5863, 1.834221
410.0684, 1.083702
410.5505, 0.1785350
411.0327, 0.5559010
411.5148, 1.120781
411.9969, 1.461151
412.4790, 1.411156
412.9611, 1.122002
413.4432, 0.9906850
413.9254, 1.118546
414.4075, 1.217773
414.8896, 0.7950060
415.3717, 9.3491003E-02
415.8538, 0.3101350
416.3359, 0.1412810
416.8181, 0.8350300
417.3002, 1.358391
417.7823, 1.694023
418.2644, 1.571640
418.7465, 0.1960370
419.2286, 1.409363
419.7108, 2.213158
420.1929, 1.347969
420.6750, 0.4585190
421.1571, 0.1679080
421.6392, 0.3194960
422.1213, 0.5235520
422.6035, 0.6646190
