##NAMES=Arsenuranospathite
##RRUFFID=R100008
##IDEAL CHEMISTRY=Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F&#183;20H_2_O
##LOCALITY=Krunkelbach valley, Menzenschwand, Schwarzwald, Germany
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Blocky aggregates of yellowish-brown platy crystals, cell parameters are consistent with a partially dehydrated sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100008
358.7557, 7.1044996E-02
359.2379, 3.137634
359.7200, 6.484558
360.2021, 8.627991
360.6842, 9.335938
361.1663, 10.00879
361.6484, 12.95996
362.1306, 18.57312
362.6127, 21.47156
363.0948, 18.32471
363.5769, 14.88379
364.0590, 14.18231
364.5411, 16.02032
365.0233, 18.94189
365.5054, 22.35400
365.9875, 26.10864
366.4696, 29.63318
366.9517, 33.12781
367.4338, 35.98438
367.9160, 37.41901
368.3981, 38.18488
368.8802, 39.37128
369.3623, 41.34027
369.8444, 43.94452
370.3265, 47.39752
370.8087, 51.92926
371.2908, 55.27411
371.7729, 54.70111
372.2550, 53.77832
372.7371, 56.78400
373.2192, 64.63666
373.7014, 72.66559
374.1835, 76.99207
374.6656, 78.40491
375.1477, 80.53705
375.6298, 84.08057
376.1119, 88.52399
376.5941, 93.96924
377.0762, 100.1287
377.5583, 105.2967
378.0404, 108.2272
378.5225, 110.0350
379.0046, 111.8444
379.4868, 113.5883
379.9689, 116.8992
380.4510, 124.0467
380.9331, 133.5843
381.4152, 140.9977
381.8973, 145.0060
382.3795, 147.8474
382.8616, 150.3072
383.3437, 152.6562
383.8258, 156.1017
384.3079, 161.4232
384.7900, 167.6821
385.2722, 173.1598
385.7543, 177.9650
386.2364, 181.9977
386.7185, 184.5289
387.2006, 186.5322
387.6827, 189.4149
388.1649, 193.4666
388.6470, 197.7203
389.1291, 201.0770
389.6112, 203.3520
390.0933, 206.4860
390.5754, 212.1323
391.0576, 217.1841
391.5397, 219.3625
392.0218, 219.2013
392.5039, 218.7809
392.9860, 219.3400
393.4681, 220.6605
393.9503, 221.6650
394.4324, 222.4664
394.9145, 222.8535
395.3966, 223.2712
395.8787, 223.0855
396.3608, 221.4987
396.8430, 218.2717
397.3251, 213.7884
397.8072, 208.4914
398.2893, 201.7439
398.7714, 195.7590
399.2535, 191.4698
399.7357, 186.6509
400.2178, 179.6714
400.6999, 171.2455
401.1820, 163.5203
401.6641, 158.2029
402.1462, 154.8879
402.6284, 149.3569
403.1105, 139.8256
403.5926, 130.0834
404.0747, 120.0026
404.5568, 110.4869
405.0389, 102.5874
405.5211, 96.67212
406.0032, 92.00732
406.4853, 87.54071
406.9674, 83.44116
407.4495, 79.32324
407.9316, 74.55927
408.4138, 69.94452
408.8959, 66.64459
409.3780, 64.55957
409.8601, 61.86426
410.3422, 56.58112
410.8243, 49.11902
411.3065, 42.71881
411.7886, 36.96368
412.2707, 32.85712
412.7528, 31.60498
413.2349, 32.10187
413.7170, 32.58380
414.1992, 32.13000
414.6813, 31.18848
415.1634, 30.32996
415.6455, 29.63855
416.1276, 28.57184
416.6097, 26.58789
417.0919, 24.52667
417.5740, 23.80597
418.0561, 24.48694
418.5382, 23.58887
419.0203, 17.23566
419.5024, 8.547241
419.9846, 4.541138
420.4667, 6.483459
420.9488, 10.80267
421.4309, 16.36072
421.9130, 22.16553
422.3951, 24.58093
422.8773, 20.64941
423.3594, 15.43585
423.8415, 11.54291
424.3236, 9.116760
424.8057, 9.042786
425.2878, 12.25732
425.7700, 16.97583
426.2521, 19.08356
426.7342, 17.20441
427.2163, 17.02972
427.6984, 20.91418
428.1805, 26.18622
428.6627, 30.42072
429.1448, 33.16614
429.6269, 34.63977
430.1090, 34.86859
430.5911, 33.75916
431.0732, 33.34009
431.5554, 33.82446
432.0375, 34.61145
432.5196, 35.35760
433.0017, 36.29633
433.4838, 37.86230
433.9659, 40.25629
434.4481, 43.26062
434.9302, 46.49695
435.4123, 50.50629
435.8944, 53.68640
436.3765, 54.78052
436.8586, 56.10266
437.3408, 59.63202
437.8229, 65.08240
438.3050, 70.38928
438.7871, 73.63354
439.2692, 74.96539
439.7513, 77.06512
440.2335, 80.48254
440.7156, 83.92389
441.1977, 86.88965
441.6798, 89.71661
442.1619, 92.78247
442.6440, 96.22650
443.1262, 100.0229
443.6083, 104.5241
444.0904, 109.8795
444.5725, 113.9716
445.0546, 115.2063
445.5367, 116.2529
446.0189, 119.2648
446.5010, 123.9427
446.9831, 128.6475
447.4652, 132.8900
447.9473, 136.4735
448.4294, 138.7842
448.9116, 139.6644
449.3937, 140.3685
449.8758, 140.8505
450.3579, 141.9991
450.8400, 145.9124
451.3221, 154.8434
451.8043, 162.0927
452.2864, 162.5164
452.7685, 158.8793
453.2506, 157.0001
453.7327, 158.3835
454.2148, 161.5639
454.6970, 165.4803
455.1791, 170.5377
455.6612, 172.5137
456.1433, 168.3745
456.6254, 163.8170
457.1075, 162.1121
457.5897, 162.9095
458.0718, 164.6000
458.5539, 166.3743
459.0360, 168.1580
459.5181, 169.7612
460.0002, 172.9219
460.4824, 173.3860
460.9645, 169.6626
461.4466, 164.2540
461.9287, 158.4626
462.4108, 152.8565
462.8929, 148.3694
463.3751, 146.4009
463.8572, 146.9941
464.3393, 144.5840
464.8214, 136.6413
465.3035, 128.6223
465.7856, 121.4086
466.2678, 115.1727
466.7499, 110.0178
467.2320, 105.9946
467.7141, 102.9448
468.1962, 101.1141
468.6783, 100.7418
469.1605, 99.33673
469.6426, 95.37354
470.1247, 91.32751
470.6068, 89.29883
471.0889, 88.80359
471.5710, 87.76270
472.0532, 85.11108
472.5353, 81.35852
473.0174, 76.87122
473.4995, 71.58521
473.9816, 67.22876
474.4637, 64.86090
474.9459, 64.04871
475.4280, 63.57281
475.9101, 63.67432
476.3922, 62.89679
476.8743, 60.55096
477.3564, 57.25214
477.8386, 53.52594
478.3207, 49.38959
478.8028, 45.08911
479.2849, 40.72827
479.7670, 36.32599
480.2491, 33.29346
480.7313, 31.72626
481.2134, 31.17761
481.6955, 32.71649
482.1776, 34.93298
482.6597, 35.11780
483.1418, 32.30920
483.6240, 28.46881
484.1061, 27.24634
484.5882, 30.37305
485.0703, 31.17102
485.5524, 27.04443
486.0345, 23.26794
486.5167, 23.05841
486.9988, 25.13171
487.4809, 26.20288
487.9630, 24.21741
488.4451, 20.21350
488.9272, 16.39478
489.4094, 12.20734
489.8915, 9.980103
490.3736, 12.81403
490.8557, 16.15839
491.3378, 16.71283
491.8199, 14.32452
492.3021, 11.36877
492.7842, 8.741821
493.2663, 6.780640
493.7484, 6.816101
494.2305, 9.349182
494.7126, 11.31403
495.1948, 10.33356
495.6769, 7.596008
496.1590, 6.177795
496.6411, 6.640015
497.1232, 7.524292
497.6053, 8.597534
498.0875, 9.511353
498.5696, 9.411804
499.0517, 8.106689
499.5338, 6.692810
500.0159, 6.372864
500.4980, 7.515320
500.9802, 8.401550
501.4623, 10.40814
501.9444, 10.86536
502.4265, 6.750183
502.9086, 0.8532100
503.3907, 1.968750
503.8729, 0.2156980
504.3550, 4.702637
504.8371, 6.882019
505.3192, 5.936462
505.8013, 4.974548
506.2834, 4.064026
506.7656, 3.075989
507.2477, 1.456604
507.7298, 0.1803590
508.2119, 0.6851810
508.6940, 1.052979
509.1761, 3.883118
509.6583, 5.349670
510.1404, 5.207825
510.6225, 5.096252
511.1046, 5.466125
511.5867, 6.041504
512.0688, 6.853149
512.5510, 7.829468
513.0331, 7.987244
513.5152, 5.229431
513.9973, 2.176208
514.4794, 4.322266
514.9615, 11.54791
515.4437, 16.30920
515.9258, 13.64355
516.4079, 6.439453
516.8900, 3.276917
517.3721, 6.333069
517.8542, 8.312500
518.3364, 6.736877
518.8185, 4.088623
519.3006, 2.376465
519.7827, 1.786377
520.2648, 2.356934
520.7469, 4.937012
521.2291, 9.415100
521.7112, 10.94904
522.1933, 6.016052
522.6754, 2.009460
523.1575, 0.4454960
523.6396, 0.1383060
524.1218, 0.1858520
524.6039, 0.2907710
525.0860, 0.1398320
525.5681, 1.247559
526.0502, 3.922546
526.5323, 4.427490
527.0145, 1.167419
527.4966, 1.741241
527.9787, 1.870209
528.4608, 0.6653440
528.9429, 9.9854000E-02
529.4250, 0.7131960
529.9072, 1.621643
530.3893, 2.868622
530.8714, 3.969116
531.3535, 2.769714
531.8356, 1.667053
532.3177, 6.222351
532.7999, 7.600189
533.2820, 5.944519
533.7641, 5.668884
534.2462, 9.534119
534.7283, 12.11282
535.2104, 9.544189
535.6926, 4.219116
536.1747, 0.3498840
536.6568, 0.6623540
537.1389, 0.3931580
537.6210, 1.138885
538.1031, 3.535675
538.5853, 4.078156
539.0674, 0.4959110
539.5495, 2.405090
540.0316, 2.925415
540.5137, 1.707397
540.9958, 0.4634400
541.4780, 3.326416
541.9601, 5.745148
542.4422, 5.376709
542.9243, 1.905243
543.4064, 0.3164670
543.8885, 2.598083
544.3707, 5.107208
544.8528, 5.012756
545.3349, 3.238525
545.8170, 2.181274
546.2991, 2.758392
546.7813, 4.168091
547.2634, 6.107239
547.7455, 8.266083
548.2276, 9.438080
548.7097, 9.025635
549.1918, 8.247375
549.6740, 8.581024
550.1561, 10.15781
550.6382, 12.41962
551.1203, 18.16058
551.6024, 21.84241
552.0845, 18.59424
552.5667, 11.46170
553.0488, 6.369720
553.5309, 5.925507
554.0130, 8.256805
554.4951, 10.21167
554.9772, 11.74762
555.4594, 12.98935
555.9415, 15.83414
556.4236, 16.45981
556.9057, 10.64014
