##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
449.4683, 1037.513
449.9504, 999.5056
450.4326, 940.9631
450.9147, 889.7947
451.3968, 850.6101
451.8789, 816.0183
452.3610, 783.3369
452.8431, 751.9182
453.3253, 720.1511
453.8074, 685.2690
454.2895, 652.5242
454.7716, 629.6204
455.2537, 616.2590
455.7358, 606.8350
456.2180, 602.7605
456.7001, 597.1609
457.1822, 576.3169
457.6643, 537.8052
458.1464, 504.6062
458.6285, 484.3611
459.1106, 469.1814
459.5927, 452.6533
460.0749, 434.4983
460.5570, 416.8748
461.0391, 401.9170
461.5212, 388.9087
462.0033, 374.4023
462.4854, 354.9526
462.9676, 339.1499
463.4497, 333.0803
463.9318, 327.1025
464.4139, 308.3811
464.8960, 278.4731
465.3781, 256.1323
465.8603, 265.3887
466.3424, 298.8735
466.8245, 309.4155
467.3066, 287.3096
467.7887, 267.7952
468.2708, 277.2297
468.7530, 297.5745
469.2351, 302.2632
469.7172, 282.3376
470.1993, 257.7651
470.6814, 240.4341
471.1635, 229.1125
471.6457, 221.3188
472.1278, 215.1323
472.6099, 213.1995
473.0920, 221.5264
473.5741, 241.0161
474.0562, 246.5889
474.5384, 236.4583
475.0205, 219.5823
475.5026, 186.7014
475.9847, 152.3564
476.4668, 139.7075
476.9489, 156.2629
477.4311, 181.7693
477.9132, 186.1770
478.3953, 166.3530
478.8774, 150.2588
479.3595, 140.4905
479.8416, 132.4500
480.3238, 125.3943
480.8059, 118.5610
481.2880, 109.5691
481.7701, 94.52808
482.2522, 78.72217
482.7343, 69.81323
483.2165, 66.94678
483.6986, 63.03247
484.1807, 54.79272
484.6628, 48.33667
485.1449, 53.90942
485.6270, 75.65015
486.1092, 85.67212
486.5913, 76.48193
487.0734, 62.55078
487.5555, 48.33252
488.0376, 35.57300
488.5197, 25.63989
489.0019, 19.14429
489.4840, 17.37573
489.9661, 24.54785
490.4482, 45.14868
490.9303, 60.45117
491.4124, 69.97559
491.8946, 72.78442
492.3767, 64.61621
492.8588, 48.90259
493.3409, 35.10547
493.8230, 28.93799
494.3051, 25.60132
494.7873, 17.24463
495.2694, 4.632813
495.7515, 2.611572
496.2336, 0.1716310
496.7157, 6.372070
497.1978, 10.11060
497.6800, 11.41528
498.1621, 10.55908
498.6442, 3.195068
499.1263, 3.783691
