##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
288.6943, 80.53027
289.1764, 82.52930
289.6585, 82.40674
290.1406, 79.77393
290.6227, 64.97803
291.1049, 19.69385
291.5870, 16.11865
292.0691, 23.79199
292.5512, 15.96924
293.0333, 13.65723
293.5154, 29.27197
293.9976, 54.64160
294.4797, 67.62695
294.9618, 63.28564
295.4439, 57.36035
295.9260, 52.83154
296.4081, 49.92188
296.8903, 49.21436
297.3724, 51.01074
297.8545, 54.08252
298.3366, 56.11133
298.8187, 56.76025
299.3008, 61.77100
299.7830, 80.42725
300.2651, 96.94043
300.7472, 95.99365
301.2293, 77.31250
301.7114, 58.48633
302.1935, 53.37988
302.6757, 58.14209
303.1578, 57.50195
303.6399, 47.31885
304.1220, 36.60352
304.6041, 33.96191
305.0862, 37.11475
305.5684, 37.98438
306.0505, 36.05518
306.5326, 29.34326
307.0147, 13.14844
307.4968, 11.56738
307.9789, 35.22754
308.4611, 55.42285
308.9432, 72.21338
309.4253, 84.19434
309.9074, 75.09082
310.3895, 75.15869
310.8716, 108.9785
311.3538, 165.6001
311.8359, 216.4111
312.3180, 248.2524
312.8001, 273.1484
313.2822, 319.5767
313.7643, 397.0664
314.2465, 472.1509
314.7286, 534.0742
315.2107, 591.9111
315.6928, 654.7373
316.1749, 725.0693
316.6570, 803.6533
317.1392, 892.6919
317.6213, 997.5264
318.1034, 1095.404
318.5855, 1173.586
319.0676, 1255.944
319.5497, 1360.670
320.0319, 1484.502
320.5140, 1606.878
320.9961, 1709.952
321.4782, 1794.680
321.9603, 1913.243
322.4424, 2077.927
322.9246, 2263.824
323.4067, 2468.754
323.8888, 2692.584
324.3709, 2939.619
324.8530, 3212.571
325.3351, 3502.291
325.8173, 3785.703
326.2994, 4055.108
326.7815, 4337.653
327.2636, 4678.116
327.7457, 5004.531
328.2278, 5269.611
328.7100, 5464.181
329.1921, 5597.740
329.6742, 5690.905
330.1563, 5746.725
330.6384, 5697.761
331.1205, 5497.244
331.6027, 5231.808
332.0848, 4937.247
332.5669, 4622.072
333.0490, 4302.688
333.5311, 3982.384
334.0132, 3666.163
334.4954, 3357.818
334.9775, 3053.920
335.4596, 2773.806
335.9417, 2530.087
336.4238, 2316.881
336.9059, 2133.497
337.3881, 1987.199
337.8702, 1858.400
338.3523, 1731.683
338.8344, 1608.942
339.3165, 1499.413
339.7986, 1409.205
340.2808, 1330.252
340.7629, 1247.869
341.2450, 1158.322
341.7271, 1081.137
342.2092, 1029.272
342.6913, 989.4814
343.1735, 943.1938
343.6556, 887.8896
344.1377, 836.3398
344.6198, 801.4565
345.1019, 785.2202
345.5840, 769.9976
346.0662, 760.6475
346.5483, 747.6021
347.0304, 725.8232
347.5125, 696.7070
347.9946, 662.4233
348.4767, 623.5215
348.9589, 581.9321
349.4410, 547.4219
349.9231, 517.4893
350.4052, 504.0337
350.8873, 521.7744
351.3694, 546.5889
351.8516, 556.4272
352.3337, 546.9067
352.8158, 529.1465
353.2979, 514.2583
353.7800, 500.3501
354.2621, 496.7119
354.7443, 520.6128
355.2264, 539.4565
355.7085, 536.7124
356.1906, 517.4253
356.6727, 497.5259
357.1548, 488.1216
357.6370, 483.9292
358.1191, 468.3594
358.6012, 435.2471
359.0833, 412.0142
359.5654, 416.0542
360.0475, 433.1230
360.5297, 450.2007
361.0118, 466.2031
361.4939, 478.6426
361.9760, 484.5391
362.4581, 483.8608
362.9402, 477.5801
363.4224, 462.5674
363.9045, 448.1064
364.3866, 444.8481
364.8687, 452.4536
365.3508, 470.8066
365.8329, 516.8110
366.3151, 562.7437
366.7972, 564.5928
367.2793, 522.7461
367.7614, 495.6846
368.2435, 532.7910
368.7256, 627.1226
369.2078, 686.4097
369.6899, 684.8740
370.1720, 683.5161
370.6541, 704.0513
371.1362, 737.2798
371.6183, 769.1143
372.1005, 793.9819
372.5826, 811.9146
373.0647, 821.2065
373.5468, 807.3452
374.0289, 814.1890
374.5110, 859.8364
374.9932, 908.5000
375.4753, 932.9878
375.9574, 937.1069
376.4395, 946.6777
376.9216, 986.8628
377.4037, 1053.907
377.8859, 1101.248
378.3680, 1107.024
378.8501, 1126.916
379.3322, 1193.989
379.8143, 1278.332
380.2964, 1339.085
380.7786, 1359.072
381.2607, 1365.139
381.7428, 1392.203
382.2249, 1440.396
382.7070, 1482.610
383.1891, 1509.773
383.6713, 1531.070
384.1534, 1549.870
384.6355, 1566.640
385.1176, 1602.681
385.5997, 1687.771
386.0818, 1788.002
386.5640, 1850.287
387.0461, 1870.346
387.5282, 1886.349
388.0103, 1923.540
388.4924, 1979.644
388.9745, 2035.773
389.4567, 2098.672
389.9388, 2153.990
390.4209, 2189.973
390.9030, 2216.483
391.3851, 2250.288
391.8672, 2297.080
392.3494, 2350.516
392.8315, 2401.293
393.3136, 2452.248
393.7957, 2492.130
394.2778, 2515.321
394.7599, 2534.444
395.2421, 2554.125
395.7242, 2575.794
396.2063, 2601.522
396.6884, 2634.728
397.1706, 2671.795
397.6527, 2693.991
398.1348, 2693.075
398.6169, 2692.097
399.0990, 2700.807
399.5811, 2710.384
400.0633, 2712.223
400.5454, 2704.112
