##NAMES=Beta-fergusonite-(Y)
##RRUFFID=R080103
##IDEAL CHEMISTRY=YNbO_4_
##LOCALITY=Arendal, Aust-Agder, Norway
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Olive green fragment from metamict sample R070600, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080103
597.7124, 20366.72
598.1945, 20725.82
598.6766, 21116.57
599.1588, 21480.77
599.6409, 21809.62
600.1230, 22090.44
600.6051, 22291.09
601.0872, 22406.48
601.5693, 22614.47
602.0515, 22971.25
602.5336, 23314.48
603.0157, 23550.32
603.4978, 23674.13
603.9799, 23781.53
604.4620, 23864.02
604.9442, 23934.22
605.4263, 24016.16
605.9084, 24110.85
606.3905, 24196.30
606.8726, 24273.05
607.3547, 24330.06
607.8369, 24376.17
608.3190, 24396.06
608.8011, 24362.84
609.2832, 24246.37
609.7653, 24093.61
610.2474, 23917.14
610.7296, 23717.66
611.2117, 23506.23
611.6938, 23296.77
612.1759, 23080.66
612.6580, 22862.72
613.1401, 22661.82
613.6223, 22367.52
614.1044, 21930.89
614.5865, 21466.94
615.0686, 21091.65
615.5507, 20822.44
616.0328, 20488.55
616.5150, 20057.68
616.9971, 19596.70
617.4792, 19230.55
617.9613, 18932.91
618.4434, 18570.74
618.9255, 18057.91
619.4077, 17512.90
619.8898, 17091.41
620.3719, 16754.57
620.8540, 16378.75
621.3361, 15858.55
621.8182, 15319.84
622.3004, 14824.41
622.7825, 14375.35
623.2646, 13948.87
623.7467, 13588.03
624.2288, 13211.23
624.7109, 12764.76
625.1931, 12202.37
625.6752, 11735.41
626.1573, 11403.62
626.6394, 11097.52
627.1215, 10697.01
627.6036, 10199.73
628.0858, 9695.703
628.5679, 9180.320
629.0500, 8703.680
629.5321, 8386.891
630.0142, 8181.656
630.4963, 7925.133
630.9785, 7516.984
631.4606, 7069.938
631.9427, 6672.195
632.4248, 6315.625
632.9069, 5973.914
633.3890, 5626.961
633.8712, 5302.602
634.3533, 5024.516
634.8354, 4797.109
635.3175, 4546.859
635.7996, 4251.836
636.2817, 3955.742
636.7639, 3684.484
637.2460, 3438.430
637.7281, 3203.922
638.2102, 2986.234
638.6923, 2766.125
639.1744, 2512.859
639.6566, 2231.742
640.1387, 1980.531
640.6208, 1766.266
641.1029, 1569.727
641.5850, 1382.938
642.0671, 1193.852
642.5493, 987.3281
643.0314, 752.0703
643.5135, 497.0312
643.9956, 233.2969
644.4777, 43.89062
644.9598, 348.0078
645.4420, 761.5703
645.9241, 1115.289
646.4062, 1329.305
646.8883, 1414.625
647.3704, 1597.430
647.8525, 1925.141
648.3347, 2249.875
648.8168, 2485.883
649.2989, 2631.680
649.7810, 2810.695
650.2631, 3030.992
650.7452, 3240.367
651.2274, 3398.195
651.7095, 3516.367
652.1916, 3594.664
652.6737, 3629.352
653.1558, 3685.992
653.6379, 3859.266
654.1201, 4064.453
654.6022, 4187.062
655.0843, 4098.797
655.5664, 4035.703
656.0485, 4075.578
656.5306, 4180.500
657.0128, 4247.836
657.4949, 4254.938
657.9770, 4276.031
658.4591, 4357.797
658.9412, 4468.391
659.4233, 4435.609
659.9055, 4239.867
660.3876, 4071.438
660.8697, 4066.094
661.3518, 4150.664
661.8339, 4136.500
662.3160, 4027.422
662.7982, 3904.781
663.2803, 3849.055
663.7624, 3789.609
664.2445, 3668.586
664.7266, 3469.266
665.2087, 3230.195
665.6909, 2908.438
666.1730, 2584.914
666.6551, 2335.141
667.1372, 2272.672
667.6193, 2076.109
668.1014, 1700.703
668.5836, 1250.203
669.0657, 884.1562
669.5478, 626.1562
670.0299, 286.1094
670.5120, 196.2500
670.9941, 739.5312
671.4763, 1215.805
671.9584, 1630.078
672.4405, 2016.594
672.9226, 2398.062
673.4047, 2766.984
673.8868, 3082.312
674.3690, 3364.906
674.8511, 3727.562
675.3332, 4329.375
675.8153, 4912.766
676.2974, 5360.000
676.7795, 5665.938
677.2617, 6049.609
677.7438, 6574.844
678.2259, 7097.891
678.7080, 7553.984
679.1901, 7947.531
679.6722, 8321.766
680.1544, 8694.062
680.6365, 9035.109
681.1186, 9313.141
681.6007, 9548.891
682.0828, 9849.109
682.5649, 10236.70
683.0471, 10570.55
683.5292, 10661.19
684.0113, 10643.58
684.4934, 10655.11
684.9755, 10781.17
685.4576, 10867.86
685.9398, 10893.52
686.4219, 10856.75
686.9040, 10767.75
687.3861, 10606.06
687.8682, 10443.62
688.3503, 10276.83
688.8325, 10123.11
689.3146, 10050.17
689.7967, 10059.12
690.2788, 9982.250
690.7609, 9677.453
691.2430, 9293.453
691.7252, 9122.938
692.2073, 9138.516
692.6894, 9178.625
693.1715, 9137.875
693.6536, 9092.797
694.1357, 9073.609
694.6179, 9085.359
695.1000, 9190.109
695.5821, 9352.641
696.0642, 9659.188
696.5463, 10158.88
697.0284, 10873.59
697.5106, 11616.94
697.9927, 12380.48
698.4748, 13208.58
698.9569, 14078.39
699.4390, 15016.66
699.9211, 16186.75
700.4033, 17610.94
700.8854, 19200.25
701.3675, 20855.50
701.8496, 22620.09
702.3317, 24573.45
702.8138, 26716.80
703.2960, 29008.02
703.7781, 31464.62
704.2602, 34052.14
704.7423, 36725.12
705.2244, 39423.20
705.7065, 42246.25
706.1887, 45198.02
706.6708, 48260.97
707.1529, 51580.02
707.6350, 55184.12
708.1171, 58829.78
708.5992, 62463.12
709.0814, 66095.50
