##NAMES=Hilgardite
##RRUFFID=R070427
##IDEAL CHEMISTRY=Ca_2_B_5_O_9_Cl&#183;H_2_O
##LOCALITY=Boulby mine, Loftus, Cleveland, England, UK
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Massive etched pink crystallline associated with pale green boracite, polytype 3TC
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070427
341.3565, 805.1769
341.8386, 789.3624
342.3207, 770.4879
342.8028, 751.1383
343.2849, 734.8786
343.7671, 721.7523
344.2492, 714.2142
344.7313, 715.8790
345.2134, 721.2371
345.6955, 723.8680
346.1776, 723.4377
346.6598, 728.8259
347.1419, 748.4110
347.6240, 778.9982
348.1061, 810.1910
348.5882, 839.4890
349.0703, 873.0002
349.5525, 919.8842
350.0346, 975.5209
350.5167, 1025.835
350.9988, 1062.442
351.4809, 1097.541
351.9630, 1138.126
352.4452, 1185.204
352.9273, 1244.042
353.4094, 1318.771
353.8915, 1404.866
354.3736, 1492.119
354.8557, 1585.274
355.3379, 1668.731
355.8200, 1732.798
356.3021, 1787.995
356.7842, 1851.847
357.2663, 1926.631
357.7484, 1988.671
358.2306, 2010.589
358.7127, 1985.750
359.1948, 1957.850
359.6769, 1940.519
360.1590, 1907.315
360.6411, 1840.634
361.1233, 1749.032
361.6054, 1649.920
362.0875, 1552.104
362.5696, 1457.460
363.0517, 1371.386
363.5338, 1290.545
364.0160, 1225.099
364.4981, 1177.699
364.9802, 1143.133
365.4623, 1118.018
365.9444, 1101.278
366.4265, 1092.006
366.9087, 1088.146
367.3908, 1089.282
367.8729, 1102.822
368.3550, 1131.721
368.8371, 1171.234
369.3192, 1221.843
369.8014, 1280.352
370.2835, 1338.754
370.7656, 1390.378
371.2477, 1442.227
371.7298, 1508.226
372.2119, 1589.936
372.6941, 1669.868
373.1762, 1741.747
373.6583, 1806.232
374.1404, 1867.893
374.6225, 1930.558
375.1046, 1976.842
375.5868, 2004.270
376.0689, 2007.497
376.5510, 1972.572
377.0331, 1895.144
377.5152, 1790.520
377.9973, 1669.413
378.4795, 1530.063
378.9616, 1393.629
379.4437, 1261.382
379.9258, 1131.598
380.4079, 1000.409
380.8900, 871.2220
381.3722, 754.4184
381.8543, 655.5902
382.3364, 572.7689
382.8185, 498.5391
383.3006, 434.3635
383.7827, 378.9353
384.2649, 335.8403
384.7470, 299.0516
385.2291, 263.2955
385.7112, 227.9863
386.1933, 196.1954
386.6754, 172.3628
387.1576, 157.2351
387.6397, 137.0449
388.1218, 100.6602
388.6039, 72.34149
389.0860, 64.82806
389.5681, 69.09363
390.0503, 71.08948
390.5324, 64.66571
391.0145, 53.87354
391.4966, 45.48956
391.9787, 40.09406
392.4608, 31.36096
392.9430, 12.65021
393.4251, 5.328979
393.9072, 10.58264
394.3893, 3.208496
394.8714, 2.273621
395.3535, 5.465759
395.8357, 18.18433
396.3178, 19.99219
396.7999, 8.860168
397.2820, 0.8993530
397.7641, 1.449280
398.2462, 13.77325
398.7284, 22.83868
399.2105, 28.70752
399.6926, 31.31201
400.1747, 29.16058
400.6568, 24.04865
401.1389, 18.25708
401.6211, 12.49097
402.1032, 8.118774
402.5853, 7.497925
403.0674, 12.91998
403.5495, 15.05621
404.0316, 9.336121
404.5138, 5.035828
404.9959, 9.906433
405.4780, 20.30505
405.9601, 26.67834
406.4422, 22.73132
406.9243, 10.90973
407.4065, 0.4640500
407.8886, 12.03595
408.3707, 21.71698
408.8528, 27.02502
409.3349, 31.86804
409.8170, 40.84503
410.2992, 54.16180
410.7813, 65.17493
411.2634, 65.70245
411.7455, 58.24213
412.2276, 56.14154
412.7097, 61.97504
413.1919, 69.03552
413.6740, 71.25714
414.1561, 71.50580
414.6382, 75.69348
415.1203, 86.25781
415.6024, 99.44757
416.0846, 114.8176
416.5667, 130.8728
417.0488, 141.8109
417.5309, 144.6737
418.0130, 145.1552
418.4951, 151.3080
418.9773, 163.6772
419.4594, 180.9902
419.9415, 204.5377
420.4236, 231.8924
420.9057, 265.4203
421.3878, 301.9453
421.8700, 332.1107
422.3521, 349.1743
422.8342, 357.1185
423.3163, 373.1096
423.7984, 401.3896
424.2805, 431.7342
424.7627, 462.0511
425.2448, 494.4594
425.7269, 530.8506
426.2090, 571.4563
426.6911, 614.3732
427.1732, 657.1714
427.6554, 700.4826
428.1375, 747.8481
428.6196, 799.5889
429.1017, 854.7695
429.5838, 918.4849
430.0659, 984.0955
430.5481, 1040.932
431.0302, 1085.163
431.5123, 1123.097
431.9944, 1166.506
432.4765, 1209.077
432.9586, 1226.683
433.4408, 1211.158
433.9229, 1175.713
434.4050, 1132.566
434.8871, 1081.076
435.3692, 1030.037
435.8513, 980.6895
436.3335, 931.3870
436.8156, 878.6412
437.2977, 824.9703
437.7798, 774.4474
438.2619, 728.6995
438.7440, 690.7669
439.2262, 669.5222
439.7083, 676.5884
440.1904, 680.2377
440.6725, 670.7269
441.1546, 665.3282
441.6367, 678.3550
442.1189, 706.9737
442.6010, 736.6202
443.0831, 755.9874
443.5652, 767.8927
444.0473, 783.5966
444.5294, 804.8826
445.0116, 824.9744
445.4937, 840.7714
445.9758, 854.4443
446.4579, 867.2954
446.9400, 879.1042
447.4221, 892.9051
447.9043, 911.7214
448.3864, 933.6431
448.8685, 951.6522
449.3506, 964.0323
449.8327, 984.7758
450.3148, 1026.058
450.7970, 1086.820
451.2791, 1149.335
451.7612, 1214.080
452.2433, 1280.077
452.7254, 1344.128
453.2076, 1409.603
453.6897, 1479.949
454.1718, 1556.854
454.6539, 1641.319
455.1360, 1734.644
455.6181, 1837.985
456.1003, 1940.996
456.5824, 2042.771
457.0645, 2144.362
457.5466, 2248.062
458.0287, 2351.624
458.5108, 2453.327
458.9930, 2553.999
459.4751, 2645.382
459.9572, 2715.481
460.4393, 2763.760
460.9214, 2804.163
461.4035, 2851.353
461.8857, 2874.186
462.3678, 2845.041
462.8499, 2768.778
463.3320, 2663.618
463.8141, 2531.661
464.2962, 2375.205
464.7784, 2184.774
465.2605, 1968.921
465.7426, 1758.164
466.2247, 1564.738
466.7068, 1387.730
467.1889, 1228.701
467.6711, 1092.240
468.1532, 965.7527
468.6353, 846.6177
469.1174, 739.2192
469.5995, 648.8931
470.0816, 573.4851
470.5638, 507.8652
471.0459, 448.3477
471.5280, 396.3811
472.0101, 356.6945
472.4922, 334.7806
472.9743, 310.8796
473.4565, 273.9633
473.9386, 238.9503
474.4207, 217.5810
474.9028, 209.2819
475.3849, 201.9050
475.8670, 185.8863
476.3492, 167.4196
476.8313, 158.2531
477.3134, 159.0165
477.7955, 160.7534
478.2776, 157.9301
478.7597, 152.8781
479.2419, 154.2836
479.7240, 165.2534
480.2061, 175.4804
480.6882, 181.8580
481.1703, 187.4633
481.6524, 195.1121
482.1346, 204.7250
482.6167, 214.4734
483.0988, 222.9775
483.5809, 229.8347
484.0630, 236.2224
484.5451, 246.5511
485.0273, 250.7091
485.5094, 244.7723
485.9915, 233.4300
486.4736, 219.8329
486.9557, 204.5858
487.4378, 187.9889
487.9200, 169.7812
488.4021, 152.2341
488.8842, 138.9532
489.3663, 129.4126
489.8484, 119.2700
490.3305, 105.9448
490.8127, 91.87128
491.2948, 81.43219
491.7769, 75.54297
492.2590, 71.20160
492.7411, 66.05194
493.2232, 66.36377
493.7054, 65.17883
494.1875, 62.74707
494.6696, 54.40991
495.1517, 54.48230
495.6338, 51.55334
496.1159, 48.81415
496.5981, 50.93353
497.0802, 45.04755
497.5623, 47.76233
498.0444, 47.50995
498.5265, 49.10144
499.0086, 47.75519
499.4908, 47.75208
499.9729, 51.35376
500.4550, 53.47656
500.9371, 42.11963
501.4192, 40.53717
501.9013, 40.39111
502.3835, 39.15674
502.8656, 38.56793
503.3477, 41.55615
503.8298, 49.08929
504.3119, 56.27136
504.7940, 62.75812
505.2762, 67.06598
505.7583, 64.87671
506.2404, 57.36633
506.7225, 53.71118
507.2046, 60.83984
507.6867, 75.56287
508.1689, 83.82532
508.6510, 80.51733
509.1331, 77.96674
509.6152, 75.68781
510.0973, 75.23010
510.5794, 78.31506
511.0616, 84.53357
511.5437, 91.64777
512.0258, 97.93311
512.5079, 104.0200
512.9901, 111.8953
513.4722, 121.7720
513.9543, 131.9807
514.4364, 142.6205
514.9185, 152.6942
515.4006, 160.5898
515.8828, 166.0908
516.3649, 172.4064
516.8470, 181.8128
517.3291, 191.5062
517.8112, 199.1300
518.2933, 204.6905
518.7755, 208.7883
519.2576, 211.5057
519.7397, 213.9183
520.2218, 218.4742
520.7039, 224.8155
521.1860, 234.2349
521.6682, 253.8499
522.1503, 269.5620
522.6324, 270.2216
523.1145, 260.7089
523.5966, 254.2613
524.0787, 258.3727
524.5609, 267.7312
525.0430, 274.3752
525.5251, 278.3108
526.0072, 280.5279
526.4893, 280.4378
526.9714, 280.0392
527.4536, 282.9642
527.9357, 288.5308
528.4178, 289.2199
528.8999, 280.6466
529.3820, 270.1945
529.8641, 264.3168
530.3463, 259.3091
530.8284, 248.1653
531.3105, 228.4148
531.7926, 201.8120
532.2747, 169.2622
532.7568, 128.3547
533.2390, 95.92310
533.7211, 80.25128
534.2032, 63.63489
534.6853, 34.97614
535.1674, 4.415527
535.6495, 12.96100
536.1317, 12.01514
536.6138, 6.205017
537.0959, 7.146545
537.5780, 13.26123
538.0601, 20.07373
538.5422, 27.29236
539.0244, 33.38879
539.5065, 37.55450
539.9886, 39.59741
540.4707, 38.66876
540.9528, 29.95673
541.4349, 25.15723
541.9171, 31.71338
542.3992, 39.94983
542.8813, 40.34467
543.3634, 32.37561
543.8455, 20.81671
544.3276, 8.088501
544.8098, 3.835693
545.2919, 4.240662
545.7740, 13.47577
546.2561, 24.57343
546.7382, 17.41803
547.2203, 5.154846
547.7024, 3.203735
548.1845, 7.309692
548.6666, 9.449036
549.1487, 6.955933
549.6309, 5.513550
550.1130, 14.10205
550.5951, 30.11066
551.0772, 40.96356
551.5593, 41.10510
552.0414, 37.09229
552.5236, 39.25482
553.0057, 48.32385
553.4878, 61.53955
553.9699, 83.57770
554.4520, 104.2191
554.9341, 118.0789
555.4163, 128.2457
555.8984, 138.8481
556.3805, 151.3527
556.8626, 167.6328
557.3447, 190.4863
557.8268, 219.4680
558.3090, 251.0428
558.7911, 284.9366
559.2732, 322.5758
559.7553, 366.4504
560.2374, 414.6571
560.7195, 460.1156
561.2017, 499.2299
561.6838, 541.9861
562.1659, 594.8023
562.6480, 650.6266
563.1301, 700.1374
563.6122, 744.3356
564.0944, 792.8495
564.5765, 852.9330
565.0586, 923.5232
565.5407, 1001.951
566.0228, 1090.343
566.5049, 1181.226
566.9871, 1265.676
567.4692, 1359.445
567.9513, 1475.182
568.4334, 1610.315
568.9155, 1751.105
569.3976, 1901.172
569.8798, 2046.754
570.3619, 2180.327
570.8440, 2299.268
571.3261, 2400.250
571.8082, 2484.189
572.2903, 2530.586
572.7725, 2514.572
573.2546, 2433.856
573.7367, 2309.323
574.2188, 2115.250
574.7009, 1908.697
575.1830, 1681.411
575.6652, 1460.861
576.1473, 1275.808
576.6294, 1132.016
577.1115, 1013.866
577.5936, 908.1481
578.0757, 816.4852
578.5579, 746.2537
579.0400, 698.8456
579.5221, 662.5523
580.0042, 634.1702
580.4863, 612.2442
580.9684, 593.6478
581.4506, 576.1183
581.9327, 569.0626
582.4148, 581.9034
582.8969, 598.3508
583.3790, 603.4792
583.8611, 604.0453
584.3433, 617.5135
584.8254, 651.8889
585.3075, 696.2684
585.7896, 735.1841
586.2717, 768.5494
586.7538, 795.4370
587.2360, 811.7854
587.7181, 828.7076
588.2002, 851.9694
588.6823, 880.1641
589.1644, 911.4140
589.6465, 945.5900
590.1287, 982.8823
590.6108, 1026.469
591.0929, 1071.664
591.5750, 1110.980
592.0571, 1144.854
592.5392, 1180.969
593.0214, 1224.846
593.5035, 1270.846
593.9856, 1303.096
594.4677, 1316.060
594.9498, 1328.642
595.4319, 1344.346
595.9141, 1357.310
596.3962, 1363.249
596.8783, 1364.098
597.3604, 1364.860
597.8425, 1367.683
598.3246, 1370.799
598.8068, 1378.203
599.2889, 1384.346
599.7710, 1375.034
600.2531, 1347.522
600.7352, 1305.441
601.2173, 1249.452
601.6995, 1182.148
602.1816, 1123.122
602.6637, 1087.554
603.1458, 1038.334
603.6279, 960.9294
604.1100, 876.9103
604.5922, 805.2024
605.0743, 743.9192
605.5564, 677.1049
606.0385, 590.5623
606.5206, 499.2320
607.0027, 424.8350
607.4849, 366.0172
607.9670, 312.7909
608.4491, 261.9087
608.9312, 217.9865
609.4133, 187.3451
609.8954, 169.9777
610.3776, 149.2792
610.8597, 119.0748
611.3418, 93.78784
611.8239, 79.86475
612.3060, 70.45190
612.7881, 58.27716
613.2703, 42.97394
613.7524, 30.11603
614.2345, 26.14972
614.7166, 25.76324
615.1987, 13.38348
615.6808, 11.75989
616.1630, 31.35608
616.6451, 39.57788
617.1272, 41.30054
617.6093, 40.99115
618.0914, 38.59088
618.5735, 35.48529
619.0557, 31.90338
619.5378, 27.43262
620.0199, 20.47052
620.5020, 13.23236
620.9841, 9.268066
621.4662, 8.706177
621.9484, 7.850952
622.4305, 4.446960
622.9126, 2.365112
623.3947, 17.66058
623.8768, 43.40186
624.3589, 65.74658
624.8411, 77.93555
625.3232, 87.95691
625.8053, 104.6958
626.2874, 127.7593
626.7695, 154.3916
627.2516, 188.8287
627.7338, 221.6677
628.2159, 248.8938
628.6980, 270.9788
629.1801, 285.0400
629.6622, 292.3536
630.1443, 304.6176
630.6265, 335.8759
631.1086, 381.5198
631.5907, 415.2014
632.0728, 434.3375
632.5549, 452.5525
633.0370, 478.6235
633.5192, 500.9093
634.0013, 502.0554
634.4834, 483.5035
634.9655, 474.7008
635.4476, 498.2455
635.9297, 515.3364
636.4119, 493.3569
636.8940, 454.6432
637.3761, 434.0908
637.8582, 439.9373
638.3403, 458.5864
638.8224, 478.1926
639.3046, 498.5287
639.7867, 517.1768
640.2688, 533.0542
640.7509, 551.0785
641.2330, 570.7001
641.7151, 594.9482
642.1973, 627.4386
642.6794, 667.7545
643.1615, 710.9210
643.6436, 760.1071
644.1257, 807.4310
644.6078, 847.7074
645.0900, 883.7096
645.5721, 921.5981
646.0542, 961.4752
646.5363, 994.4956
647.0184, 1011.583
647.5005, 1015.283
647.9827, 1017.802
648.4648, 1020.407
648.9469, 1016.984
649.4290, 1008.516
649.9111, 990.5054
650.3932, 950.9580
650.8754, 894.4170
651.3575, 853.1306
651.8396, 848.6764
652.3217, 842.0167
652.8038, 812.5225
653.2859, 770.9076
653.7681, 728.0940
654.2502, 688.0856
654.7323, 655.7410
655.2144, 635.9683
655.6965, 625.5272
656.1786, 614.9856
656.6608, 604.8210
657.1429, 590.4635
657.6250, 565.3893
658.1071, 543.9723
658.5892, 541.9810
659.0714, 555.5975
659.5535, 568.6731
660.0356, 582.8419
660.5177, 592.4612
660.9998, 596.1094
661.4819, 593.9427
661.9641, 584.7877
662.4462, 569.7015
662.9283, 552.1681
663.4104, 534.2930
663.8925, 515.9261
664.3746, 495.9000
664.8568, 474.0745
665.3389, 455.7004
665.8210, 443.0074
666.3031, 430.3323
666.7852, 413.9323
667.2673, 394.0415
667.7495, 371.6553
668.2316, 339.8490
668.7137, 316.8625
669.1958, 313.8630
669.6779, 314.7054
670.1600, 307.2836
670.6422, 292.2583
671.1243, 274.7098
671.6064, 256.6293
672.0885, 240.3771
672.5706, 230.1508
673.0527, 225.2432
673.5349, 220.6139
674.0170, 214.8016
674.4991, 207.5981
674.9812, 198.6281
675.4633, 189.1392
675.9454, 180.4806
676.4276, 171.5745
676.9097, 167.8275
677.3918, 173.7175
677.8739, 181.6190
678.3560, 190.0522
678.8381, 198.9915
679.3203, 207.4827
679.8024, 216.9916
680.2845, 226.7372
680.7666, 237.1516
681.2487, 248.4268
681.7308, 260.6918
682.2130, 274.0323
682.6951, 288.9497
683.1772, 305.9553
683.6593, 323.6099
684.1414, 339.3558
684.6235, 351.9285
685.1057, 369.1002
685.5878, 388.5519
686.0699, 415.8154
686.5520, 457.0757
687.0341, 503.9249
687.5162, 547.9546
687.9984, 588.2422
688.4805, 628.1755
688.9626, 667.7441
689.4447, 709.4635
689.9268, 757.8174
690.4089, 810.7096
690.8911, 863.7086
691.3732, 915.3887
691.8553, 960.2781
692.3374, 990.5798
692.8195, 1009.219
693.3016, 1043.798
693.7838, 1107.841
694.2659, 1157.856
694.7480, 1178.419
695.2301, 1189.003
695.7122, 1202.844
696.1943, 1218.232
696.6765, 1227.614
697.1586, 1229.465
697.6407, 1224.446
698.1228, 1210.303
698.6049, 1190.938
699.0870, 1174.181
699.5692, 1158.072
700.0513, 1130.308
700.5334, 1082.235
701.0155, 1022.914
701.4976, 970.4603
701.9797, 924.9991
702.4619, 881.9153
702.9440, 841.7495
703.4261, 801.6375
703.9082, 760.6367
704.3903, 718.2843
704.8724, 671.8439
705.3546, 616.9012
705.8367, 570.6052
706.3188, 541.2087
706.8009, 514.9016
707.2830, 484.2211
707.7651, 450.5449
708.2473, 416.3719
708.7294, 382.5933
709.2115, 352.2157
709.6936, 327.9769
710.1757, 309.2629
710.6578, 297.6599
711.1400, 292.3844
711.6221, 278.8193
712.1042, 250.2217
712.5863, 218.1533
713.0684, 197.5420
713.5505, 189.1394
714.0327, 176.0237
714.5148, 153.6366
714.9969, 132.8121
715.4790, 114.7418
715.9611, 99.19788
716.4432, 85.70679
