##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O^+^)_3_Mg_6_Fe_15_(SO_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
283.5213, 3.674316
284.0034, 4.138062
284.4856, 5.029282
284.9677, 5.822754
285.4498, 5.874161
285.9319, 4.937256
286.4140, 4.567413
286.8961, 5.128311
287.3783, 5.952835
287.8604, 6.767334
288.3425, 7.476227
288.8246, 7.783173
289.3067, 7.290863
289.7888, 5.985870
290.2710, 5.444031
290.7531, 6.301315
291.2352, 7.277420
291.7173, 7.617355
292.1994, 7.407425
292.6815, 7.169708
293.1637, 7.224731
293.6458, 7.546967
294.1279, 7.920837
294.6100, 8.397827
295.0921, 8.864822
295.5742, 9.211960
296.0564, 9.504181
296.5385, 9.956451
297.0206, 10.73735
297.5027, 11.66846
297.9848, 12.21117
298.4669, 12.39590
298.9491, 12.26434
299.4312, 11.57840
299.9133, 10.60876
300.3954, 9.873672
300.8775, 9.554169
301.3596, 9.540573
301.8418, 9.742294
302.3239, 10.30702
302.8060, 10.53589
303.2881, 10.11353
303.7702, 9.310074
304.2523, 8.372543
304.7345, 7.320297
305.2166, 6.522064
305.6987, 6.669006
306.1808, 7.863846
306.6629, 8.372742
307.1451, 7.465027
307.6272, 6.075516
308.1093, 5.181091
308.5914, 4.905243
309.0735, 4.830978
309.5556, 4.596878
310.0378, 4.171936
310.5199, 3.740509
311.0020, 3.181534
311.4841, 2.802841
311.9662, 3.004456
312.4483, 3.741135
312.9305, 4.380249
313.4126, 4.436905
313.8947, 3.992966
314.3768, 3.674438
314.8589, 3.575546
315.3410, 3.520096
315.8232, 3.529388
316.3053, 3.578247
316.7874, 3.619598
317.2695, 3.519852
317.7516, 3.382858
318.2337, 3.345642
318.7159, 3.381485
319.1980, 3.490341
319.6801, 3.531433
320.1622, 3.587250
320.6443, 3.790726
321.1264, 4.221115
321.6086, 4.686371
322.0907, 4.856766
322.5728, 4.726135
323.0549, 4.519638
323.5370, 4.047852
324.0191, 3.611313
324.5013, 3.852051
324.9834, 4.888763
325.4655, 5.941895
325.9476, 6.142075
326.4297, 5.455093
326.9118, 4.922729
327.3940, 4.594040
327.8761, 4.503754
328.3582, 4.852341
328.8403, 5.587738
329.3224, 6.157196
329.8045, 6.118759
330.2867, 5.571167
330.7688, 5.243683
331.2509, 5.025970
331.7330, 5.093597
332.2151, 5.743790
332.6972, 6.793457
333.1794, 7.657959
333.6615, 8.032425
334.1436, 8.074677
334.6257, 8.217361
335.1078, 8.526199
335.5899, 8.778915
336.0721, 8.875366
336.5542, 8.879684
337.0363, 8.912781
337.5184, 9.018326
338.0005, 9.108932
338.4826, 9.023376
338.9648, 8.699905
339.4469, 8.488373
339.9290, 8.481293
340.4111, 8.575790
340.8932, 8.749359
341.3753, 8.980957
341.8575, 9.065720
342.3396, 8.771042
342.8217, 8.053024
343.3038, 7.504349
343.7859, 7.126236
344.2680, 6.907684
344.7502, 6.966492
345.2323, 7.214462
345.7144, 7.330704
346.1965, 7.086761
346.6786, 6.559189
347.1607, 6.201584
347.6429, 6.273819
348.1250, 6.176712
348.6071, 5.543655
349.0892, 4.670456
349.5713, 4.094040
350.0534, 4.040344
350.5356, 4.246826
351.0177, 4.173981
351.4998, 3.583771
351.9819, 3.167740
352.4640, 3.023926
352.9461, 3.033707
353.4283, 3.146149
353.9104, 3.329956
354.3925, 3.467300
354.8746, 3.420807
355.3567, 3.154510
355.8388, 2.852432
356.3210, 2.519531
356.8031, 2.146896
357.2852, 1.590027
357.7673, 0.9608000
358.2494, 0.6162410
358.7315, 0.8564450
359.2137, 1.594025
359.6958, 1.938843
360.1779, 1.628540
360.6600, 1.255463
361.1421, 0.8788760
361.6242, 0.5263520
362.1064, 0.1944730
362.5885, 0.1151120
363.0706, 0.3383640
363.5527, 0.3167270
364.0348, 0.2531890
364.5169, 0.6156770
364.9991, 0.7755130
365.4812, 0.7454220
365.9633, 0.3873750
366.4454, 0.2356870
366.9275, 0.7539220
367.4096, 0.6991880
367.8918, 0.1003110
368.3739, 0.5541230
368.8560, 0.5497280
369.3381, 0.3436890
369.8202, 0.1702880
370.3023, 0.8149570
370.7845, 1.217804
371.2666, 1.096222
371.7487, 0.5756530
372.2308, 0.7413940
372.7129, 1.7593000E-02
373.1950, 0.3991090
373.6772, 0.5252080
374.1593, 0.5094150
374.6414, 4.5639001E-02
375.1235, 0.1826020
375.6056, 0.3443300
376.0877, 0.3298190
376.5699, 0.5370480
377.0520, 0.1234740
377.5341, 0.1740720
378.0162, 0.5037080
378.4983, 0.2289120
378.9804, 0.1408690
379.4626, 0.6572110
379.9447, 0.8388060
380.4268, 0.4943850
380.9089, 0.3446350
