##NAMES=Hydrocerussite
##RRUFFID=R070059
##IDEAL CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_
##LOCALITY=Wanlockhead, Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of colorless thin hexagonal plates, likely a pseudomorph after plumbonacrite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070059
##MEASURED CHEMISTRY=Pb_3_(CO_3_)_2_(OH)_2_ ; Pb confirmed by EPMA, CO_2_ and H_2_O not analyzed but confirmed by Raman spectroscopy
403.3482, 2096.265
403.8303, 2108.720
404.3124, 2106.863
404.7946, 2121.243
405.2767, 2155.782
405.7588, 2198.867
406.2409, 2251.369
406.7230, 2306.539
407.2051, 2337.444
407.6873, 2335.933
408.1694, 2330.464
408.6515, 2335.085
409.1336, 2351.100
409.6157, 2383.375
410.0978, 2447.783
410.5800, 2510.384
411.0621, 2549.736
411.5442, 2570.917
412.0263, 2584.883
412.5084, 2594.094
412.9905, 2603.380
413.4727, 2620.943
413.9548, 2652.525
414.4369, 2674.587
414.9190, 2675.179
415.4011, 2676.325
415.8832, 2696.159
416.3654, 2729.361
416.8475, 2757.163
417.3296, 2767.312
417.8117, 2763.815
418.2938, 2764.423
418.7759, 2782.360
419.2581, 2783.918
419.7402, 2749.133
420.2223, 2706.872
420.7044, 2684.600
421.1865, 2685.046
421.6686, 2685.289
422.1508, 2658.115
422.6329, 2607.663
423.1150, 2575.113
423.5971, 2574.357
424.0792, 2564.803
424.5613, 2509.092
425.0435, 2436.021
425.5256, 2389.437
426.0077, 2390.685
426.4898, 2395.247
426.9719, 2363.084
427.4540, 2302.304
427.9362, 2244.329
428.4183, 2198.604
428.9004, 2154.432
429.3825, 2099.954
429.8646, 2036.527
430.3467, 1968.208
430.8289, 1890.212
431.3110, 1811.766
431.7931, 1736.195
432.2752, 1666.746
432.7573, 1608.404
433.2394, 1563.310
433.7216, 1529.315
434.2037, 1501.747
434.6858, 1496.938
435.1679, 1472.843
435.6500, 1421.112
436.1321, 1357.620
436.6143, 1285.694
437.0964, 1210.454
437.5785, 1144.290
438.0606, 1100.472
438.5427, 1073.932
439.0248, 1038.275
439.5070, 985.6758
439.9891, 942.0898
440.4712, 936.2715
440.9533, 939.3887
441.4354, 917.0547
441.9175, 860.3828
442.3997, 795.4297
442.8818, 734.9688
443.3639, 682.1729
443.8460, 645.0127
444.3281, 625.6592
444.8102, 614.1592
445.2924, 601.3535
445.7745, 588.1338
446.2566, 583.9072
446.7387, 611.8613
447.2208, 624.9619
447.7029, 595.8691
448.1851, 541.0674
448.6672, 484.2256
449.1493, 434.3408
449.6314, 394.1123
450.1135, 370.8252
450.5956, 373.3672
451.0778, 363.1172
451.5599, 317.7793
452.0420, 282.8193
452.5241, 290.4639
453.0062, 319.8857
453.4883, 327.0957
453.9705, 285.6328
454.4526, 226.4775
454.9347, 216.2061
455.4168, 265.1611
455.8989, 280.0371
456.3810, 212.5615
456.8632, 132.2734
457.3453, 100.4756
457.8274, 113.1982
458.3095, 130.7920
458.7916, 147.9531
459.2737, 156.0068
459.7559, 137.3389
460.2380, 95.63379
460.7201, 61.52051
461.2022, 50.87305
461.6843, 56.45410
462.1664, 62.28906
462.6486, 71.73438
463.1307, 74.88184
463.6128, 67.18262
464.0949, 55.68555
464.5770, 41.22559
465.0591, 27.25391
465.5413, 25.57520
466.0234, 49.02441
466.5055, 89.58789
466.9876, 100.9590
467.4697, 62.16602
467.9518, 31.18164
468.4340, 21.24414
468.9161, 21.42773
469.3982, 25.24805
469.8803, 30.97559
470.3624, 35.52637
470.8445, 35.23340
471.3267, 31.99316
471.8088, 32.33203
472.2909, 37.42578
472.7730, 40.34863
473.2551, 34.79785
473.7372, 25.14551
474.2194, 24.03418
474.7015, 41.71289
475.1836, 48.09766
475.6657, 17.30371
476.1478, 24.94336
476.6299, 41.08691
477.1121, 26.51562
477.5942, 6.770508
478.0763, 6.294922
478.5584, 24.49512
479.0405, 29.74707
479.5226, 10.98828
480.0048, 6.135742
480.4869, 26.19043
480.9690, 39.14844
481.4511, 27.53223
481.9332, 10.29199
482.4153, 45.89941
482.8975, 43.31543
483.3796, 6.349609
483.8617, 15.88574
484.3438, 19.59863
484.8259, 14.14355
485.3080, 12.59277
485.7902, 41.03516
486.2723, 33.82031
486.7544, 34.87402
487.2365, 96.15137
487.7186, 101.7070
488.2007, 68.41113
488.6829, 27.87500
489.1650, 13.05078
489.6471, 43.75391
490.1292, 53.69922
490.6113, 42.59277
491.0934, 28.44531
491.5756, 5.782227
492.0577, 13.16699
492.5398, 24.18457
493.0219, 30.36133
493.5040, 35.01172
493.9861, 39.18848
494.4683, 42.65332
494.9504, 44.51270
495.4325, 44.70117
495.9146, 50.60645
496.3967, 74.67578
496.8788, 82.50488
497.3610, 39.76855
497.8431, 22.04395
498.3252, 57.15430
498.8073, 51.37695
499.2894, 30.93457
499.7715, 3.957031
500.2536, 21.52148
500.7357, 21.97266
501.2179, 8.097656
501.7000, 39.83301
502.1821, 48.75195
502.6642, 35.66797
503.1463, 20.29980
503.6284, 1.082031
504.1106, 20.07227
504.5927, 37.09863
505.0748, 49.08398
505.5569, 49.13184
506.0390, 37.56055
506.5211, 26.91895
507.0033, 32.64258
507.4854, 54.20898
507.9675, 67.34375
508.4496, 66.56152
508.9317, 66.57129
509.4138, 75.55371
509.8960, 87.09668
510.3781, 93.51953
510.8602, 92.84570
511.3423, 91.22461
511.8244, 95.42871
512.3066, 100.8711
512.7887, 95.88770
513.2708, 78.91406
513.7529, 60.94824
514.2350, 48.42578
514.7172, 41.28320
515.1993, 40.18457
515.6814, 47.94629
516.1635, 57.14746
516.6456, 70.67773
517.1277, 82.64844
517.6099, 80.89648
518.0920, 69.00977
518.5741, 70.32129
519.0562, 111.6777
519.5383, 180.0586
520.0204, 203.3428
520.5026, 164.9033
520.9847, 122.2246
521.4668, 81.94141
521.9489, 52.40527
522.4310, 44.81152
522.9131, 59.75000
523.3953, 78.11133
523.8774, 92.59277
524.3595, 103.8711
524.8416, 112.6211
525.3237, 118.9092
525.8058, 122.5869
526.2880, 123.1113
526.7701, 121.9062
527.2522, 122.6553
527.7343, 132.0459
528.2164, 130.8906
528.6985, 106.3750
529.1807, 82.76855
529.6628, 75.57520
530.1449, 82.10547
530.6270, 91.86914
531.1091, 99.25000
531.5912, 105.6553
532.0734, 114.7471
532.5555, 127.2070
533.0376, 136.1631
533.5197, 135.8525
534.0018, 136.4863
534.4839, 158.7812
534.9661, 194.8125
535.4482, 202.2207
535.9303, 133.7783
536.4124, 64.05859
536.8945, 57.02930
537.3766, 92.56250
537.8588, 124.7852
538.3409, 135.0488
538.8230, 130.0352
539.3051, 113.7031
539.7872, 83.36914
540.2693, 63.44727
540.7515, 66.90039
541.2336, 74.56934
541.7157, 73.82324
542.1978, 75.54492
542.6799, 96.62305
543.1620, 141.9531
543.6442, 173.3105
544.1263, 137.9473
544.6084, 56.76270
545.0905, 23.58789
545.5726, 53.60938
546.0547, 88.53809
546.5369, 94.34863
547.0190, 79.88574
547.5011, 73.55273
547.9832, 81.40430
548.4653, 89.67188
548.9474, 96.79688
549.4296, 101.6934
549.9116, 100.9766
550.3937, 96.36816
550.8759, 96.67676
551.3580, 109.4238
551.8401, 128.0039
552.3222, 126.3564
552.8043, 87.78711
553.2864, 71.43457
553.7686, 119.0420
554.2507, 164.4219
554.7328, 164.1797
555.2149, 126.0205
555.6970, 85.25879
556.1791, 54.34961
556.6613, 36.02441
557.1434, 37.91309
557.6255, 55.42480
558.1076, 66.77930
558.5897, 63.25098
559.0718, 54.36816
559.5540, 53.80078
560.0361, 65.34277
560.5182, 69.65625
561.0003, 53.73730
561.4824, 47.58984
561.9645, 67.02832
562.4467, 97.28809
562.9288, 122.9658
563.4109, 138.8027
563.8930, 142.5430
564.3751, 121.5146
564.8572, 83.14746
565.3394, 79.89355
565.8215, 123.3652
566.3036, 156.1904
566.7857, 147.1104
567.2678, 113.3682
567.7499, 83.98535
568.2321, 53.79688
568.7142, 45.22559
569.1963, 93.76172
569.6784, 146.1582
570.1605, 145.5576
570.6426, 101.7451
571.1248, 62.57910
571.6069, 53.62207
572.0890, 63.88184
572.5711, 71.17090
573.0532, 74.79395
573.5353, 79.20801
574.0175, 92.14258
574.4996, 98.92188
574.9817, 86.35938
575.4638, 63.11621
575.9459, 47.43848
576.4280, 46.21875
576.9102, 51.60547
577.3923, 57.45312
577.8744, 64.71289
578.3565, 78.06348
578.8386, 98.25879
579.3207, 114.1133
579.8029, 115.8262
580.2850, 105.1621
580.7671, 93.87305
581.2492, 73.83594
581.7313, 63.80957
582.2134, 74.95703
582.6956, 88.98242
583.1777, 88.18164
583.6598, 75.35742
584.1419, 69.58301
584.6240, 88.22461
585.1061, 115.1787
585.5883, 115.0537
586.0704, 88.84180
586.5525, 75.94824
587.0346, 89.34863
587.5167, 115.3623
587.9988, 146.4814
588.4810, 182.9512
588.9631, 190.7852
589.4452, 140.9873
589.9273, 94.37988
590.4094, 77.01074
590.8915, 77.00293
591.3737, 76.05957
591.8558, 66.38184
592.3379, 58.38184
592.8200, 67.33301
593.3021, 89.08691
593.7842, 93.13086
594.2664, 72.00781
594.7485, 53.30176
595.2306, 10.08496
595.7127, 26.63770
596.1948, 47.45703
596.6769, 53.16602
597.1591, 1.425781
597.6412, 21.46387
598.1233, 12.85547
598.6054, 3.070313
599.0875, 36.78223
599.5696, 9.478516
600.0518, 23.49023
600.5339, 25.07324
601.0160, 28.92285
601.4981, 50.93555
601.9802, 58.90918
602.4623, 41.22266
602.9445, 25.47949
603.4266, 21.03809
603.9087, 24.75586
604.3908, 37.21973
604.8729, 59.72754
605.3550, 69.90918
605.8372, 36.56934
606.3193, 4.721680
606.8014, 2.975586
607.2835, 51.45410
607.7656, 82.90039
608.2477, 67.54785
608.7299, 31.14258
609.2120, 23.84668
609.6941, 60.63574
610.1762, 79.63770
610.6583, 64.65527
611.1404, 48.37988
611.6226, 41.62891
612.1047, 40.81641
612.5868, 41.37988
613.0689, 42.38477
613.5510, 40.64453
614.0331, 29.29980
614.5153, 14.47461
614.9974, 10.45801
615.4795, 18.11816
615.9616, 29.52148
616.4437, 41.63184
616.9258, 51.75684
617.4080, 53.38184
617.8901, 41.39648
618.3722, 31.89160
618.8543, 25.75293
619.3364, 20.76465
619.8185, 15.84863
620.3007, 11.54004
620.7828, 9.136719
621.2649, 9.435547
621.7470, 9.506836
622.2291, 4.675781
622.7112, 2.896484
623.1934, 4.652344
623.6755, 0.6884770
624.1576, 4.172852
624.6397, 0.6367190
625.1218, 9.796875
625.6039, 12.63086
626.0861, 3.959961
626.5682, 1.225586
627.0503, 8.822266
627.5324, 10.99902
628.0145, 24.27539
628.4966, 74.52344
628.9788, 89.78809
629.4609, 47.36133
629.9430, 8.465820
630.4251, 26.04199
630.9072, 11.26465
631.3893, 11.42676
631.8715, 41.63867
632.3536, 67.55664
632.8357, 82.74316
633.3178, 88.25293
633.7999, 86.59473
634.2820, 75.86621
634.7642, 62.57324
635.2463, 38.40234
635.7284, 19.85840
636.2105, 19.53125
636.6926, 32.51660
637.1747, 49.17188
637.6569, 65.91504
638.1390, 78.45996
638.6211, 76.63867
639.1032, 64.11621
639.5853, 67.83789
640.0674, 94.40137
640.5496, 110.6875
641.0317, 91.93262
641.5138, 53.70117
641.9959, 38.66016
642.4780, 61.31445
642.9601, 70.62988
643.4423, 46.08594
643.9244, 23.03125
644.4065, 26.70996
644.8886, 47.39453
645.3707, 64.72070
645.8528, 70.70801
646.3350, 68.77246
646.8171, 64.93066
647.2992, 57.32227
647.7813, 27.80078
648.2634, 30.71191
648.7455, 65.33984
649.2277, 37.45898
649.7098, 22.47266
650.1919, 47.04785
650.6740, 19.18262
651.1561, 5.927734
651.6382, 21.29492
652.1204, 41.22168
652.6025, 57.87695
653.0846, 67.00977
653.5667, 67.50488
654.0488, 56.79395
654.5309, 44.80371
655.0131, 42.09863
655.4952, 47.93066
655.9773, 50.04688
656.4594, 47.43750
656.9415, 48.71582
657.4236, 56.75000
657.9058, 68.50293
658.3879, 73.63379
658.8700, 73.30469
659.3521, 60.28613
659.8342, 8.375000
660.3163, 27.11230
660.7985, 8.958008
661.2806, 32.41992
661.7627, 57.84863
662.2448, 57.51953
662.7269, 45.20898
663.2090, 23.37598
663.6912, 0.6855470
664.1733, 1.338867
664.6554, 25.90430
665.1375, 45.98242
665.6196, 51.13770
666.1017, 44.89062
666.5839, 27.13672
667.0660, 7.129883
667.5481, 10.75781
668.0302, 50.40039
668.5123, 97.12695
668.9944, 104.8223
669.4766, 93.30469
669.9587, 74.08789
670.4408, 53.77246
670.9229, 51.72852
671.4050, 92.81641
671.8871, 148.4385
672.3693, 183.1572
672.8514, 197.1074
673.3335, 182.6357
673.8156, 135.1191
674.2977, 94.95703
674.7798, 106.4277
675.2620, 165.0820
675.7441, 200.5586
676.2262, 190.3145
676.7083, 191.2559
677.1904, 223.3633
677.6725, 256.9619
678.1547, 271.0195
678.6368, 267.7734
679.1189, 260.6113
679.6010, 254.4766
680.0831, 247.0732
680.5652, 236.4482
681.0474, 222.9834
681.5295, 210.3848
682.0116, 197.7383
682.4937, 169.5518
682.9758, 109.5566
683.4579, 38.29980
683.9401, 27.67969
684.4222, 106.4443
684.9043, 160.6172
685.3864, 171.5635
685.8685, 169.4844
686.3506, 164.0771
686.8328, 157.4756
687.3149, 154.9980
687.7970, 160.7939
688.2791, 157.7119
688.7612, 127.4727
689.2433, 94.79492
689.7255, 89.82324
690.2076, 107.0791
690.6897, 122.4277
691.1718, 124.5859
691.6539, 118.6914
692.1360, 111.5186
692.6182, 102.9180
693.1003, 95.11426
693.5824, 83.83008
694.0645, 86.04004
694.5466, 120.1289
695.0287, 164.5840
695.5109, 185.4531
695.9930, 180.0361
696.4751, 174.1641
696.9572, 171.1475
697.4393, 169.4404
697.9214, 169.5332
698.4036, 169.8818
698.8857, 168.3965
699.3678, 164.6270
699.8499, 159.5400
700.3320, 154.2979
700.8141, 148.1543
701.2963, 134.6387
701.7784, 114.0879
702.2605, 111.7012
702.7426, 137.3398
703.2247, 174.5195
703.7068, 212.9814
704.1890, 251.4004
704.6711, 257.8760
705.1532, 208.4072
705.6353, 160.2178
706.1174, 108.5996
706.5995, 66.46582
707.0817, 53.29883
707.5638, 62.65430
708.0459, 71.60840
708.5280, 70.11621
709.0101, 67.52051
709.4922, 76.30957
709.9744, 89.66113
710.4565, 87.85449
710.9386, 71.22949
711.4207, 67.76465
711.9028, 97.01270
712.3849, 139.7832
712.8671, 147.7676
713.3492, 105.4248
713.8313, 84.56738
714.3134, 103.9990
714.7955, 119.2324
715.2776, 98.08789
715.7598, 67.81250
716.2419, 68.87891
716.7240, 109.8174
717.2061, 140.9863
717.6882, 141.7422
718.1703, 128.7764
718.6525, 108.1768
719.1346, 86.83984
719.6167, 80.49023
720.0988, 91.50684
720.5809, 99.04102
721.0630, 75.39160
721.5452, 34.67578
722.0273, 41.23926
722.5094, 100.8232
722.9915, 134.5361
723.4736, 115.1562
723.9557, 79.38086
724.4379, 58.26660
724.9200, 51.78125
725.4021, 59.93750
