##NAMES=Magnesiotaaffeite-2N2S
##RRUFFID=X090001
##IDEAL CHEMISTRY=Mg_3_BeAl_8_O_16_
##LOCALITY=Ratnapura, Sri Lanka
##OWNER=Bill Pinch
##SOURCE=William W. Pinch
##DESCRIPTION=Dark grey with a hint of purple, flattened tabular hexagonal crystal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X090001
349.8227, 1.938522
350.3048, 1.063431
350.7869, 0.9570010
351.2690, 1.631729
351.7511, 2.427979
352.2332, 2.900986
352.7154, 3.034943
353.1975, 2.773285
353.6796, 1.920715
354.1617, 0.8500820
354.6438, 3.2791000E-02
355.1259, 0.7555240
355.6081, 1.472427
356.0902, 2.256805
356.5723, 3.102142
357.0544, 3.955353
357.5365, 4.666458
358.0186, 5.680634
358.5008, 7.640198
358.9829, 10.12964
359.4650, 12.25938
359.9471, 13.46347
360.4292, 14.29379
360.9113, 14.99153
361.3935, 15.52829
361.8756, 16.29959
362.3577, 17.55650
362.8398, 19.10669
363.3219, 20.73091
363.8040, 22.66968
364.2862, 24.38812
364.7683, 25.36554
365.2504, 25.68713
365.7325, 26.82639
366.2146, 29.96394
366.6967, 33.44768
367.1789, 36.25150
367.6610, 36.86102
368.1431, 38.46234
368.6252, 42.08875
369.1073, 46.99709
369.5894, 50.75702
370.0716, 52.61337
370.5537, 54.12654
371.0358, 55.81534
371.5179, 57.70166
372.0000, 59.72600
372.4821, 62.05771
372.9643, 64.38713
373.4464, 66.35794
373.9285, 68.14267
374.4106, 69.14742
374.8927, 69.15894
375.3748, 68.19255
375.8570, 66.82755
376.3391, 64.95032
376.8212, 62.88135
377.3033, 60.76456
377.7854, 58.55789
378.2675, 56.77213
378.7497, 55.65280
379.2318, 54.81566
379.7139, 52.97270
380.1960, 50.01889
380.6781, 47.49319
381.1602, 46.81517
381.6424, 47.58633
382.1245, 46.98586
382.6066, 44.61238
383.0887, 42.01060
383.5708, 41.08801
384.0529, 41.64812
384.5351, 42.72334
385.0172, 44.19353
385.4993, 45.79611
385.9814, 47.02092
386.4635, 47.87881
386.9456, 48.85832
387.4278, 50.30823
387.9099, 52.12994
388.3920, 54.10655
388.8741, 55.87787
389.3562, 58.31038
389.8383, 62.77414
390.3205, 68.64786
390.8026, 74.06100
391.2847, 77.47404
391.7668, 80.38963
392.2489, 83.89758
392.7310, 88.10667
393.2132, 92.97374
393.6953, 98.47913
394.1774, 104.5610
394.6595, 111.2031
395.1416, 118.2856
395.6237, 125.9749
396.1059, 134.0194
396.5880, 142.4958
397.0701, 152.5740
397.5522, 165.3236
398.0343, 179.0850
398.5164, 192.8584
398.9986, 206.3593
399.4807, 220.0642
399.9628, 234.0836
400.4449, 248.3549
400.9270, 262.8342
401.4091, 278.0256
401.8913, 292.6165
402.3734, 306.2448
402.8555, 318.9464
403.3376, 330.2325
403.8197, 339.5005
404.3018, 348.1580
404.7840, 357.9020
405.2661, 369.3975
405.7482, 379.3369
406.2303, 386.5508
406.7124, 391.9905
407.1945, 399.8836
407.6767, 410.4631
408.1588, 422.4722
408.6409, 434.7385
409.1230, 447.2881
409.6051, 461.9157
410.0872, 478.7256
410.5694, 498.0225
411.0515, 520.4236
411.5336, 545.7891
412.0157, 572.5754
412.4978, 601.1815
412.9799, 630.4187
413.4621, 659.5427
413.9442, 688.7111
414.4263, 713.3683
414.9084, 731.8799
415.3905, 743.2197
415.8727, 745.8147
416.3548, 738.1074
416.8369, 723.3905
417.3190, 703.8572
417.8011, 679.5984
418.2832, 650.3666
418.7654, 613.8232
419.2475, 574.0131
419.7296, 532.9769
420.2117, 489.8431
420.6938, 450.0790
421.1759, 415.6584
421.6581, 385.8342
422.1402, 359.4187
422.6223, 337.0977
423.1044, 317.4820
423.5865, 300.4655
424.0686, 286.0981
424.5508, 274.2302
