##NAMES=Ktenasite
##RRUFFID=R070081
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Amot, Modum, Norway
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Radial aggregates of bluish green tabular crystals, associated with colorless tabular gypsum crystals.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070081
334.8314, 4.156311
335.3135, 8.590759
335.7956, 13.02734
336.2777, 13.41345
336.7598, 7.742126
337.2419, 5.586121
337.7241, 9.112976
338.2062, 15.73749
338.6883, 17.83032
339.1704, 14.67090
339.6525, 9.788879
340.1346, 3.577087
340.6168, 4.328735
341.0989, 6.841187
341.5810, 2.747864
342.0631, 5.261719
342.5452, 14.13977
343.0273, 24.29163
343.5095, 29.82983
343.9916, 24.81610
344.4737, 11.34735
344.9558, 5.204346
345.4379, 7.463318
345.9200, 12.90924
346.4022, 15.59717
346.8843, 15.83087
347.3664, 15.75537
347.8485, 17.45795
348.3306, 18.98584
348.8127, 13.86841
349.2949, 1.820313
349.7770, 9.017212
350.2591, 10.00793
350.7412, 3.940430
351.2233, 2.612122
351.7054, 7.364624
352.1876, 11.96320
352.6697, 20.37256
353.1518, 31.76672
353.6339, 39.36310
354.1160, 35.95050
354.5981, 26.59949
355.0803, 17.33105
355.5624, 7.928284
356.0445, 1.538391
356.5266, 4.032776
357.0087, 12.26746
357.4908, 16.66547
357.9730, 7.287964
358.4551, 5.071289
358.9372, 12.00671
359.4193, 11.27209
359.9014, 7.789368
360.3835, 3.139526
360.8657, 2.499329
361.3478, 8.610962
361.8299, 18.93109
362.3120, 28.09521
362.7941, 32.92664
363.2762, 32.88727
363.7584, 29.15930
364.2405, 19.18475
364.7226, 6.746887
365.2047, 4.108521
365.6868, 14.26050
366.1689, 21.20245
366.6511, 24.58636
367.1332, 24.45325
367.6153, 20.28076
368.0974, 7.128113
368.5795, 6.937256
369.0616, 16.88318
369.5438, 23.43231
370.0259, 24.37170
370.5080, 14.95935
370.9901, 1.425964
371.4722, 5.987000
371.9543, 10.29590
372.4365, 26.05896
