##NAMES=Magnesioferrite
##RRUFFID=R070127
##IDEAL CHEMISTRY=MgFe^3+^_2_O_4_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black poorly formed octahedral crystals with deep red highlites, associated with hematite and calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070127
468.8609, 147.0736
469.3430, 138.5551
469.8252, 105.7969
470.3073, 91.90521
470.7894, 106.1572
471.2715, 133.3245
471.7536, 143.0980
472.2357, 133.6667
472.7179, 120.5845
473.2000, 107.5098
473.6821, 95.87433
474.1642, 92.68640
474.6463, 98.37280
475.1284, 106.8936
475.6106, 116.0125
476.0927, 123.6941
476.5748, 122.8629
477.0569, 108.4784
477.5390, 92.37177
478.0211, 92.11285
478.5033, 102.4523
478.9854, 106.5792
479.4675, 86.61853
479.9496, 62.22455
480.4317, 50.14600
480.9138, 53.04413
481.3960, 57.48163
481.8781, 54.65607
482.3602, 51.70776
482.8423, 55.95264
483.3244, 81.71875
483.8065, 99.99457
484.2887, 97.36670
484.7708, 79.67889
485.2529, 73.69202
485.7350, 88.22290
486.2171, 101.5500
486.6992, 104.6373
487.1814, 94.38715
487.6635, 83.87939
488.1456, 72.20972
488.6277, 61.44775
489.1098, 55.36084
489.5919, 55.35400
490.0741, 51.61670
490.5562, 39.03418
491.0383, 22.05615
491.5204, 18.15845
492.0026, 27.80408
492.4847, 40.50940
492.9668, 50.83228
493.4489, 58.35480
493.9310, 62.61255
494.4131, 63.86871
494.8953, 60.26697
495.3774, 45.81201
495.8595, 24.76813
496.3416, 6.912598
496.8237, 7.095642
497.3058, 14.03369
497.7880, 6.309326
498.2701, 13.64294
498.7522, 27.82257
499.2343, 23.98889
499.7164, 13.71411
500.1985, 3.878052
500.6807, 8.025024
501.1628, 12.09607
501.6449, 1.590454
502.1270, 22.31641
502.6091, 32.23022
503.0912, 24.96515
503.5734, 14.67450
504.0555, 2.342651
504.5376, 11.60144
505.0197, 19.33844
505.5018, 18.05292
505.9839, 15.64819
506.4661, 19.08002
506.9482, 29.51331
507.4303, 32.99646
507.9124, 26.14563
508.3945, 17.32037
508.8766, 24.04852
509.3588, 43.75757
509.8409, 54.60321
510.3230, 39.23364
510.8051, 12.84796
511.2872, 6.643677
511.7693, 19.27979
512.2515, 30.94012
512.7336, 22.79700
513.2157, 7.452393
513.6978, 0.2496340
514.1799, 6.853271
514.6620, 15.50525
515.1442, 22.24536
515.6263, 26.35461
516.1084, 26.62756
516.5905, 12.66260
517.0726, 4.505981
517.5547, 14.57178
518.0369, 43.69788
518.5190, 58.74609
519.0011, 51.77905
519.4832, 36.76587
519.9653, 20.04614
520.4474, 2.709839
520.9296, 16.15845
521.4117, 18.24316
521.8938, 12.86316
522.3759, 5.280640
522.8580, 5.289673
523.3401, 12.84021
523.8223, 14.58557
524.3044, 12.01013
524.7865, 11.87952
525.2686, 14.31567
525.7507, 12.41809
526.2328, 8.909546
526.7150, 37.00989
527.1971, 42.01819
527.6792, 13.53113
528.1613, 17.06995
528.6434, 21.56970
529.1255, 8.804932
529.6077, 5.515869
530.0898, 20.33386
530.5719, 30.38452
531.0540, 32.36792
531.5361, 26.66431
532.0182, 17.67993
532.5004, 3.318115
532.9825, 19.51318
533.4646, 20.43469
533.9467, 5.592651
534.4288, 22.62109
534.9109, 27.38904
535.3931, 25.25806
535.8752, 22.62317
536.3573, 17.87915
536.8394, 18.55591
537.3215, 29.55896
537.8036, 45.65137
538.2858, 44.69189
538.7679, 25.41394
539.2500, 6.650146
539.7321, 0.6928710
540.2142, 4.870850
540.6964, 10.41541
541.1785, 17.28101
541.6606, 25.22473
542.1427, 33.93848
542.6248, 43.49561
543.1069, 54.97681
543.5891, 76.11694
544.0712, 90.52051
544.5533, 78.50208
545.0354, 49.35706
545.5175, 31.30273
545.9996, 45.87439
546.4818, 64.74072
546.9639, 73.20105
547.4460, 67.18762
547.9281, 66.83728
548.4102, 80.80615
548.8923, 95.31616
549.3745, 99.12402
549.8566, 82.87280
550.3387, 79.72717
550.8208, 97.40466
551.3029, 125.8995
551.7850, 141.7812
552.2672, 144.0972
552.7493, 141.1305
553.2314, 131.2333
553.7135, 118.3129
554.1956, 121.4611
554.6777, 140.9009
555.1599, 163.8179
555.6420, 183.1207
556.1241, 198.9391
556.6062, 208.0123
557.0883, 206.5239
557.5704, 205.4186
558.0526, 213.6569
558.5347, 227.6288
559.0168, 242.3580
559.4989, 264.6398
559.9810, 280.3381
560.4631, 275.0712
560.9453, 251.8903
561.4274, 245.0245
561.9095, 275.3282
562.3916, 308.2924
562.8737, 328.7899
563.3558, 329.8202
563.8380, 344.6655
564.3201, 379.8967
564.8022, 419.1469
565.2843, 444.6245
565.7664, 455.9343
566.2485, 463.3593
566.7307, 466.2560
567.2128, 467.1067
567.6949, 474.5752
568.1770, 489.5438
568.6591, 505.9403
569.1412, 514.9045
569.6234, 522.6838
570.1055, 541.5873
570.5876, 572.9974
571.0697, 607.6826
571.5518, 643.2400
572.0339, 675.6733
572.5161, 700.5692
572.9982, 712.8589
573.4803, 725.5027
573.9624, 740.5552
574.4445, 759.5923
574.9266, 783.3369
575.4088, 818.9807
575.8909, 847.5989
576.3730, 864.1075
