##NAMES=Stibnite
##RRUFFID=R120137
##IDEAL CHEMISTRY=Sb_2_S_3_
##LOCALITY=Green Prospect, Churchill Co., Nevada, USA
##OWNER=RRUFF
##SOURCE=Benjamin N. Schumer
##DESCRIPTION=Lead-gray prismatic crystals on matrix of senarmontite, sulphur and selenium
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120137
421.5400, 5.2124001E-02
422.0222, 0.5277710
422.5043, 0.8201290
422.9864, 0.5461430
423.4685, 5.7739001E-02
423.9506, 0.5940550
424.4327, 1.529907
424.9149, 2.203003
425.3970, 2.233887
425.8791, 2.194763
426.3612, 2.711975
426.8433, 4.488770
427.3254, 5.607971
427.8076, 5.187317
428.2897, 3.658020
428.7718, 4.360718
429.2539, 8.145874
429.7360, 12.36560
430.2181, 15.21472
430.7003, 16.36261
431.1824, 18.25317
431.6645, 20.84998
432.1466, 24.48163
432.6287, 29.83698
433.1108, 36.89075
433.5930, 44.76617
434.0751, 53.45587
434.5572, 62.65607
435.0393, 71.34406
435.5214, 79.48871
436.0035, 87.69702
436.4857, 96.66968
436.9678, 105.9997
437.4499, 114.8794
437.9320, 123.0182
438.4141, 130.8622
438.8962, 138.5126
439.3784, 146.1980
439.8605, 154.5781
440.3426, 164.1711
440.8247, 174.6323
441.3068, 185.1559
441.7889, 195.3484
442.2711, 208.5182
442.7532, 227.6335
443.2353, 250.0286
443.7174, 272.9386
444.1995, 292.2173
444.6816, 315.4519
445.1638, 348.3766
445.6459, 388.1866
446.1280, 423.3995
446.6101, 447.2553
447.0922, 470.3869
447.5743, 497.8484
448.0565, 531.9250
448.5386, 564.5313
449.0207, 598.2766
449.5028, 628.8256
449.9849, 650.6205
450.4670, 665.5588
450.9492, 668.1486
451.4313, 656.9882
451.9134, 632.4851
452.3955, 595.1581
452.8776, 543.4504
453.3597, 486.9723
453.8419, 429.4611
454.3240, 371.5874
454.8061, 322.1176
455.2882, 282.8944
455.7703, 250.4836
456.2524, 220.8739
456.7346, 193.8746
457.2167, 171.0075
457.6988, 153.2963
458.1809, 139.4648
458.6630, 127.4048
459.1451, 117.1631
459.6273, 107.9394
460.1094, 99.50195
460.5915, 91.70355
461.0736, 84.33984
461.5557, 77.15082
462.0378, 70.69391
462.5200, 65.75189
463.0021, 61.74609
463.4842, 57.64545
463.9663, 52.17645
464.4484, 47.26624
464.9305, 44.42603
465.4127, 43.87549
465.8948, 42.35895
466.3769, 38.08923
466.8590, 33.31555
467.3411, 29.67926
467.8232, 28.17682
468.3054, 26.55334
468.7875, 24.51825
469.2696, 22.36218
469.7517, 20.86639
470.2338, 20.43036
470.7159, 19.90723
