##NAMES=Cafetite
##RRUFFID=R060872
##IDEAL CHEMISTRY=CaTi_2_O_5_&#183;H_2_O
##LOCALITY=Magnet Cove, Arkansas, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale brown colored pseudohexagonal plates, associated with pectolite and albite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060872
366.9202, 129.0540
367.4023, 120.2815
367.8844, 67.97412
368.3665, 24.76123
368.8487, 4.179688
369.3308, 23.60498
369.8129, 40.09668
370.2950, 52.07642
370.7771, 62.96704
371.2592, 73.53955
371.7414, 83.68140
372.2235, 93.79468
372.7056, 105.6934
373.1877, 116.1021
373.6698, 121.6619
374.1519, 122.4900
374.6341, 117.7344
375.1162, 103.3137
375.5983, 81.78882
376.0804, 77.90112
376.5625, 98.27222
377.0446, 120.2334
377.5267, 123.6868
378.0089, 106.2568
378.4910, 95.02490
378.9731, 96.73242
379.4552, 103.1055
379.9373, 91.07153
380.4194, 59.24072
380.9016, 26.98169
381.3837, 2.420898
381.8658, 13.88403
382.3479, 15.69092
382.8300, 0.6472170
383.3121, 20.05151
383.7943, 24.66846
384.2764, 15.00854
384.7585, 6.794678
385.2406, 53.07593
385.7227, 107.3247
386.2048, 134.3110
386.6870, 132.5522
387.1691, 126.5745
387.6512, 135.9780
388.1333, 156.2019
388.6154, 179.7856
389.0975, 207.6799
389.5797, 234.4924
390.0618, 250.0835
390.5439, 257.4998
391.0260, 274.5752
391.5081, 328.9363
391.9902, 388.7114
392.4724, 424.4248
392.9545, 413.7468
393.4366, 403.3667
393.9187, 414.7468
394.4008, 441.7129
394.8829, 469.7329
395.3651, 494.1606
395.8472, 518.5454
396.3293, 544.2734
396.8114, 571.1360
397.2935, 600.3770
397.7756, 632.6321
398.2578, 666.3872
398.7399, 700.5432
399.2220, 744.0994
399.7041, 778.6375
400.1862, 794.5496
400.6683, 789.7573
401.1505, 804.4023
401.6326, 849.7607
402.1147, 904.2327
402.5968, 951.5249
403.0789, 985.9739
403.5610, 1023.494
404.0432, 1066.844
404.5253, 1114.587
405.0074, 1159.427
405.4895, 1198.449
405.9716, 1243.009
406.4537, 1303.871
406.9359, 1383.299
407.4180, 1448.053
407.9001, 1493.106
408.3822, 1529.907
408.8643, 1575.356
409.3464, 1629.438
409.8285, 1693.099
410.3106, 1772.390
410.7928, 1861.057
411.2749, 1936.972
411.7570, 1999.312
412.2391, 2062.072
412.7212, 2140.632
413.2033, 2231.492
413.6855, 2324.851
414.1676, 2422.844
414.6497, 2516.526
415.1318, 2588.341
415.6139, 2642.666
416.0960, 2699.181
416.5782, 2774.184
417.0603, 2856.795
417.5424, 2935.323
418.0245, 3007.464
418.5066, 3075.274
418.9887, 3146.049
419.4709, 3212.939
419.9530, 3264.840
420.4351, 3275.701
420.9172, 3288.352
421.3993, 3330.257
421.8814, 3409.271
422.3636, 3468.636
422.8457, 3487.150
423.3278, 3484.829
423.8099, 3479.297
424.2920, 3480.736
424.7741, 3469.807
425.2563, 3436.687
425.7384, 3385.255
426.2205, 3346.317
426.7026, 3325.280
427.1847, 3307.676
427.6668, 3287.187
428.1490, 3265.538
428.6311, 3237.720
429.1132, 3204.076
429.5953, 3163.260
430.0774, 3111.267
430.5595, 3045.220
431.0417, 2978.464
431.5238, 2913.515
432.0059, 2851.551
432.4880, 2808.822
432.9701, 2789.405
433.4522, 2775.135
433.9344, 2741.564
434.4165, 2690.849
434.8986, 2647.319
435.3807, 2618.265
435.8628, 2601.994
436.3449, 2598.851
436.8271, 2605.908
437.3092, 2606.831
437.7913, 2586.135
438.2734, 2556.896
438.7555, 2535.507
439.2376, 2523.303
439.7197, 2519.267
440.2018, 2522.607
440.6840, 2531.945
441.1661, 2546.257
441.6482, 2588.205
442.1303, 2618.647
442.6124, 2606.359
443.0945, 2550.461
443.5767, 2499.936
444.0588, 2476.417
444.5409, 2463.145
445.0230, 2447.529
445.5051, 2421.859
445.9872, 2399.922
446.4694, 2386.769
446.9515, 2379.364
447.4336, 2368.045
447.9157, 2351.719
448.3978, 2332.504
448.8799, 2311.432
449.3621, 2288.598
449.8442, 2262.796
450.3263, 2234.360
450.8084, 2202.744
451.2905, 2167.772
451.7726, 2130.586
452.2548, 2085.594
452.7369, 2025.352
453.2190, 1956.946
453.7011, 1916.261
454.1832, 1907.551
454.6653, 1901.815
455.1475, 1875.686
455.6296, 1832.862
456.1117, 1794.780
456.5938, 1764.947
457.0759, 1738.428
457.5580, 1711.580
458.0402, 1683.422
458.5223, 1650.232
459.0044, 1604.090
459.4865, 1554.860
459.9686, 1512.117
460.4507, 1476.550
460.9329, 1449.669
461.4150, 1441.642
461.8971, 1440.071
462.3792, 1431.227
462.8613, 1409.060
463.3434, 1382.004
463.8256, 1347.316
464.3077, 1310.241
464.7898, 1284.507
465.2719, 1292.382
465.7540, 1297.819
466.2361, 1281.161
466.7183, 1229.689
467.2004, 1193.667
467.6825, 1189.414
468.1646, 1195.334
468.6467, 1189.805
469.1288, 1164.461
469.6110, 1141.073
470.0930, 1123.037
470.5752, 1109.573
471.0573, 1094.906
471.5394, 1077.187
472.0215, 1062.723
472.5036, 1057.534
472.9857, 1062.489
473.4679, 1060.849
473.9500, 1050.796
474.4321, 1037.028
474.9142, 1025.347
475.3963, 1015.836
475.8784, 1009.039
476.3606, 1005.098
476.8427, 1003.660
477.3248, 1005.998
477.8069, 1012.463
478.2890, 1020.629
478.7711, 1028.921
479.2533, 1034.478
479.7354, 1033.265
480.2175, 1025.117
480.6996, 1017.213
481.1817, 1010.069
481.6638, 1005.031
482.1460, 1006.083
482.6281, 1022.774
483.1102, 1040.360
483.5923, 1055.563
484.0744, 1067.885
484.5565, 1063.736
485.0387, 1013.548
485.5208, 962.4033
486.0029, 944.8958
486.4850, 1008.665
486.9671, 1038.884
487.4492, 1014.809
487.9314, 957.0398
488.4135, 920.8433
488.8956, 916.0352
489.3777, 913.4028
489.8598, 900.5933
490.3419, 877.3169
490.8241, 862.5479
491.3062, 858.7705
491.7883, 854.5842
492.2704, 835.4377
492.7525, 803.9373
493.2346, 780.5852
493.7168, 772.5222
494.1989, 770.7227
494.6810, 760.2673
495.1631, 742.9133
495.6452, 726.6870
496.1273, 719.3870
496.6095, 714.4336
497.0916, 703.7673
497.5737, 686.5703
498.0558, 666.5439
498.5379, 643.2773
499.0201, 618.9993
499.5022, 597.4399
499.9843, 579.8071
500.4664, 567.0513
500.9485, 565.0266
501.4306, 567.0601
501.9127, 556.1626
502.3948, 516.0554
502.8770, 477.2859
503.3591, 452.4883
503.8412, 443.2229
504.3233, 436.8718
504.8054, 439.4768
505.2875, 440.9810
505.7697, 427.8074
506.2518, 391.7397
506.7339, 366.3340
507.2160, 360.3711
507.6981, 367.6821
508.1802, 368.1580
508.6624, 361.5010
509.1445, 352.0220
509.6266, 342.9851
510.1087, 333.4966
510.5908, 317.3733
511.0729, 293.1133
511.5551, 270.9893
512.0372, 265.5466
512.5193, 270.4153
513.0014, 271.3303
513.4835, 261.3743
513.9656, 248.0063
514.4478, 235.3477
514.9299, 224.0225
515.4120, 216.3774
515.8941, 218.5283
516.3762, 220.9517
516.8583, 216.8171
517.3405, 203.2593
517.8226, 191.5564
518.3047, 189.3052
518.7868, 187.7170
519.2689, 177.2571
519.7510, 146.0854
520.2332, 121.5342
520.7153, 108.3855
521.1974, 104.2588
521.6795, 101.3162
522.1616, 100.9800
522.6437, 98.58301
523.1259, 90.80200
523.6080, 77.31934
524.0901, 67.73193
524.5722, 62.53271
525.0543, 59.40991
525.5364, 55.48022
526.0186, 51.07153
526.5007, 48.28809
526.9828, 48.79297
527.4649, 49.56006
527.9470, 44.82349
528.4291, 36.21484
528.9113, 29.51978
529.3934, 29.06665
529.8755, 31.45361
530.3576, 35.55688
530.8397, 41.64917
531.3218, 42.68433
531.8040, 32.00513
532.2861, 16.27734
532.7682, 1.992432
533.2503, 12.62280
533.7324, 22.35400
534.2145, 21.30249
534.6967, 14.74731
535.1788, 17.82153
535.6609, 43.36328
536.1430, 59.64282
536.6251, 50.71411
537.1072, 14.68286
537.5894, 4.915039
538.0715, 29.47461
538.5536, 60.02051
539.0357, 69.34717
539.5178, 58.14185
539.9999, 51.10913
540.4821, 53.40186
540.9642, 57.61621
541.4463, 50.55737
541.9284, 34.70605
542.4105, 20.77759
542.8926, 13.99927
543.3748, 11.87964
543.8569, 12.67139
544.3390, 16.15063
544.8211, 19.95947
545.3032, 22.61157
545.7853, 25.13135
546.2675, 28.69849
546.7495, 34.79834
547.2316, 39.01611
547.7137, 40.84839
548.1959, 39.84229
548.6780, 35.28467
549.1601, 19.98926
549.6422, 9.847656
550.1243, 9.447998
550.6064, 17.21167
551.0886, 20.84326
551.5707, 18.48926
552.0528, 15.98950
552.5349, 16.90869
553.0170, 21.40210
553.4991, 25.21729
553.9813, 28.28369
554.4634, 30.70996
554.9455, 33.61206
555.4276, 36.28931
555.9097, 34.89111
556.3918, 25.28345
556.8740, 15.41821
557.3561, 20.15918
557.8382, 34.10474
558.3203, 39.37817
558.8024, 12.88257
559.2845, 16.18994
559.7667, 23.11011
560.2488, 4.071289
560.7309, 8.279297
561.2130, 2.746582
561.6951, 21.36816
562.1772, 35.61816
562.6594, 42.26123
563.1415, 46.43921
563.6236, 44.08521
564.1057, 40.71216
564.5878, 48.53564
565.0699, 72.95728
565.5521, 94.06836
566.0342, 105.5183
566.5163, 108.5105
566.9984, 110.8303
567.4805, 112.3599
567.9626, 114.0095
568.4448, 116.6157
568.9269, 119.9119
569.4090, 122.0591
569.8911, 122.0498
570.3732, 125.5071
570.8553, 142.6431
571.3375, 166.5752
571.8196, 184.3547
572.3017, 186.2617
572.7838, 186.7583
573.2659, 192.4260
573.7480, 202.8850
574.2302, 217.2083
574.7123, 238.8682
575.1944, 260.8894
575.6765, 280.3076
576.1586, 296.5713
576.6407, 313.1892
577.1229, 332.8535
577.6050, 350.3789
578.0871, 359.9373
578.5692, 357.7136
579.0513, 364.3806
579.5334, 383.9216
580.0156, 409.8569
580.4977, 428.5361
580.9798, 440.6843
581.4619, 460.2048
581.9440, 499.0325
582.4261, 544.3640
582.9083, 568.8293
