##NAMES=Walpurgite
##RRUFFID=R050573
##IDEAL CHEMISTRY=Bi^3+^_4_O_4_(U^6+^O_2_)(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow thin tabular crystals associated with metazeunerite, R060301
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050573
611.7869, 2.297685
612.2690, 1.996187
612.7511, 1.916409
613.2332, 2.100608
613.7153, 2.554865
614.1974, 3.072421
614.6796, 3.355542
615.1617, 3.390410
615.6438, 3.485331
616.1259, 3.761943
616.6080, 3.924900
617.0901, 3.623605
617.5723, 3.152790
618.0544, 2.980257
618.5365, 3.297759
619.0186, 3.559853
619.5007, 3.355882
619.9828, 2.925557
620.4650, 2.620754
620.9471, 2.499606
621.4292, 2.478063
621.9113, 2.542189
622.3934, 2.629461
622.8755, 2.527843
623.3577, 1.888535
623.8398, 1.577981
624.3219, 1.993299
624.8040, 2.429615
625.2861, 2.296954
625.7682, 1.730356
626.2504, 1.232789
626.7325, 1.108312
627.2145, 1.234669
627.6967, 1.506582
628.1788, 1.967328
628.6609, 1.969373
629.1430, 1.134789
629.6251, 0.2360640
630.1072, 0.1103340
630.5894, 0.5518780
631.0715, 0.7992550
631.5536, 0.4420040
632.0357, 0.1477250
632.5178, 0.3332920
632.9999, 0.7619680
633.4821, 1.150760
633.9642, 1.424103
634.4463, 1.528147
634.9284, 1.386250
635.4105, 1.017392
635.8926, 0.8067880
636.3748, 0.8114320
636.8569, 0.8809700
637.3390, 1.081622
637.8211, 1.264992
638.3032, 1.302406
638.7853, 1.174549
639.2675, 1.021566
639.7496, 0.9166840
640.2317, 0.8177290
640.7138, 0.5697940
641.1959, 0.2284320
641.6780, 0.1285040
642.1602, 0.4847970
642.6423, 0.9878760
643.1244, 1.201239
643.6065, 1.024280
644.0886, 0.8442560
