##NAMES=Vesuvianite
##RRUFFID=R060902
##IDEAL CHEMISTRY=(Ca,Na)_19_(Al,Mg,Fe)_13_(SiO_4_)_10_(Si_2_O_7_)_4_(OH,F,O)_10_
##LOCALITY=Jeffrey mine, Asbestos, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple equant, doubly terminated prismatic single crystals.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060902
403.2926, 4556.624
403.7747, 4743.640
404.2569, 4917.900
404.7390, 5049.735
405.2211, 5131.198
405.7032, 5198.736
406.1853, 5284.101
406.6674, 5389.579
407.1496, 5421.884
407.6317, 5372.160
408.1138, 5271.815
408.5959, 5154.158
409.0780, 5019.011
409.5602, 4871.474
410.0423, 4716.634
410.5244, 4552.166
411.0065, 4371.480
411.4886, 4173.429
411.9707, 3973.659
412.4529, 3778.517
412.9350, 3588.643
413.4171, 3412.205
413.8992, 3248.251
414.3813, 3097.228
414.8634, 2962.779
415.3456, 2841.078
415.8277, 2719.476
416.3098, 2585.651
416.7919, 2449.738
417.2740, 2317.017
417.7561, 2188.854
418.2382, 2070.916
418.7203, 1972.409
419.2025, 1886.278
419.6846, 1802.751
420.1667, 1722.660
420.6488, 1639.899
421.1309, 1544.562
421.6130, 1434.286
422.0952, 1342.617
422.5773, 1292.821
423.0594, 1257.321
423.5415, 1210.954
424.0236, 1135.772
424.5057, 1068.299
424.9879, 1016.518
425.4700, 978.4429
425.9521, 934.2544
426.4342, 878.2437
426.9163, 823.3774
427.3984, 778.0164
427.8806, 747.1343
428.3627, 710.1445
428.8448, 663.7175
429.3269, 612.9919
429.8090, 569.8992
430.2911, 536.7205
430.7733, 500.7061
431.2554, 454.7888
431.7375, 400.1450
432.2196, 348.2891
432.7017, 298.5642
433.1838, 255.5281
433.6660, 230.1545
434.1481, 218.8733
434.6302, 201.1228
435.1123, 167.6787
435.5944, 126.9871
436.0765, 91.64966
436.5587, 61.78149
437.0408, 38.34595
437.5229, 24.45752
438.0050, 16.91943
438.4871, 12.13086
438.9692, 10.74341
439.4514, 8.529785
439.9335, 0.4526370
440.4156, 12.69556
440.8977, 20.79761
441.3798, 12.53052
441.8619, 5.844482
442.3441, 14.61133
442.8262, 42.27246
443.3083, 63.69165
443.7904, 64.99756
444.2725, 58.43701
444.7546, 55.56104
445.2368, 65.30273
445.7189, 71.38794
446.2010, 67.68164
446.6831, 55.95288
447.1652, 50.97754
447.6473, 63.44629
448.1295, 72.07788
448.6116, 64.35303
449.0937, 25.30200
449.5758, 4.917725
450.0579, 12.13281
450.5400, 31.15088
451.0221, 30.75244
451.5042, 5.271973
451.9864, 18.01245
452.4685, 27.91479
452.9506, 25.89453
453.4327, 30.08960
453.9148, 41.57959
454.3969, 53.61377
454.8791, 59.57422
455.3612, 60.08643
455.8433, 58.82568
456.3254, 57.67603
456.8075, 53.78198
457.2896, 37.40186
457.7718, 11.49976
458.2539, 6.482666
458.7360, 1.632568
459.2181, 20.81909
459.7002, 30.79492
460.1823, 27.54370
460.6645, 24.02612
461.1466, 30.77905
461.6287, 42.91870
462.1108, 53.05103
462.5929, 58.68555
463.0750, 61.56641
463.5572, 62.44409
464.0393, 61.32568
