##NAMES=Opal
##RRUFFID=X070002
##IDEAL CHEMISTRY=SiO_2_&#183;nH_2_O
##LOCALITY=Synthetic
##OWNER=Taka Yamanaka
##SOURCE=Taka Yamanaka
##DESCRIPTION=White polished cab, Raman spectra matches Polymethyl methacrylate (plexiglas)
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X070002
478.4655, 596.8516
478.9477, 612.1572
479.4298, 621.0400
479.9119, 620.0166
480.3940, 615.1147
480.8761, 606.8027
481.3582, 597.2861
481.8404, 592.6479
482.3225, 601.7134
482.8046, 610.6045
483.2867, 612.4971
483.7688, 604.5015
484.2509, 596.7173
484.7331, 594.1465
485.2152, 590.2095
485.6973, 577.8228
486.1794, 548.9746
486.6615, 525.4653
487.1436, 511.6416
487.6258, 505.4204
488.1079, 497.4766
488.5900, 488.3125
489.0721, 476.1187
489.5542, 458.0737
490.0363, 434.0049
490.5185, 416.3755
491.0006, 407.5513
491.4827, 398.8701
491.9648, 377.4775
492.4470, 345.5298
492.9291, 314.5903
493.4112, 286.3652
493.8933, 263.9033
494.3754, 258.2568
494.8575, 266.3716
495.3397, 269.4727
495.8218, 247.3164
496.3039, 217.3936
496.7860, 200.9502
497.2681, 204.8066
497.7502, 206.3965
498.2324, 185.0918
498.7145, 156.6680
499.1966, 142.1504
499.6787, 169.4951
500.1608, 189.9385
500.6429, 182.7124
501.1251, 149.8325
501.6072, 128.2305
502.0893, 129.4048
502.5714, 134.1807
503.0535, 133.8208
503.5356, 126.6348
504.0178, 118.3604
504.4999, 109.0259
504.9820, 98.64453
505.4641, 86.02979
505.9462, 70.12988
506.4283, 57.87207
506.9105, 52.54443
507.3926, 52.19043
507.8747, 49.72607
508.3568, 45.14453
508.8389, 37.96680
509.3210, 22.16650
509.8032, 3.382813
510.2853, 0.8017580
510.7674, 14.37012
511.2495, 33.13037
511.7316, 43.38916
512.2137, 45.07471
512.6959, 38.05859
513.1780, 10.38623
513.6601, 16.09229
514.1422, 26.26367
514.6243, 21.67480
515.1064, 13.96338
515.5886, 2.512207
516.0707, 7.069824
516.5528, 11.08203
517.0349, 7.147461
517.5170, 1.724609
517.9991, 5.406250
518.4813, 13.35742
518.9634, 20.92188
