##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTiO_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
385.9860, 43.15472
386.4681, 42.88324
386.9502, 43.29889
387.4323, 44.07184
387.9144, 43.78485
388.3965, 41.42053
388.8787, 38.15106
389.3608, 37.29608
389.8429, 39.99780
390.3250, 42.16669
390.8071, 42.62366
391.2892, 42.27136
391.7714, 42.30383
392.2535, 42.96765
392.7356, 43.38171
393.2177, 42.32916
393.6998, 39.22290
394.1819, 37.69025
394.6641, 38.45789
395.1462, 39.97229
395.6283, 42.20325
396.1104, 44.55286
396.5925, 45.49213
397.0746, 43.83667
397.5568, 40.21655
398.0389, 38.02130
398.5210, 38.54425
399.0031, 39.02173
399.4852, 39.23962
399.9673, 39.22485
400.4495, 38.90521
400.9316, 38.29816
401.4137, 37.67218
401.8958, 37.49420
402.3779, 38.09656
402.8600, 38.23584
403.3422, 37.71277
403.8243, 36.95886
404.3064, 35.99091
404.7885, 34.96039
405.2706, 34.14441
405.7527, 33.72467
406.2349, 33.68323
406.7170, 34.09320
407.1991, 35.58362
407.6812, 36.62933
408.1633, 36.79938
408.6454, 36.42810
409.1276, 35.81299
409.6097, 35.06726
410.0918, 34.33368
410.5739, 33.73022
411.0560, 33.19977
411.5381, 33.00543
412.0203, 33.66736
412.5024, 34.36969
412.9845, 34.82812
413.4666, 34.97034
413.9487, 34.61658
414.4308, 33.18713
414.9130, 31.03156
415.3951, 29.76123
415.8772, 29.75269
416.3593, 29.98309
416.8414, 30.00537
417.3235, 29.78400
417.8057, 29.24738
418.2878, 28.28094
418.7699, 27.34863
419.2520, 27.10175
419.7341, 27.47491
420.2162, 27.27271
420.6984, 25.69513
421.1805, 23.73895
421.6626, 22.87708
422.1447, 23.13928
422.6268, 23.53760
423.1089, 23.56653
423.5911, 23.47040
424.0732, 23.68933
424.5553, 24.27032
425.0374, 24.74866
425.5195, 24.90485
426.0016, 24.69202
426.4838, 23.95929
426.9659, 22.49731
427.4480, 20.74530
427.9301, 18.50867
428.4122, 16.16949
428.8943, 14.63641
429.3765, 14.28247
429.8586, 14.60150
430.3407, 14.69135
430.8228, 14.25739
431.3049, 14.17883
431.7870, 14.83392
