##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
349.9915, 46.63953
350.4737, 53.70056
350.9558, 61.53760
351.4379, 69.08093
351.9200, 76.38818
352.4021, 84.29370
352.8842, 93.48962
353.3664, 103.9054
353.8485, 115.5658
354.3306, 129.6285
354.8127, 144.1075
355.2948, 156.1248
355.7769, 166.0162
356.2591, 175.4851
356.7412, 186.1262
357.2233, 196.8198
357.7054, 206.5098
358.1875, 215.1472
358.6696, 222.2469
359.1518, 227.7333
359.6339, 231.4061
360.1160, 232.6664
360.5981, 229.6533
361.0802, 225.1837
361.5623, 221.4266
362.0445, 219.1134
362.5266, 215.2405
363.0087, 206.8264
363.4908, 196.6122
363.9729, 188.1244
364.4550, 182.5813
364.9372, 178.7061
365.4193, 176.7684
365.9014, 176.7826
366.3835, 175.9615
366.8656, 172.3474
367.3477, 168.5079
367.8299, 166.2516
368.3120, 166.5339
368.7941, 167.5312
369.2762, 169.1812
369.7583, 171.4541
370.2404, 174.2549
370.7226, 179.1877
371.2047, 183.0603
371.6868, 184.1891
372.1689, 179.9276
372.6510, 179.2676
373.1331, 184.3579
373.6153, 191.8704
374.0974, 196.1459
374.5795, 195.5093
375.0616, 194.9818
375.5437, 196.0734
376.0258, 198.8118
376.5080, 201.1770
376.9901, 202.8367
377.4722, 204.7340
377.9543, 208.1042
378.4364, 213.1941
378.9185, 217.7625
379.4007, 221.3547
379.8828, 224.0657
380.3649, 225.6748
380.8470, 225.9843
381.3291, 226.6973
381.8112, 229.7554
382.2934, 234.6478
382.7755, 237.1417
383.2576, 236.5312
383.7397, 234.5343
384.2218, 233.3975
384.7039, 232.9966
385.1861, 232.6578
385.6682, 232.1154
386.1503, 231.4210
386.6324, 230.7861
387.1145, 230.2213
387.5966, 229.2395
388.0788, 227.3989
388.5609, 224.8407
389.0430, 221.8037
389.5251, 218.1769
390.0072, 214.2596
390.4893, 210.6255
390.9715, 207.0530
391.4536, 202.5121
391.9357, 195.8126
392.4178, 188.3190
392.8999, 181.0082
393.3820, 173.7755
393.8642, 167.4332
394.3463, 163.1322
394.8284, 159.8354
395.3105, 155.9948
395.7926, 151.3625
396.2747, 145.8899
396.7569, 139.2727
397.2390, 131.4668
397.7211, 123.9800
398.2032, 117.2498
398.6853, 110.8402
399.1674, 104.5015
399.6496, 98.23291
400.1317, 91.89673
400.6138, 85.06360
401.0959, 78.05310
401.5780, 72.04688
402.0602, 67.61682
402.5423, 63.43970
403.0244, 59.02283
403.5065, 54.18726
403.9886, 49.59448
404.4707, 45.24451
404.9529, 41.13501
405.4350, 37.32361
405.9171, 33.92810
406.3992, 30.38501
406.8813, 26.20117
407.3634, 21.68335
407.8456, 18.83875
408.3277, 17.90112
408.8098, 17.69592
409.2919, 17.62769
409.7740, 17.65125
410.2561, 16.80127
410.7383, 14.73181
411.2204, 12.14465
411.7025, 9.588379
412.1846, 7.214844
412.6667, 6.292969
413.1488, 8.412720
413.6310, 12.28625
414.1131, 15.14111
414.5952, 16.82568
415.0773, 18.53796
415.5594, 21.69067
416.0415, 25.58655
416.5237, 28.99890
417.0058, 31.00403
417.4879, 32.89685
417.9700, 36.02795
418.4521, 40.06616
418.9342, 43.74329
419.4164, 45.55835
419.8985, 47.24231
420.3806, 50.08801
420.8627, 54.46960
421.3448, 59.43872
421.8269, 65.34070
422.3091, 71.43701
422.7912, 76.73816
423.2733, 79.98254
423.7554, 83.38452
424.2375, 87.89270
424.7196, 93.52954
425.2018, 98.54028
425.6839, 101.4614
426.1660, 104.6477
426.6481, 109.6062
427.1302, 117.9596
427.6123, 125.3381
428.0945, 131.0725
428.5766, 136.0269
429.0587, 142.3059
429.5408, 150.3809
430.0229, 158.8479
430.5050, 167.3322
430.9872, 175.8016
431.4693, 182.8860
431.9514, 188.2719
432.4335, 193.1506
432.9156, 199.1462
433.3977, 206.0903
433.8799, 212.8148
434.3620, 218.6586
434.8441, 224.4889
435.3262, 232.7449
435.8083, 243.3352
436.2904, 253.4835
436.7726, 261.3342
437.2547, 267.2188
437.7368, 272.0771
438.2189, 275.9292
