##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=YW_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
251.9081, 236.7383
252.3902, 197.5352
252.8724, 151.2383
253.3545, 171.0898
253.8366, 300.6523
254.3187, 433.6523
254.8008, 496.7227
255.2829, 463.3984
255.7651, 419.9961
256.2472, 365.2734
256.7293, 304.8828
257.2114, 281.3750
257.6935, 310.3789
258.1756, 355.8984
258.6577, 392.0898
259.1399, 419.3281
259.6220, 434.9062
260.1041, 433.9258
260.5862, 417.9297
261.0683, 407.4023
261.5504, 397.9180
262.0326, 400.7070
262.5147, 427.5508
262.9968, 484.5938
263.4789, 547.4922
263.9610, 621.2383
264.4431, 701.0234
264.9253, 736.7930
265.4074, 714.4688
265.8895, 674.1562
266.3716, 642.0156
266.8537, 611.2930
267.3358, 615.6797
267.8180, 677.1992
268.3001, 783.5234
268.7822, 836.3672
269.2643, 812.4883
269.7464, 779.5156
270.2285, 807.4531
270.7107, 917.8516
271.1928, 991.2266
271.6749, 996.9336
272.1570, 945.3125
272.6391, 903.4375
273.1212, 870.1914
273.6034, 849.4258
274.0855, 854.1836
274.5676, 892.5703
275.0497, 903.4375
275.5318, 869.1992
276.0139, 797.1797
276.4961, 726.5430
276.9782, 654.6133
277.4603, 592.2891
277.9424, 552.2422
278.4245, 535.9219
278.9066, 524.9570
279.3888, 521.9531
279.8709, 520.9336
280.3530, 482.9883
280.8351, 398.7383
281.3172, 315.7461
281.7993, 293.1484
282.2815, 332.0000
282.7636, 333.4961
283.2457, 258.0703
283.7278, 134.6367
284.2099, 75.16797
284.6920, 86.97656
285.1741, 117.0078
285.6563, 108.7227
286.1384, 66.49609
286.6205, 54.21875
287.1026, 99.84766
287.5847, 177.9141
288.0668, 212.7461
288.5490, 201.8125
289.0311, 178.1016
289.5132, 166.1953
289.9953, 165.0820
290.4774, 175.5469
290.9595, 208.0547
291.4417, 244.3242
291.9238, 234.2539
292.4059, 177.0742
292.8880, 117.5664
293.3701, 93.10547
293.8522, 97.72266
294.3344, 109.4336
294.8165, 125.8906
295.2986, 144.6953
295.7807, 157.6953
296.2628, 165.8281
296.7449, 179.8555
297.2271, 229.7031
297.7092, 291.7148
298.1913, 302.8984
298.6734, 220.5977
299.1555, 114.2461
299.6376, 87.29297
300.1198, 130.3438
300.6019, 182.9297
301.0840, 204.2695
301.5661, 206.7695
302.0482, 207.6250
302.5303, 208.8359
303.0125, 210.9531
303.4946, 217.6914
303.9767, 228.0703
304.4588, 238.8125
304.9409, 238.8125
305.4230, 239.8555
305.9052, 264.3867
306.3873, 336.6094
306.8694, 396.7305
307.3515, 388.2969
307.8336, 322.4062
308.3157, 235.8086
308.7979, 106.6484
309.2800, 12.77734
309.7621, 62.39453
310.2442, 3.054688
310.7263, 67.45312
311.2084, 83.72656
311.6906, 61.76562
312.1727, 44.85547
312.6548, 71.90625
313.1369, 101.9688
313.6190, 99.39062
314.1011, 47.07422
314.5833, 8.816406
315.0654, 53.54297
315.5475, 86.18359
316.0296, 104.8438
316.5117, 113.1367
316.9938, 104.1094
317.4760, 66.96094
317.9580, 13.18750
318.4402, 79.05078
318.9223, 113.5156
319.4044, 122.1211
319.8865, 112.2695
320.3686, 58.93750
320.8507, 10.01172
321.3329, 14.57422
321.8150, 9.410156
322.2971, 7.566406
322.7792, 42.43750
323.2613, 84.94922
323.7434, 121.0039
324.2256, 155.8164
324.7077, 177.0039
325.1898, 175.4180
325.6719, 140.8945
326.1540, 124.3867
326.6361, 145.5664
327.1183, 179.5156
327.6004, 198.6133
328.0825, 190.6953
328.5646, 180.9688
329.0467, 169.8320
329.5288, 155.5859
330.0110, 158.0000
330.4931, 185.9141
330.9752, 224.8281
331.4573, 260.7891
331.9394, 295.3633
332.4215, 325.4102
332.9037, 351.6367
333.3858, 373.5898
333.8679, 385.0391
334.3500, 380.1758
334.8321, 372.7656
335.3142, 379.0625
335.7964, 413.5078
336.2785, 420.5234
336.7606, 384.7227
337.2427, 314.0234
337.7248, 249.6289
338.2069, 182.1562
338.6891, 143.7461
339.1712, 175.1016
339.6533, 289.9023
340.1354, 364.6523
340.6175, 372.6172
341.0996, 337.7656
341.5818, 331.3906
342.0639, 358.7266
342.5460, 380.0938
343.0281, 362.3555
343.5102, 308.4414
343.9923, 272.1719
344.4745, 261.3125
344.9566, 266.1523
345.4387, 271.9023
345.9208, 277.8242
346.4029, 280.3086
346.8850, 274.4766
347.3672, 262.8945
347.8493, 252.1016
348.3314, 241.5312
348.8135, 235.3594
349.2956, 240.7578
349.7777, 255.3828
350.2599, 270.8984
350.7419, 287.7656
351.2241, 301.9531
351.7062, 303.4844
352.1883, 290.4023
352.6704, 279.8516
353.1525, 279.1836
353.6346, 292.4375
354.1168, 328.6211
354.5989, 428.1992
355.0810, 530.2617
355.5631, 564.7969
356.0452, 531.4219
356.5273, 497.0547
357.0095, 496.0859
357.4916, 523.0195
357.9737, 570.1914
358.4558, 677.4805
358.9379, 768.2461
359.4200, 792.1406
359.9022, 756.6641
360.3843, 715.8867
360.8664, 650.0742
361.3485, 611.9219
361.8306, 645.6484
362.3127, 839.3828
362.7949, 1010.234
363.2770, 1099.672
363.7591, 1123.395
364.2412, 1138.441
364.7233, 1161.707
365.2054, 1176.992
365.6876, 1172.641
366.1697, 1116.570
366.6518, 1091.898
367.1339, 1127.211
367.6160, 1196.422
368.0981, 1247.855
368.5803, 1254.941
369.0624, 1265.531
369.5445, 1300.430
370.0266, 1380.625
370.5087, 1417.145
370.9908, 1389.051
371.4730, 1329.445
371.9551, 1282.703
372.4372, 1247.621
372.9193, 1225.895
373.4014, 1238.012
373.8835, 1290.156
374.3657, 1233.586
374.8478, 1016.004
375.3299, 777.3594
375.8120, 678.7695
376.2941, 746.2305
376.7762, 802.8477
377.2584, 805.6562
377.7405, 762.0625
378.2226, 729.7695
378.7047, 711.6992
379.1868, 696.2852
379.6689, 675.2070
380.1511, 649.6680
380.6332, 626.9805
381.1153, 598.4805
381.5974, 574.5508
382.0795, 605.2188
382.5616, 686.7969
383.0438, 744.1758
383.5259, 704.0938
384.0080, 605.1680
384.4901, 545.9258
384.9722, 541.9688
385.4543, 559.9727
385.9364, 562.7695
386.4185, 557.9102
386.9007, 567.5312
387.3828, 616.6914
387.8649, 680.7969
388.3470, 733.6055
388.8291, 771.7969
389.3112, 804.6328
389.7934, 834.4102
390.2755, 863.0469
390.7576, 892.0938
391.2397, 937.4492
391.7218, 969.6172
392.2039, 963.9297
392.6861, 924.1602
393.1682, 894.6133
393.6503, 898.5391
394.1324, 918.3672
394.6145, 940.4219
395.0966, 969.4531
395.5788, 988.0820
396.0609, 983.3906
396.5430, 962.9180
397.0251, 954.4531
397.5072, 983.1914
397.9893, 1009.590
398.4715, 1015.570
398.9536, 991.0703
399.4357, 962.7266
399.9178, 944.8320
400.3999, 919.7266
400.8820, 849.5391
401.3642, 682.0781
401.8463, 548.3320
402.3284, 498.1836
402.8105, 548.8125
403.2926, 569.8789
403.7747, 540.5195
404.2569, 484.5625
404.7390, 428.0508
405.2211, 366.9766
405.7032, 336.8438
406.1853, 365.3906
406.6674, 428.0820
407.1496, 391.5078
407.6317, 238.1133
408.1138, 85.66016
408.5959, 41.79688
409.0780, 92.61719
409.5602, 119.7617
410.0423, 95.85938
410.5244, 53.10156
411.0065, 46.95703
411.4886, 72.76953
411.9707, 94.84375
412.4529, 82.54297
412.9350, 55.41016
413.4171, 52.54688
413.8992, 81.33203
414.3813, 110.3906
414.8634, 109.6016
415.3456, 89.39062
415.8277, 69.89453
416.3098, 54.64844
416.7919, 47.84766
417.2740, 55.34766
417.7561, 76.39062
418.2382, 98.68750
418.7203, 120.5117
419.2025, 138.0039
419.6846, 146.3789
420.1667, 115.5312
420.6488, 107.7930
421.1309, 176.5898
421.6130, 291.9297
422.0952, 345.8789
422.5773, 242.9023
423.0594, 131.7305
423.5415, 81.07031
424.0236, 146.0898
424.5057, 180.0625
424.9879, 161.0273
425.4700, 116.1758
425.9521, 88.00781
426.4342, 81.95703
426.9163, 84.89453
427.3984, 99.25781
427.8806, 127.6523
428.3627, 126.1406
428.8448, 79.57422
429.3269, 27.87500
429.8090, 9.863281
430.2911, 28.67188
430.7733, 64.14453
431.2554, 122.7148
431.7375, 189.0430
432.2196, 218.1328
432.7017, 208.4570
433.1838, 174.0352
433.6660, 95.81250
434.1481, 5.792969
434.6302, 33.93359
435.1123, 34.80078
435.5944, 131.5508
436.0765, 182.6875
436.5587, 191.2344
437.0408, 167.4648
437.5229, 68.75781
438.0050, 35.29688
438.4871, 45.35547
438.9692, 41.26562
439.4514, 123.1211
439.9335, 119.2188
440.4156, 74.87109
440.8977, 43.15625
441.3798, 44.73438
441.8619, 58.08984
442.3441, 80.91406
442.8262, 109.5195
443.3083, 129.6523
443.7904, 144.3867
444.2725, 142.8906
444.7546, 115.2422
445.2368, 38.65625
445.7189, 19.10938
446.2010, 43.70703
446.6831, 47.00000
447.1652, 47.30469
447.6473, 47.52344
448.1295, 40.59766
448.6116, 22.92969
449.0937, 6.734375
449.5758, 31.88672
450.0579, 56.34766
450.5400, 70.29297
451.0221, 59.64453
451.5042, 16.30859
451.9864, 12.32812
452.4685, 18.83594
452.9506, 7.148438
453.4327, 20.40234
453.9148, 65.29688
454.3969, 97.96875
454.8791, 87.75391
455.3612, 47.70703
455.8433, 35.80469
456.3254, 58.43750
456.8075, 89.37500
457.2896, 90.93750
457.7718, 74.92969
458.2539, 71.89062
458.7360, 130.8594
459.2181, 185.0234
459.7002, 130.2031
460.1823, 17.52344
460.6645, 123.6875
461.1466, 60.71094
461.6287, 60.61719
462.1108, 134.8984
462.5929, 114.5000
463.0750, 94.61719
463.5572, 118.9453
464.0393, 170.5781
464.5214, 214.3672
465.0035, 252.2656
465.4856, 270.1016
465.9677, 249.4609
466.4499, 172.7266
466.9320, 140.7578
467.4141, 195.2188
467.8962, 268.7891
468.3783, 300.1797
468.8604, 257.7891
469.3426, 235.9531
469.8247, 259.5234
470.3068, 311.6172
470.7889, 314.9375
471.2710, 252.8281
471.7531, 193.0859
472.2353, 182.0391
472.7174, 219.8906
473.1995, 223.3047
473.6816, 178.0469
474.1637, 135.9688
474.6458, 188.6094
475.1280, 319.6016
475.6101, 423.9375
476.0922, 463.3438
476.5743, 455.1328
477.0564, 405.8828
477.5385, 318.8359
478.0207, 249.0547
478.5028, 260.6406
478.9849, 300.6406
479.4670, 293.7969
479.9491, 195.4141
480.4312, 130.3516
480.9134, 224.8750
481.3955, 402.0625
481.8776, 517.2891
482.3597, 461.4219
482.8418, 381.6719
483.3239, 332.5938
483.8060, 318.5000
484.2881, 330.0000
484.7703, 391.7109
485.2524, 463.2891
485.7345, 514.4609
486.2166, 543.7031
486.6987, 552.0078
487.1808, 527.3906
487.6630, 483.6172
488.1451, 464.7734
488.6272, 478.0781
489.1093, 499.0703
489.5914, 519.3281
490.0735, 538.4062
490.5557, 555.0938
491.0378, 570.2812
491.5199, 578.5859
492.0020, 561.5625
492.4841, 525.0000
492.9662, 520.6406
493.4484, 573.1484
493.9305, 646.1172
494.4126, 673.6641
494.8947, 663.0234
495.3768, 653.0156
495.8589, 667.8516
496.3411, 697.3125
496.8232, 731.7969
497.3053, 767.1250
497.7874, 800.2812
498.2695, 834.8516
498.7516, 863.4531
499.2338, 878.0391
499.7159, 854.0781
500.1980, 836.9062
500.6801, 845.6328
501.1622, 877.3984
501.6443, 906.1016
502.1265, 939.7344
502.6086, 958.7734
503.0907, 949.7969
503.5728, 885.2734
504.0549, 850.1406
504.5370, 860.3672
505.0192, 890.5234
505.5013, 897.7734
505.9834, 872.0703
506.4655, 862.4453
506.9476, 889.9609
507.4297, 945.0469
507.9119, 967.4609
508.3940, 952.2109
508.8761, 943.3594
509.3582, 993.2891
509.8403, 1080.430
510.3224, 1124.383
510.8046, 1109.250
511.2867, 1072.016
511.7688, 1057.352
512.2509, 1053.203
512.7330, 1031.031
513.2151, 943.2188
513.6973, 857.2422
514.1794, 843.7812
514.6615, 896.6328
515.1436, 927.3828
515.6257, 871.7188
516.1078, 792.0391
516.5900, 737.6953
517.0721, 743.2891
517.5542, 727.1172
518.0363, 646.2188
518.5184, 533.7656
519.0005, 469.5938
519.4827, 505.9219
519.9648, 518.1719
520.4469, 458.8828
520.9290, 332.6016
521.4111, 280.4688
521.8932, 328.0703
522.3754, 389.8516
522.8575, 397.6016
523.3396, 349.6953
523.8217, 295.7500
524.3038, 236.2266
524.7859, 185.2500
525.2681, 163.6250
525.7502, 170.3750
526.2323, 199.9219
526.7144, 295.6328
527.1965, 394.1641
527.6786, 378.2969
528.1608, 255.0312
528.6429, 127.7734
529.1250, 56.35938
529.6071, 22.26562
530.0892, 10.28125
530.5714, 25.65625
531.0535, 44.92969
531.5356, 68.79688
532.0176, 87.88281
532.4998, 87.68750
532.9819, 54.11719
533.4640, 11.99219
533.9461, 42.53125
534.4282, 108.8047
534.9103, 142.8438
535.3925, 137.8750
535.8746, 108.9688
536.3567, 58.02344
536.8388, 24.88281
537.3209, 82.45312
537.8030, 106.2969
538.2852, 108.8672
538.7673, 116.0703
539.2494, 126.3359
539.7315, 119.8906
540.2136, 77.12500
540.6957, 20.76562
541.1779, 2.851563
541.6600, 19.89844
542.1421, 41.28125
542.6242, 35.65625
543.1063, 25.39062
543.5884, 45.92969
544.0706, 114.0156
544.5527, 165.4062
545.0348, 140.1250
545.5169, 82.35156
545.9990, 51.05469
546.4811, 104.0938
546.9633, 142.8672
547.4454, 113.0000
547.9275, 28.39062
548.4096, 14.51562
548.8917, 132.9766
549.3738, 256.0078
549.8560, 323.2734
550.3381, 313.4453
550.8202, 343.6328
551.3023, 431.7500
551.7844, 530.6328
552.2665, 577.1641
552.7487, 569.3125
553.2308, 583.7734
553.7129, 647.0625
554.1950, 731.7422
554.6771, 789.0234
555.1592, 819.3672
555.6414, 824.1484
556.1235, 778.2422
556.6056, 719.8281
557.0877, 690.5625
557.5698, 692.7891
558.0519, 734.2812
558.5341, 862.8828
559.0162, 1015.508
559.4983, 1123.234
559.9804, 1167.836
560.4625, 1172.312
560.9446, 1122.773
561.4268, 1036.977
561.9089, 958.1875
562.3910, 867.0859
562.8731, 810.3438
563.3552, 816.3047
563.8373, 885.6328
564.3195, 903.1406
564.8016, 853.5234
565.2837, 784.0078
565.7658, 731.5000
566.2479, 696.2109
566.7300, 649.2031
567.2122, 588.3281
567.6943, 513.0781
568.1764, 404.5078
568.6585, 275.5391
569.1406, 179.1719
569.6227, 139.3359
570.1049, 140.2188
570.5870, 189.1719
571.0691, 272.4688
571.5512, 324.9141
572.0333, 282.1094
572.5154, 213.7969
572.9976, 172.2031
573.4797, 174.9141
573.9618, 162.2031
574.4439, 81.32031
574.9260, 3.281250
575.4081, 19.78125
575.8903, 114.1641
576.3724, 187.5859
576.8545, 160.6875
577.3366, 63.99219
577.8187, 13.13281
578.3008, 71.04688
578.7830, 107.9922
579.2651, 120.9297
579.7472, 111.5312
580.2293, 85.32031
580.7114, 41.33594
581.1935, 1.656250
581.6757, 26.30469
582.1578, 36.56250
582.6399, 41.39062
583.1220, 42.99219
583.6041, 36.33594
584.0862, 1.804688
584.5684, 42.26562
585.0505, 63.95312
585.5326, 33.42969
586.0147, 4.648438
586.4968, 39.00781
586.9789, 67.14062
587.4611, 78.73438
587.9432, 45.28125
588.4253, 22.89844
588.9074, 41.68750
589.3895, 122.5000
589.8716, 147.2812
590.3538, 85.53906
590.8359, 16.08594
591.3180, 42.89844
591.8001, 169.2734
592.2822, 240.2734
592.7643, 221.3203
593.2465, 150.7891
593.7286, 76.10156
594.2107, 3.109375
594.6928, 42.32812
595.1749, 40.33594
595.6570, 16.15625
596.1392, 1.5625000E-02
596.6213, 9.929688
597.1034, 38.65625
597.5854, 146.9922
598.0676, 249.6250
598.5497, 272.4922
599.0318, 156.4844
599.5139, 76.00000
599.9960, 64.46094
600.4781, 97.92188
600.9603, 154.4922
601.4424, 267.8047
601.9245, 338.4375
602.4066, 337.2266
602.8887, 287.2969
603.3708, 272.3750
603.8530, 300.0000
604.3351, 300.5469
604.8172, 207.5703
605.2993, 57.00000
605.7814, 17.77344
606.2635, 17.00000
606.7457, 21.41406
607.2278, 88.31250
607.7099, 164.1719
608.1920, 215.0547
608.6741, 222.5234
609.1563, 241.8047
609.6384, 347.6797
610.1205, 472.2109
610.6026, 519.3750
611.0847, 370.2500
611.5668, 249.3281
612.0490, 217.8125
612.5311, 256.5234
613.0132, 287.4609
613.4953, 306.7344
613.9774, 327.1094
614.4595, 359.1250
614.9417, 403.6328
615.4238, 409.6875
615.9059, 370.1484
616.3880, 328.1328
616.8701, 323.1797
617.3522, 348.9609
617.8344, 387.0703
618.3165, 441.1172
618.7986, 483.7656
619.2807, 480.2578
619.7628, 445.4453
620.2449, 406.2109
620.7271, 357.8516
621.2092, 322.5469
621.6913, 313.0000
622.1734, 325.9609
622.6555, 347.1250
623.1376, 404.9688
623.6198, 439.4688
624.1019, 419.6484
624.5840, 335.9219
625.0661, 288.9531
625.5482, 285.5312
626.0303, 306.5547
626.5125, 349.5156
626.9946, 414.4844
627.4767, 438.0000
627.9588, 402.7422
628.4409, 361.1484
628.9230, 396.5000
629.4052, 484.5469
629.8873, 555.6406
630.3694, 580.0625
630.8515, 583.0234
631.3336, 592.7578
631.8157, 600.4062
632.2979, 579.0234
632.7800, 476.4609
633.2621, 377.7344
633.7442, 325.6953
634.2263, 324.6016
634.7084, 337.6797
635.1906, 390.2266
635.6727, 427.1406
636.1548, 404.2031
636.6369, 295.0234
637.1190, 245.6172
637.6011, 275.0547
638.0833, 330.3203
638.5654, 335.0391
639.0475, 297.7891
639.5296, 284.6406
640.0117, 315.4844
640.4938, 372.7656
640.9760, 458.2891
641.4581, 553.7422
641.9402, 614.9219
642.4223, 596.7500
642.9044, 555.7891
643.3865, 519.7266
643.8687, 490.2578
644.3508, 474.0938
644.8329, 464.6172
645.3150, 477.2578
645.7971, 525.9375
646.2792, 630.3125
646.7614, 693.8438
647.2435, 711.1016
647.7256, 697.6094
648.2077, 665.3672
648.6898, 614.1094
649.1719, 547.6172
649.6541, 457.3750
650.1362, 374.9141
650.6183, 351.4531
651.1004, 374.3516
651.5825, 405.0000
652.0646, 423.8672
652.5468, 447.0391
653.0289, 504.5000
653.5110, 582.1328
653.9931, 628.6094
654.4752, 616.0000
654.9573, 576.8594
655.4395, 507.7422
655.9216, 399.6641
656.4037, 357.1953
656.8858, 404.6250
657.3679, 486.0859
657.8500, 580.7266
658.3322, 698.4375
658.8143, 747.8359
659.2964, 715.4766
659.7785, 649.2422
660.2606, 598.6016
660.7427, 561.9766
661.2249, 534.2891
661.7070, 516.6562
662.1891, 502.6953
662.6712, 472.7734
663.1533, 442.4141
663.6354, 444.1953
664.1175, 539.3516
664.5996, 623.3359
665.0817, 647.1797
665.5638, 617.1250
666.0460, 585.4062
666.5281, 561.4688
667.0102, 528.1875
667.4923, 464.9141
667.9744, 366.0547
668.4565, 354.2422
668.9387, 447.4688
669.4208, 562.1016
669.9029, 637.4531
670.3850, 677.3281
670.8671, 692.9141
671.3492, 681.8516
671.8314, 668.3906
672.3135, 694.4766
672.7956, 729.1641
673.2777, 720.5000
673.7598, 594.9531
674.2419, 506.5938
674.7241, 556.6641
675.2062, 684.4219
675.6883, 768.0312
676.1704, 731.5156
676.6525, 723.6797
677.1346, 784.8906
677.6168, 898.3516
678.0989, 975.0703
678.5810, 1012.500
679.0631, 1027.312
679.5452, 1011.836
680.0273, 979.1016
680.5095, 999.5859
680.9916, 1073.023
681.4737, 1141.234
681.9558, 1152.219
682.4379, 1139.047
682.9200, 1129.273
683.4022, 1117.953
683.8843, 1161.383
684.3664, 1339.141
684.8485, 1554.812
685.3306, 1720.531
685.8127, 1795.719
686.2949, 1852.641
686.7770, 1891.328
