##NAMES=Henmilite
##RRUFFID=R060257
##IDEAL CHEMISTRY=Ca_2_Cu[B(OH)_4_]_2_(OH)_4_
##LOCALITY=Fuka mine, Okayama Prefecture, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep blue prismatic pinacoidal crystals with a melted looking exterior
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060257
##MEASURED CHEMISTRY=Ca_1.94_Cu_1.06_[B(OH)_4_]_2_(OH)_4_ ; B, H not measured but assumed by stoichiometry
421.4309, 192.3291
421.9130, 170.9111
422.3951, 153.6895
422.8773, 148.7402
423.3594, 142.3818
423.8415, 121.1777
424.3236, 89.41797
424.8057, 63.48145
425.2878, 50.66699
425.7700, 46.49219
426.2521, 42.17480
426.7342, 37.76562
427.2163, 33.03223
427.6984, 29.00586
428.1805, 24.02734
428.6627, 14.90430
429.1448, 15.55530
429.6269, 9.998047
430.1090, 15.11230
430.5911, 13.08789
431.0732, 13.87598
431.5554, 23.91113
432.0375, 29.15234
432.5196, 19.85547
433.0017, 3.513672
433.4838, 7.561523
433.9659, 7.616211
434.4481, 0.1777340
434.9302, 9.709961
435.4123, 26.33594
435.8944, 34.43652
436.3765, 29.68848
436.8586, 20.84570
437.3408, 11.71191
437.8229, 3.680664
438.3050, 1.858398
438.7871, 3.161133
439.2692, 0.5351560
439.7513, 0.8017580
440.2335, 2.303711
440.7156, 8.4960997E-02
441.1977, 6.075195
441.6798, 16.49219
442.1619, 32.86426
442.6440, 56.52539
443.1262, 81.34277
443.6083, 98.41895
444.0904, 107.0713
444.5725, 116.1182
445.0546, 125.2441
445.5367, 137.5449
446.0189, 154.9922
446.5010, 177.3545
446.9831, 202.3594
447.4652, 230.5000
447.9473, 259.9160
448.4294, 287.3438
448.9116, 312.6523
449.3937, 336.6387
449.8758, 356.7812
450.3579, 375.8105
450.8400, 399.9648
451.3221, 430.6221
451.8043, 463.7275
452.2864, 497.6738
452.7685, 532.8447
453.2506, 569.3672
453.7327, 607.1777
454.2148, 645.3291
454.6970, 681.9180
455.1791, 716.2510
455.6612, 757.8311
456.1433, 812.7412
456.6254, 869.6748
457.1075, 918.9170
457.5897, 964.3711
458.0718, 1018.541
458.5539, 1088.922
459.0360, 1172.053
459.5181, 1257.422
460.0002, 1347.720
460.4824, 1437.508
460.9645, 1520.287
461.4466, 1606.896
461.9287, 1706.352
462.4108, 1819.716
462.8929, 1941.289
463.3751, 2066.432
463.8572, 2195.202
464.3393, 2325.432
464.8214, 2467.909
465.3035, 2597.644
465.7856, 2706.698
466.2678, 2800.062
466.7499, 2885.802
467.2320, 2967.091
467.7141, 3038.519
468.1962, 3098.046
468.6783, 3148.339
469.1605, 3157.653
469.6426, 3107.062
470.1247, 3026.001
470.6068, 2933.409
471.0889, 2830.326
471.5710, 2719.040
472.0532, 2594.632
472.5353, 2465.242
473.0174, 2345.320
473.4995, 2235.257
473.9816, 2126.253
474.4637, 2013.076
474.9459, 1899.718
475.4280, 1791.656
475.9101, 1687.684
476.3922, 1592.989
476.8743, 1514.213
477.3564, 1443.616
477.8386, 1368.879
478.3207, 1287.744
478.8028, 1211.662
479.2849, 1152.995
479.7670, 1111.721
480.2491, 1062.431
480.7313, 1000.607
481.2134, 936.9443
481.6955, 872.0195
482.1776, 808.6738
482.6597, 750.6260
483.1418, 699.4404
483.6240, 653.9453
484.1061, 613.9971
484.5882, 583.4170
485.0703, 547.3477
485.5524, 499.8975
486.0345, 452.8330
486.5167, 410.3701
486.9988, 372.8730
487.4809, 339.4189
487.9630, 309.5781
488.4451, 284.4707
488.9272, 266.7900
489.4094, 259.0713
489.8915, 249.0967
490.3736, 233.2334
490.8557, 215.7109
491.3378, 196.6094
491.8199, 176.5088
492.3021, 159.6582
492.7842, 150.8496
493.2663, 146.2471
493.7484, 137.1025
494.2305, 122.4854
494.7126, 111.0010
495.1948, 109.1357
495.6769, 113.6504
496.1590, 116.6006
496.6411, 120.1680
497.1232, 117.2666
497.6053, 100.6357
498.0875, 76.24316
498.5696, 52.96582
499.0517, 32.86523
499.5338, 18.02441
500.0159, 11.89453
500.4980, 15.57910
500.9802, 15.84766
501.4623, 9.358398
501.9444, 3.533203
502.4265, 0.5507810
502.9086, 1.589844
503.3907, 4.087891
503.8729, 17.76367
504.3550, 32.95508
504.8371, 38.06445
505.3192, 30.32324
505.8013, 20.13281
506.2834, 22.93666
506.7656, 12.85840
507.2477, 20.67578
507.7298, 22.33887
508.2119, 21.09863
508.6940, 17.99414
509.1761, 14.38281
509.6583, 13.73340
510.1404, 16.92383
510.6225, 17.93652
511.1046, 13.61426
511.5867, 7.747070
512.0688, 3.798828
512.5510, 1.826172
513.0331, 6.8359999E-03
513.5152, 0.7490230
513.9973, 2.659180
514.4794, 10.25293
514.9615, 23.59961
515.4437, 36.86426
515.9258, 48.25195
516.4079, 56.27246
516.8900, 55.50879
517.3721, 41.45410
517.8542, 29.41797
518.3364, 21.49805
518.8185, 17.90723
519.3006, 19.80176
519.7827, 26.75781
520.2648, 36.43066
520.7469, 47.24023
521.2291, 58.96191
521.7112, 68.08691
522.1933, 70.38281
522.6754, 75.06738
523.1575, 86.67676
523.6396, 99.40332
524.1218, 106.6699
524.6039, 107.4443
525.0860, 106.6855
525.5681, 109.0518
526.0502, 114.5283
526.5323, 122.6289
527.0145, 133.2773
527.4966, 146.7715
527.9787, 165.5947
528.4608, 186.5039
528.9429, 205.6748
529.4250, 222.9248
529.9072, 235.9229
530.3893, 240.5156
530.8714, 239.1143
531.3535, 239.7529
531.8356, 244.1250
532.3177, 250.0557
532.7999, 256.1943
533.2820, 262.3984
533.7641, 266.6973
534.2462, 268.7969
534.7283, 269.2412
535.2104, 267.1523
535.6926, 264.3984
536.1747, 264.1250
536.6568, 267.3691
537.1389, 273.0986
537.6210, 280.1162
538.1031, 289.0879
538.5853, 297.3809
539.0674, 300.7510
539.5495, 305.9141
540.0316, 319.3652
540.5137, 336.4580
540.9958, 348.6816
541.4780, 352.2090
541.9601, 353.9971
542.4422, 366.6670
542.9243, 391.4453
543.4064, 409.0791
543.8885, 416.0928
544.3707, 416.3799
544.8528, 408.8936
545.3349, 397.2637
545.8170, 391.4434
546.2991, 398.7959
546.7813, 408.3535
547.2634, 409.9062
547.7455, 404.8281
548.2276, 399.1689
548.7097, 395.4072
549.1918, 389.3584
549.6740, 374.6904
550.1561, 349.1650
550.6382, 327.1299
551.1203, 309.6680
551.6024, 294.6689
552.0845, 280.0439
552.5667, 267.2314
553.0488, 259.9893
553.5309, 259.8271
554.0130, 262.5879
554.4951, 260.9893
554.9772, 254.4209
555.4594, 245.3252
555.9415, 231.0459
556.4236, 216.7188
556.9057, 202.0967
557.3878, 189.2881
557.8699, 182.2549
558.3521, 183.5957
558.8342, 188.9219
559.3163, 193.8369
559.7984, 198.1865
560.2805, 197.2402
560.7626, 187.8936
561.2448, 176.9424
561.7269, 172.3574
562.2090, 172.2656
562.6911, 167.0938
563.1732, 150.3320
563.6553, 132.4688
564.1375, 119.9189
564.6196, 110.8184
565.1017, 101.9131
565.5838, 92.23438
566.0659, 84.46289
566.5480, 83.08789
567.0302, 91.00781
567.5123, 92.09570
567.9944, 79.47754
568.4765, 68.11719
568.9586, 63.25391
569.4407, 63.62207
569.9229, 68.58008
570.4050, 77.72559
570.8871, 85.00195
571.3692, 79.06250
571.8513, 59.05469
572.3334, 46.62500
572.8156, 46.89062
573.2977, 49.85156
573.7798, 50.95801
574.2619, 50.31152
574.7440, 48.00293
575.2261, 44.33398
575.7083, 38.57227
576.1904, 27.90527
576.6725, 14.96582
577.1546, 6.433594
577.6367, 3.939453
578.1188, 3.634766
578.6010, 1.428711
579.0831, 2.625977
579.5652, 6.633550
580.0473, 8.365234
580.5294, 18.73633
581.0115, 29.03809
581.4937, 38.20703
581.9758, 44.49219
582.4579, 47.70312
582.9400, 48.96973
583.4221, 48.98340
583.9042, 47.85254
584.3864, 47.84961
584.8685, 46.61621
585.3506, 50.90820
585.8327, 70.83887
586.3148, 93.74902
586.7969, 105.5088
587.2791, 103.4141
587.7612, 95.15137
588.2433, 84.59180
