##NAMES=Burangaite
##RRUFFID=R070408
##IDEAL CHEMISTRY=NaFe^2+^Al_5_(PO_4_)_4_(OH)_6_&#183;2H_2_O
##LOCALITY=Buranga pegmatite, Gatumba District, Gisenyi Province, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue to blue-green prismatic, co-type specimen. This is the piece used by Selway et al (1997) to determine structure.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070408
325.6345, 109.3831
326.1166, 132.2542
326.5987, 153.8638
327.0808, 180.7026
327.5630, 198.4790
328.0451, 199.6033
328.5272, 185.3601
329.0093, 184.2229
329.4914, 204.6064
329.9735, 230.4001
330.4557, 250.7417
330.9378, 258.9802
331.4199, 273.8306
331.9020, 300.6252
332.3841, 335.8582
332.8662, 361.0425
333.3484, 367.7014
333.8305, 376.7959
334.3126, 401.5247
334.7947, 448.0420
335.2768, 490.6309
335.7589, 528.2935
336.2411, 561.0969
336.7232, 590.5806
337.2053, 617.2505
337.6874, 638.4539
338.1695, 649.7505
338.6516, 648.6909
339.1338, 660.1814
339.6159, 688.6853
340.0980, 723.2520
340.5801, 742.7031
341.0622, 745.3679
341.5443, 750.5291
342.0265, 768.7734
342.5086, 798.0801
342.9907, 819.1602
343.4728, 829.7866
343.9549, 840.2412
344.4370, 869.7441
344.9192, 915.0532
345.4013, 945.5811
345.8834, 943.1165
346.3655, 919.6821
346.8476, 902.8887
347.3297, 892.7141
347.8119, 896.1443
348.2940, 927.5708
348.7761, 978.9790
349.2582, 1024.604
349.7403, 1051.969
350.2225, 1076.638
350.7046, 1128.271
351.1867, 1203.389
351.6688, 1269.849
352.1509, 1298.089
352.6331, 1305.536
353.1152, 1319.746
353.5973, 1353.267
354.0794, 1383.524
354.5615, 1394.162
355.0436, 1383.543
355.5258, 1350.792
356.0079, 1281.223
356.4900, 1199.167
356.9721, 1123.143
357.4542, 1053.311
357.9363, 996.1860
358.4185, 956.1267
358.9006, 931.4138
359.3827, 918.7988
359.8648, 920.8401
360.3469, 931.2222
360.8290, 945.0381
361.3112, 960.0757
361.7933, 985.0815
362.2754, 1035.268
362.7575, 1095.969
363.2396, 1148.854
363.7217, 1166.330
364.2039, 1193.808
364.6860, 1252.667
365.1681, 1344.226
365.6502, 1424.559
366.1323, 1479.710
366.6144, 1528.124
367.0966, 1582.738
367.5787, 1654.371
368.0608, 1718.897
368.5429, 1777.843
369.0250, 1829.616
369.5071, 1864.812
369.9893, 1879.260
370.4714, 1882.020
370.9535, 1878.404
371.4356, 1875.049
371.9177, 1849.864
372.3998, 1798.823
372.8820, 1727.397
373.3641, 1647.280
373.8462, 1557.149
374.3283, 1462.141
374.8104, 1361.244
375.2925, 1251.581
375.7747, 1160.298
376.2568, 1087.900
376.7389, 1031.305
377.2210, 990.5603
377.7031, 966.6643
378.1852, 944.2810
378.6674, 917.4255
379.1495, 887.5745
379.6316, 860.8804
380.1137, 837.1875
380.5958, 824.6409
381.0779, 837.3906
381.5601, 870.1772
382.0422, 896.9773
382.5243, 910.4802
383.0064, 917.8657
383.4885, 927.0361
383.9706, 939.0176
384.4528, 960.6526
384.9349, 1004.232
385.4170, 1058.750
385.8991, 1107.610
386.3812, 1149.088
386.8633, 1183.800
387.3455, 1208.707
387.8276, 1227.138
388.3097, 1247.160
388.7918, 1280.449
389.2739, 1311.811
389.7560, 1330.276
390.2382, 1335.009
390.7203, 1326.691
391.2024, 1305.260
391.6845, 1271.271
392.1666, 1224.942
392.6487, 1141.928
393.1309, 1069.609
393.6130, 1031.924
394.0951, 1026.244
394.5772, 1021.705
395.0593, 1008.920
395.5414, 995.7585
396.0236, 987.2820
396.5057, 994.2285
396.9878, 993.9302
397.4699, 975.1187
397.9520, 946.3325
398.4341, 934.7747
398.9163, 957.4519
399.3984, 979.8594
399.8805, 991.4976
400.3626, 994.7241
400.8447, 979.7490
401.3268, 943.1802
401.8090, 890.8975
402.2911, 828.5908
402.7732, 753.2708
403.2553, 677.2891
403.7374, 603.6714
404.2195, 532.3359
404.7017, 461.2642
405.1838, 389.3950
405.6659, 319.9172
406.1480, 253.0696
406.6301, 188.3682
407.1122, 133.7020
407.5944, 123.7786
408.0765, 112.4091
408.5586, 99.72079
