##NAMES=Jahnsite-(CaMnMg)
##RRUFFID=R060213
##IDEAL CHEMISTRY=CaMn^2+^Mg_2_Fe^3+^_2_(PO_4_)_4_(OH)_2_&#183;8H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brown tabular crystals associated with black prismatic rockbridgeite, R060858
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060213
278.4063, 13.34940
278.8884, 10.91309
279.3705, 10.01974
279.8526, 11.45633
280.3347, 12.84528
280.8169, 15.12851
281.2990, 16.56046
281.7811, 15.08371
282.2632, 10.49374
282.7453, 5.210754
283.2274, 3.096832
283.7096, 6.076141
284.1917, 7.434601
284.6738, 5.685059
285.1559, 3.537354
285.6380, 2.588287
286.1201, 2.997437
286.6023, 3.885590
287.0844, 4.278717
287.5665, 4.077545
288.0486, 3.754120
288.5307, 3.232452
289.0128, 2.669434
289.4950, 1.844604
289.9771, 0.9660950
290.4592, 0.6406860
290.9413, 1.514526
291.4234, 3.705200
291.9055, 5.521973
292.3877, 7.659393
292.8698, 8.748169
293.3519, 7.735016
293.8340, 5.290741
294.3161, 2.762512
294.7982, 1.064407
295.2804, 0.1622470
295.7625, 0.2497710
296.2446, 0.1827240
296.7267, 0.7570650
297.2088, 1.814682
297.6909, 2.842285
298.1731, 2.983200
298.6552, 1.727432
299.1373, 0.4734800
299.6194, 1.900848
300.1015, 2.240707
300.5836, 2.038803
301.0658, 0.8471220
301.5479, 0.6557010
302.0300, 1.784927
302.5121, 2.270935
302.9942, 2.282715
303.4763, 2.075302
303.9585, 0.7217410
304.4406, 0.7231750
304.9227, 4.126328
305.4048, 7.509537
305.8869, 7.820282
306.3690, 4.497650
306.8512, 0.5247190
307.3333, 4.811691
307.8154, 8.989868
308.2975, 10.38379
308.7796, 6.810242
309.2617, 2.708084
309.7439, 0.5130920
310.2260, 0.4485470
310.7081, 1.690018
311.1902, 3.660950
311.6723, 6.658340
312.1544, 7.278076
312.6366, 3.795563
313.1187, 0.6270600
313.6008, 0.6249080
314.0829, 0.4300080
314.5650, 0.2173160
315.0471, 0.7764890
315.5293, 1.326370
316.0114, 1.076523
316.4935, 1.265564
316.9756, 3.140366
317.4577, 3.750214
317.9398, 3.570175
318.4220, 3.275970
318.9041, 3.229294
319.3862, 3.603348
319.8683, 4.780457
320.3504, 7.859375
320.8326, 10.02405
321.3147, 10.48349
321.7968, 10.44943
322.2789, 11.14644
322.7610, 12.87634
323.2431, 14.90529
323.7253, 15.98219
324.2074, 14.90401
324.6895, 15.60617
325.1716, 19.41486
325.6537, 23.38904
326.1358, 25.68152
326.6180, 26.22234
327.1001, 26.01353
327.5822, 26.00638
328.0643, 26.26453
328.5464, 26.44077
329.0285, 26.06499
329.5107, 25.80392
329.9928, 25.97638
330.4749, 26.62691
330.9570, 27.80324
331.4391, 29.56313
331.9212, 31.70320
332.4034, 33.02391
332.8855, 33.18153
333.3676, 32.93275
333.8497, 31.85394
334.3318, 30.49135
334.8139, 29.57468
335.2961, 29.48132
335.7782, 30.17592
336.2603, 31.66159
336.7424, 35.44659
337.2245, 37.73563
337.7066, 37.67661
338.1888, 36.42247
338.6709, 34.63188
339.1530, 32.61769
339.6351, 30.90485
340.1172, 30.44196
340.5993, 32.12799
341.0815, 32.76012
341.5636, 32.01781
342.0457, 30.65086
342.5278, 28.59865
343.0099, 26.17166
343.4920, 24.15215
343.9742, 23.26793
344.4563, 23.55124
344.9384, 24.35521
345.4205, 27.49010
345.9026, 29.33257
346.3847, 27.93742
346.8669, 24.64413
347.3490, 21.88072
347.8311, 21.17953
348.3132, 22.00867
348.7953, 22.28781
349.2774, 21.76665
349.7596, 21.02304
350.2417, 19.41989
350.7238, 18.02779
351.2059, 18.48300
351.6880, 21.28787
352.1701, 24.37529
352.6523, 23.79268
353.1344, 17.69644
353.6165, 13.60207
354.0986, 13.54819
354.5807, 14.68016
355.0628, 15.98586
355.5450, 17.09366
356.0271, 17.50053
356.5092, 16.39859
356.9913, 13.71812
357.4734, 11.62604
357.9555, 10.25261
358.4377, 9.483063
358.9198, 9.819275
359.4019, 10.67935
359.8840, 10.89078
360.3661, 9.573334
360.8482, 7.294373
361.3304, 5.716537
361.8125, 4.941116
362.2946, 4.705963
362.7767, 4.961456
363.2588, 5.635803
363.7409, 6.924164
364.2231, 9.025040
364.7052, 10.89442
365.1873, 10.80794
365.6694, 8.498566
366.1515, 6.484192
366.6336, 5.957489
367.1158, 5.782181
367.5979, 5.164474
368.0800, 3.980896
368.5621, 2.271027
369.0442, 0.8838200
369.5263, 1.221501
370.0085, 1.066674
370.4906, 2.314072
370.9727, 1.622604
371.4548, 2.088348
371.9369, 0.3338320
372.4190, 0.8077700
372.9012, 0.2417300
373.3833, 2.158569
373.8654, 2.933960
374.3475, 2.477768
374.8296, 2.036224
375.3117, 2.623451
375.7939, 3.398453
376.2760, 2.968216
376.7581, 2.896302
377.2402, 1.460739
377.7223, 1.897484
378.2044, 1.017242
378.6866, 0.7612760
379.1687, 1.906342
379.6508, 3.452240
380.1329, 4.017494
380.6150, 3.634796
381.0971, 3.510437
381.5793, 4.836342
382.0614, 6.317589
382.5435, 5.689583
383.0256, 2.595779
383.5077, 0.4497910
383.9898, 1.401588
384.4720, 0.4546970
384.9541, 0.2333450
385.4362, 1.175522
385.9183, 1.322823
386.4004, 1.002968
386.8825, 4.887352
387.3647, 7.018333
387.8468, 5.465340
388.3289, 1.802635
388.8110, 0.1289830
389.2931, 1.187531
389.7752, 2.142349
390.2574, 1.767448
390.7395, 1.268753
391.2216, 2.504723
391.7037, 5.803825
392.1858, 9.333992
392.6679, 10.95970
393.1501, 10.27758
393.6322, 9.394836
394.1143, 6.972260
394.5964, 5.555168
395.0785, 7.138702
395.5606, 11.04906
396.0428, 15.29731
396.5249, 18.75217
397.0070, 21.31269
397.4891, 22.47805
397.9712, 20.39879
398.4533, 19.12711
398.9355, 19.98621
399.4176, 21.45754
399.8997, 21.52997
400.3818, 19.70006
400.8639, 17.58908
401.3460, 17.88135
401.8282, 22.09299
402.3103, 24.45995
402.7924, 22.62688
403.2745, 21.32533
403.7566, 23.89375
404.2387, 29.27530
404.7209, 33.71753
405.2030, 33.99567
405.6851, 30.91685
406.1672, 30.84633
406.6493, 36.79704
407.1314, 41.47449
407.6136, 43.01576
408.0957, 42.63470
408.5778, 41.25160
409.0599, 39.16959
409.5420, 37.36311
410.0241, 37.43875
410.5063, 39.73933
410.9884, 42.09142
411.4705, 44.57288
411.9526, 46.67815
412.4347, 48.20428
412.9168, 49.10578
413.3990, 49.31268
413.8811, 48.58733
414.3632, 47.10779
414.8453, 45.26286
415.3274, 42.46381
415.8095, 40.74765
416.2917, 42.14278
416.7738, 45.01239
417.2559, 47.32423
417.7380, 48.61253
418.2201, 49.15951
418.7022, 48.95845
419.1844, 48.07858
419.6665, 47.44611
420.1486, 47.45909
420.6307, 47.71336
421.1128, 47.68359
421.5949, 47.38654
422.0771, 47.11115
422.5592, 46.82452
423.0413, 46.65659
423.5234, 46.78804
424.0055, 47.22754
424.4876, 47.94696
424.9698, 49.11803
425.4519, 50.55446
425.9340, 51.23650
426.4161, 51.46198
426.8982, 50.49672
427.3803, 46.64902
427.8625, 41.61514
428.3446, 39.29607
428.8267, 41.21186
429.3088, 44.72881
429.7909, 45.48267
430.2730, 41.51279
430.7552, 39.37003
431.2373, 40.41409
431.7194, 42.29488
432.2015, 43.70399
432.6836, 44.37038
433.1657, 44.21434
433.6479, 43.02184
434.1300, 40.87811
434.6121, 39.31252
435.0942, 38.72649
435.5763, 38.28981
436.0584, 37.39358
436.5406, 36.84723
437.0227, 38.12337
437.5048, 41.58076
437.9869, 45.24936
438.4690, 45.65459
438.9511, 41.33127
439.4333, 38.34592
439.9154, 37.60939
440.3975, 37.63580
440.8796, 37.80261
441.3617, 38.28268
441.8438, 39.72954
442.3260, 43.08299
442.8081, 47.35252
443.2902, 48.55598
443.7723, 44.87481
444.2544, 43.05746
444.7365, 47.60759
445.2187, 53.76083
445.7008, 57.14146
446.1829, 56.74924
446.6650, 55.06880
447.1471, 53.51683
447.6292, 52.34875
448.1114, 53.25853
448.5935, 57.07089
449.0756, 61.92937
449.5577, 67.00781
450.0398, 71.94679
450.5219, 75.51607
451.0041, 76.13708
451.4862, 76.12860
451.9683, 77.77299
452.4504, 80.87524
452.9325, 84.08536
453.4146, 86.79310
453.8968, 89.23849
454.3789, 91.86860
454.8610, 94.45702
455.3431, 97.71993
455.8252, 103.0814
456.3073, 108.5088
456.7895, 111.5693
457.2716, 112.0534
457.7537, 111.5890
458.2358, 111.2671
458.7179, 111.0909
459.2000, 113.3878
459.6822, 120.1634
460.1643, 126.6720
460.6464, 131.4471
461.1285, 135.3032
461.6106, 139.5383
462.0927, 144.4976
462.5748, 149.1912
463.0569, 151.8710
463.5391, 151.6864
464.0212, 152.2173
464.5033, 153.7366
464.9854, 155.8338
465.4675, 158.4061
465.9496, 161.0420
466.4318, 163.1297
466.9139, 163.9950
467.3960, 164.4427
467.8781, 167.6022
468.3602, 175.4338
468.8423, 180.8747
469.3245, 179.1176
469.8066, 175.9953
470.2887, 176.1755
470.7708, 180.2636
471.2529, 185.1975
471.7350, 189.0324
472.2172, 191.8741
472.6993, 193.7102
473.1814, 194.1022
473.6635, 194.7829
474.1456, 197.6755
474.6277, 201.7378
475.1099, 204.6144
475.5920, 205.7099
476.0741, 205.8055
476.5562, 205.2945
477.0383, 204.2051
477.5204, 202.3528
478.0026, 199.4796
478.4847, 196.6580
478.9668, 195.6773
479.4489, 197.1432
479.9310, 197.4029
480.4131, 195.1041
480.8953, 192.5237
481.3774, 191.6621
481.8595, 191.9638
482.3416, 191.2720
482.8237, 188.2004
483.3058, 183.5576
483.7880, 180.1273
484.2701, 179.4918
484.7522, 177.8153
485.2343, 173.6429
485.7164, 169.3682
486.1985, 167.5717
486.6807, 167.9634
487.1628, 167.5752
487.6449, 163.4119
488.1270, 155.7941
488.6091, 149.3062
489.0912, 143.8886
489.5734, 139.7842
490.0555, 138.4120
490.5376, 137.5534
491.0197, 134.2777
491.5018, 127.6620
491.9839, 120.7149
492.4661, 116.7651
492.9482, 115.4775
493.4303, 114.1563
493.9124, 112.7842
494.3945, 110.6656
494.8766, 106.5114
495.3588, 101.1148
495.8409, 96.67464
496.3230, 94.25687
496.8051, 92.46920
497.2872, 90.68053
497.7693, 88.67020
498.2515, 85.33125
498.7336, 79.96195
499.2157, 73.94510
499.6978, 69.43787
500.1799, 66.75937
500.6620, 64.42971
501.1442, 63.40717
501.6263, 61.84848
502.1084, 57.64068
502.5905, 51.62317
503.0726, 46.53571
503.5547, 44.08649
504.0369, 43.67139
504.5190, 43.21820
505.0011, 42.90982
505.4832, 42.24285
505.9653, 41.46939
506.4474, 40.15849
506.9296, 37.55345
507.4117, 33.93132
507.8938, 30.70158
508.3759, 29.51022
508.8580, 29.68485
509.3401, 26.87798
509.8223, 19.06458
510.3044, 12.71475
510.7865, 11.06145
511.2686, 11.50814
511.7507, 11.91533
512.2328, 11.93777
512.7150, 11.49544
