##NAMES=Natroboltwoodite
##RRUFFID=R060880
##IDEAL CHEMISTRY=Na(UO_2_)(SiO_3_OH)&#183;H_2_O
##LOCALITY=Alluaiv Mountain, Lovozero, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow massive, X-ray diffraction indicates that this is amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060880
625.3345, 1039.262
625.8166, 1064.105
626.2987, 1104.090
626.7808, 1170.018
627.2629, 1207.617
627.7451, 1188.643
628.2272, 1127.947
628.7093, 1081.539
629.1914, 1049.609
629.6735, 1028.697
630.1556, 1030.471
630.6378, 1037.279
631.1199, 1019.709
631.6020, 973.5723
632.0841, 922.3926
632.5662, 863.7891
633.0483, 816.5996
633.5305, 802.2910
634.0126, 874.4277
634.4947, 910.6992
634.9768, 854.7148
635.4589, 757.9980
635.9410, 709.0859
636.4232, 734.3496
636.9053, 754.8281
637.3874, 750.0996
637.8695, 728.2305
638.3516, 730.3555
638.8337, 760.1387
639.3159, 774.5332
639.7980, 737.8555
640.2801, 668.2520
640.7622, 615.6816
641.2443, 580.5059
641.7264, 563.7461
642.2086, 578.2129
642.6907, 609.5488
643.1728, 640.6582
643.6549, 667.0488
644.1370, 676.3906
644.6191, 652.2520
645.1013, 624.3047
645.5834, 621.0820
646.0655, 656.5273
646.5476, 689.2383
647.0297, 719.4316
647.5118, 747.6055
647.9940, 770.1309
648.4761, 786.1465
648.9582, 804.6387
649.4403, 830.9824
649.9224, 855.5781
650.4045, 843.1172
650.8867, 795.7500
651.3688, 762.5859
651.8509, 789.5195
652.3330, 845.7988
652.8151, 896.5859
653.2972, 938.8125
653.7794, 950.0352
654.2615, 887.7012
654.7436, 811.3828
655.2257, 770.2383
655.7078, 791.1211
656.1899, 799.9551
656.6721, 785.3848
657.1542, 761.8613
657.6363, 741.2695
658.1184, 721.6348
658.6005, 698.1797
659.0826, 668.2988
659.5648, 635.9512
660.0469, 611.4082
660.5290, 594.3945
661.0111, 580.9375
661.4932, 574.0176
661.9753, 567.6621
662.4575, 552.9785
662.9396, 530.6875
663.4217, 501.6055
663.9038, 453.2578
664.3859, 408.9004
664.8680, 390.1055
665.3502, 401.7539
665.8323, 412.8320
666.3144, 402.6016
666.7965, 398.2539
667.2786, 420.6484
667.7607, 499.0137
668.2429, 533.6914
668.7250, 505.2383
669.2071, 454.5488
669.6892, 436.1113
670.1713, 448.5625
670.6534, 456.3770
671.1355, 447.9316
671.6176, 437.0684
672.0997, 458.8281
672.5818, 499.1465
673.0640, 515.6953
673.5461, 478.8477
674.0282, 421.9492
674.5103, 368.2637
674.9924, 316.8691
675.4745, 257.2422
675.9567, 179.8008
676.4388, 102.6836
676.9209, 30.56055
677.4030, 37.22070
677.8851, 80.84375
678.3672, 101.0957
678.8494, 95.45898
679.3315, 50.51758
679.8136, 33.24219
680.2957, 80.99805
680.7778, 81.51758
681.2599, 77.33594
681.7421, 136.3711
682.2242, 222.2988
682.7063, 243.4199
683.1884, 147.3594
683.6705, 60.82031
684.1526, 94.09375
684.6348, 191.7891
685.1169, 271.5762
685.5990, 317.1719
686.0811, 334.2383
686.5632, 314.8672
687.0453, 269.7188
687.5275, 218.0684
688.0096, 145.6426
688.4917, 103.8672
688.9738, 117.2832
689.4559, 173.8418
689.9380, 216.5820
690.4202, 245.2812
690.9023, 259.4766
691.3844, 245.9707
691.8665, 221.2988
692.3486, 214.9707
692.8307, 227.4043
693.3129, 240.6582
693.7950, 250.8945
694.2771, 251.4160
694.7592, 235.0469
695.2413, 194.7129
695.7234, 153.1035
696.2056, 98.92578
696.6877, 55.57227
697.1698, 48.39062
697.6519, 94.88672
698.1340, 125.9648
698.6161, 140.0586
699.0983, 131.6465
699.5804, 70.45703
