##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
290.9335, 75.57764
291.4156, 54.59766
291.8977, 49.20459
292.3798, 62.01465
292.8619, 76.73291
293.3441, 71.58691
293.8262, 49.69580
294.3083, 27.07520
294.7904, 7.682129
295.2726, 7.730957
295.7547, 15.73730
296.2368, 15.58984
296.7189, 11.70312
297.2010, 4.728516
297.6831, 2.004883
298.1653, 0.1342770
298.6474, 23.39795
299.1295, 51.79932
299.6116, 56.86719
300.0937, 38.34033
300.5758, 18.16113
301.0580, 17.78516
301.5401, 31.22803
302.0222, 44.57227
302.5043, 55.75391
302.9864, 60.73340
303.4685, 50.07422
303.9507, 24.89941
304.4328, 4.423340
304.9149, 7.726074
305.3970, 25.32568
305.8791, 42.88184
306.3612, 59.68506
306.8434, 67.79395
307.3255, 54.87158
307.8076, 23.82910
308.2897, 2.830078
308.7718, 4.339844
309.2539, 6.172363
309.7361, 12.74072
310.2182, 13.33838
310.7003, 5.767578
311.1824, 14.68750
311.6645, 46.09424
312.1466, 78.69092
312.6288, 110.6733
313.1109, 139.8242
313.5930, 164.4531
314.0751, 183.4868
314.5572, 199.3457
315.0393, 208.7715
315.5215, 214.9795
316.0036, 228.9575
316.4857, 256.4355
316.9678, 293.1836
317.4499, 336.6792
317.9320, 386.8638
318.4142, 443.0713
318.8963, 503.7515
319.3784, 569.9023
319.8605, 645.2207
320.3426, 743.4907
320.8247, 841.7969
321.3069, 922.9097
321.7890, 966.9736
322.2711, 1033.299
322.7532, 1151.593
323.2353, 1299.152
323.7174, 1433.461
324.1996, 1525.032
324.6817, 1620.427
325.1638, 1738.166
325.6459, 1890.010
326.1280, 2036.188
326.6101, 2172.418
327.0923, 2301.706
327.5744, 2426.447
328.0565, 2576.681
328.5386, 2694.605
329.0207, 2768.911
329.5028, 2798.757
329.9850, 2787.767
330.4671, 2727.331
330.9492, 2631.349
331.4313, 2512.863
331.9134, 2362.373
332.3955, 2202.560
332.8777, 2030.928
333.3598, 1849.026
333.8419, 1683.513
334.3240, 1535.344
334.8061, 1402.168
335.2882, 1280.856
335.7704, 1172.648
336.2525, 1072.582
336.7346, 979.6812
337.2167, 893.8330
337.6988, 809.3140
338.1809, 719.5337
338.6631, 642.4731
339.1452, 597.2549
339.6273, 590.8423
340.1094, 580.2090
340.5915, 560.5322
341.0736, 532.3350
341.5558, 495.7212
342.0379, 447.9023
342.5200, 403.0068
343.0021, 371.2207
343.4842, 352.8101
343.9663, 333.4624
344.4485, 310.8447
344.9306, 288.7139
345.4127, 275.1792
345.8948, 270.0532
346.3769, 269.4375
346.8590, 279.4009
347.3412, 294.6934
347.8233, 285.9058
348.3054, 247.3535
348.7875, 199.6479
349.2696, 165.2461
349.7517, 144.7471
350.2339, 138.8643
350.7160, 161.4575
351.1981, 195.4980
351.6802, 204.4580
352.1623, 185.0166
352.6444, 161.9043
353.1266, 158.0225
353.6087, 168.6099
354.0908, 183.2778
354.5729, 204.2554
355.0550, 223.6670
355.5371, 233.8530
356.0193, 234.4951
356.5014, 224.7285
356.9835, 195.4033
357.4656, 160.1763
357.9477, 136.0044
358.4298, 134.6475
358.9120, 137.4360
359.3941, 130.2007
359.8762, 116.0029
360.3583, 107.5181
360.8404, 120.6367
361.3225, 138.0571
361.8047, 146.0034
362.2868, 134.1260
362.7689, 122.5029
363.2510, 118.7432
363.7331, 120.0635
364.2152, 119.8970
364.6974, 120.5435
365.1795, 117.7783
365.6616, 107.5732
366.1437, 80.88281
366.6258, 66.36768
367.1079, 77.74707
367.5901, 101.4165
368.0722, 117.1460
368.5543, 116.9062
369.0364, 115.9272
369.5185, 116.9419
370.0006, 119.6436
370.4828, 125.6812
370.9649, 134.2681
371.4470, 146.9253
371.9291, 165.6733
372.4112, 194.5430
372.8933, 223.3501
373.3755, 251.3569
373.8576, 278.2808
374.3397, 296.1343
374.8218, 298.4634
375.3039, 300.9800
375.7861, 317.6328
376.2682, 354.1113
376.7503, 380.2729
377.2324, 389.6421
377.7145, 388.0273
378.1967, 393.7251
378.6788, 408.5044
379.1609, 422.0498
379.6430, 424.6763
380.1251, 416.9072
380.6072, 422.9614
381.0894, 447.0850
381.5715, 479.4019
382.0536, 506.4312
382.5357, 528.5820
383.0178, 545.7715
383.4999, 552.7402
383.9821, 554.8550
384.4642, 568.4092
384.9463, 594.1147
385.4284, 627.0708
385.9105, 670.5396
386.3926, 718.3774
386.8748, 754.4570
387.3569, 765.0117
387.8390, 766.9648
388.3211, 782.1108
388.8032, 809.3701
389.2853, 836.7827
389.7675, 857.8320
390.2496, 874.1411
390.7317, 886.5723
391.2138, 891.9585
391.6959, 899.4189
392.1780, 917.1558
392.6602, 942.3906
393.1423, 966.4531
393.6244, 983.7007
394.1065, 1000.199
394.5886, 1021.375
395.0707, 1051.249
395.5529, 1075.260
396.0350, 1078.928
396.5171, 1076.042
396.9992, 1086.895
397.4813, 1145.768
397.9634, 1189.914
398.4456, 1194.373
398.9277, 1151.115
399.4098, 1118.488
399.8919, 1107.935
400.3740, 1105.082
400.8561, 1098.496
401.3383, 1083.232
401.8204, 1071.743
402.3025, 1067.581
402.7846, 1069.243
403.2667, 1066.954
403.7488, 1062.473
404.2310, 1051.711
404.7131, 1030.850
405.1952, 997.0454
405.6773, 964.7358
406.1594, 934.0352
406.6415, 905.7031
407.1237, 881.8911
407.6058, 863.3579
408.0879, 845.6401
408.5700, 827.7114
409.0521, 809.1870
409.5342, 785.7051
410.0164, 756.0234
410.4985, 726.9229
410.9806, 711.0234
411.4627, 705.1343
411.9448, 689.3477
412.4269, 653.9878
412.9091, 606.4912
413.3912, 558.6201
413.8733, 510.5288
414.3554, 469.1455
414.8375, 449.2119
415.3196, 437.6973
415.8018, 410.9639
416.2839, 356.1543
416.7660, 302.4355
417.2481, 281.2012
417.7302, 282.4224
418.2123, 281.9199
418.6945, 262.8657
419.1766, 241.0254
419.6587, 228.9194
420.1408, 229.9712
420.6229, 228.5068
421.1050, 220.8242
421.5872, 206.8027
422.0693, 185.7388
422.5514, 137.2964
423.0335, 101.1021
423.5156, 90.56982
423.9977, 105.0000
424.4799, 119.9878
424.9620, 137.5562
425.4441, 151.6064
425.9262, 159.0249
426.4083, 155.8081
426.8904, 151.9199
427.3726, 145.9341
427.8547, 138.6782
428.3368, 132.2769
428.8189, 126.3477
429.3010, 122.5400
429.7831, 120.9526
430.2653, 121.2441
430.7474, 127.5088
431.2295, 140.8027
431.7116, 158.6489
432.1937, 180.6528
432.6758, 208.5840
433.1580, 228.6035
433.6401, 229.6099
434.1222, 221.5747
434.6043, 240.8896
435.0864, 288.2876
435.5685, 343.3447
436.0507, 392.8096
436.5328, 437.0308
437.0149, 474.9351
437.4970, 503.7222
437.9791, 532.6777
438.4612, 577.0190
438.9434, 632.0938
439.4255, 681.3789
439.9076, 694.4531
440.3897, 709.0620
440.8718, 773.3325
441.3539, 894.0254
441.8361, 1009.543
442.3182, 1072.294
442.8003, 1117.041
443.2824, 1179.183
443.7645, 1293.815
444.2466, 1406.116
444.7288, 1483.718
445.2109, 1536.241
445.6930, 1611.027
446.1751, 1740.869
446.6572, 1879.479
447.1393, 2002.767
447.6215, 2094.950
448.1036, 2196.383
448.5857, 2323.587
449.0678, 2455.760
449.5499, 2562.859
450.0320, 2644.420
450.5142, 2698.626
450.9963, 2722.136
451.4784, 2715.248
451.9605, 2692.936
452.4426, 2654.847
452.9247, 2601.972
453.4069, 2534.048
453.8890, 2450.570
454.3711, 2352.545
454.8532, 2238.167
455.3353, 2109.729
455.8174, 1969.946
456.2996, 1818.043
456.7817, 1673.150
457.2638, 1553.485
457.7459, 1449.089
458.2281, 1327.075
458.7102, 1184.335
459.1923, 1044.940
459.6744, 933.7554
460.1565, 844.4541
460.6386, 768.4639
461.1208, 705.9497
461.6029, 650.7773
462.0850, 600.8340
462.5671, 554.8613
463.0492, 507.6631
463.5313, 453.0728
464.0135, 398.4722
464.4956, 347.9229
464.9777, 298.6758
465.4598, 261.7427
465.9419, 247.9663
466.4240, 246.8975
466.9062, 241.7803
467.3883, 219.8491
467.8704, 204.1816
468.3525, 207.6865
468.8346, 232.2222
469.3167, 229.4995
469.7989, 179.2700
470.2810, 123.9121
470.7631, 96.77637
471.2452, 111.5928
471.7273, 115.8042
472.2094, 100.9253
472.6916, 75.71533
473.1737, 62.19873
473.6558, 62.36084
474.1379, 62.87256
474.6200, 58.64600
475.1021, 49.89453
475.5843, 33.84717
476.0664, 9.481934
476.5485, 11.16162
477.0306, 4.441895
477.5127, 19.80908
477.9948, 29.37061
478.4770, 8.365723
478.9591, 23.90869
479.4412, 49.44287
479.9233, 67.75098
480.4054, 75.82080
480.8875, 66.11328
481.3697, 49.27539
481.8518, 32.56641
482.3339, 15.72021
482.8160, 5.370605
483.2981, 11.33398
483.7802, 23.52344
484.2624, 28.93164
484.7445, 18.07910
485.2266, 6.978516
485.7087, 0.5937500
486.1908, 4.780762
486.6729, 8.273438
487.1551, 11.21387
487.6372, 13.65332
488.1193, 16.32715
488.6014, 22.45264
489.0835, 20.18701
489.5656, 4.790527
490.0478, 14.39209
490.5299, 22.38721
491.0120, 17.20312
491.4941, 9.557617
491.9762, 2.087402
492.4583, 5.340332
492.9405, 14.34033
493.4226, 25.36426
493.9047, 33.64355
494.3868, 35.04248
494.8689, 30.58789
495.3510, 22.16797
495.8332, 8.281250
496.3153, 4.222656
496.7974, 8.594727
497.2795, 5.768555
497.7616, 2.256836
498.2437, 30.74609
498.7259, 52.11865
499.2080, 32.63867
499.6901, 25.69482
500.1722, 64.09131
500.6543, 41.06396
501.1364, 4.076172
501.6186, 43.15771
502.1007, 78.91309
502.5828, 96.04834
503.0649, 79.69238
503.5470, 44.11816
504.0291, 21.22021
504.5113, 20.16748
504.9934, 20.72656
505.4755, 18.22705
505.9576, 12.66064
506.4397, 5.296387
506.9218, 6.899902
507.4040, 15.52979
507.8861, 11.36377
508.3682, 7.160156
508.8503, 20.81543
509.3324, 26.16553
509.8145, 27.22900
510.2967, 32.24268
510.7788, 40.60254
511.2609, 46.55127
511.7430, 49.36670
512.2252, 47.17480
512.7073, 30.89258
513.1894, 0.7690430
513.6715, 22.21143
514.1536, 16.80811
514.6357, 3.663086
515.1179, 22.98926
515.6000, 38.77197
516.0821, 49.90088
516.5642, 52.91211
517.0463, 51.21094
517.5284, 51.74023
518.0106, 59.32812
518.4927, 67.14795
518.9748, 75.06201
519.4569, 84.18408
519.9390, 81.62402
520.4211, 52.98975
520.9033, 24.61621
521.3854, 15.57520
521.8675, 38.87061
522.3496, 50.75732
522.8317, 44.49268
523.3138, 29.02197
523.7960, 25.00195
524.2781, 34.74902
524.7602, 40.78271
525.2423, 31.21191
525.7244, 12.33203
526.2065, 16.25098
526.6887, 43.90527
527.1708, 74.20410
527.6529, 89.53027
528.1350, 93.85107
528.6171, 94.80322
529.0992, 92.57812
529.5814, 90.03516
530.0635, 88.28271
530.5456, 88.13135
531.0277, 91.24365
531.5098, 111.2729
531.9919, 123.0957
532.4741, 102.6016
532.9562, 52.12939
533.4383, 23.21973
533.9204, 45.23486
534.4025, 81.13867
534.8846, 109.6631
535.3668, 130.7407
535.8489, 142.2695
536.3310, 141.2339
536.8131, 132.1406
537.2952, 120.3525
537.7773, 101.8843
538.2595, 94.87451
538.7416, 110.4707
539.2237, 142.7637
539.7058, 153.6323
540.1879, 140.5264
540.6700, 129.8979
541.1522, 143.7026
541.6343, 175.4897
542.1164, 203.1060
542.5985, 223.1709
543.0806, 237.9741
543.5627, 246.3828
544.0449, 252.3198
544.5270, 263.5176
545.0091, 282.6426
545.4912, 308.1577
545.9733, 347.4336
546.4554, 394.4297
546.9376, 426.6553
547.4197, 413.4873
547.9018, 399.6846
548.3839, 411.5889
548.8660, 461.4492
549.3481, 504.7158
549.8303, 539.6846
550.3124, 565.7695
550.7945, 579.7539
551.2766, 569.2046
551.7587, 576.4263
552.2408, 615.0015
552.7230, 669.1514
553.2051, 692.9971
553.6872, 682.3550
554.1693, 669.4458
554.6514, 676.5791
555.1335, 695.7261
555.6157, 683.9370
556.0978, 640.1846
556.5799, 588.9360
557.0620, 551.7617
557.5441, 520.2515
558.0262, 481.5771
558.5084, 434.5449
558.9905, 391.7402
559.4726, 355.1265
559.9547, 326.1416
560.4368, 307.9170
560.9189, 313.9312
561.4011, 319.5571
561.8832, 315.8291
562.3653, 302.7080
562.8474, 284.7681
563.3295, 251.4595
563.8116, 225.4302
564.2938, 217.0693
564.7759, 240.3154
565.2580, 244.4995
565.7401, 221.4292
566.2222, 192.5557
566.7043, 185.0698
567.1865, 200.8447
567.6686, 210.7681
568.1507, 205.6401
568.6328, 194.2300
569.1149, 199.2646
569.5970, 219.1475
570.0792, 236.6919
570.5613, 245.5923
571.0434, 243.0913
571.5255, 220.5684
572.0076, 179.1870
572.4897, 144.5952
572.9719, 134.9336
573.4540, 140.0698
573.9361, 148.7432
574.4182, 160.8535
574.9003, 170.8169
575.3824, 177.0742
575.8646, 180.1875
576.3467, 180.9502
576.8288, 178.9595
577.3109, 176.6675
577.7930, 174.3975
578.2751, 172.5127
578.7573, 162.0566
579.2394, 140.8589
579.7215, 118.1738
580.2036, 94.63135
580.6857, 70.46484
581.1678, 64.43750
581.6500, 80.88428
582.1321, 101.1641
582.6142, 99.51611
583.0963, 82.01904
583.5784, 68.28076
584.0605, 69.14258
584.5427, 71.95850
585.0248, 58.53857
585.5069, 34.78662
585.9890, 17.70312
586.4711, 16.67676
586.9532, 23.58105
587.4354, 38.39990
587.9175, 61.73584
588.3996, 74.99951
588.8817, 69.81445
589.3638, 56.77393
589.8459, 40.70898
590.3281, 9.782227
590.8102, 1.295898
591.2923, 24.06592
591.7744, 60.33984
592.2565, 81.41504
592.7386, 85.93799
593.2208, 82.47705
593.7029, 68.72168
594.1850, 52.05420
594.6671, 57.16846
595.1492, 81.30566
595.6313, 98.24854
596.1135, 81.25293
596.5956, 52.33643
597.0777, 46.52539
597.5598, 66.77686
598.0419, 78.56494
598.5240, 46.57129
599.0062, 3.487305
599.4883, 20.35645
599.9704, 11.83496
600.4525, 5.869141
600.9346, 37.12402
601.4167, 72.26221
601.8989, 94.58789
602.3810, 98.07959
602.8631, 97.09180
603.3452, 92.96045
603.8273, 86.28223
604.3094, 80.58398
604.7916, 75.68408
605.2737, 72.06396
605.7558, 69.78516
606.2379, 68.96436
606.7200, 72.88037
607.2021, 82.53857
607.6843, 86.61670
608.1664, 64.12012
608.6485, 31.32080
609.1306, 17.95166
609.6127, 40.07080
610.0948, 63.88818
610.5770, 65.96631
611.0591, 55.18701
611.5412, 46.60059
612.0233, 42.73682
612.5054, 43.77344
612.9875, 52.93896
613.4697, 69.01953
613.9518, 79.30566
614.4339, 83.14258
614.9160, 82.24854
615.3981, 76.42725
615.8802, 65.26953
616.3624, 54.52588
616.8445, 43.81836
617.3266, 34.91357
617.8087, 30.34521
618.2908, 29.35938
618.7729, 29.48584
619.2551, 31.96826
619.7372, 30.27686
620.2193, 6.976563
620.7014, 25.70557
621.1835, 41.75195
621.6656, 8.899902
622.1478, 24.30420
622.6299, 27.74268
623.1120, 7.718750
623.5941, 7.555176
624.0762, 10.59814
624.5583, 7.395020
625.0405, 2.514648
625.5226, 21.25439
626.0047, 28.12256
626.4868, 15.11914
626.9689, 2.525391
627.4510, 8.616699
627.9332, 35.02686
628.4153, 58.46973
628.8974, 79.48877
629.3795, 89.37451
629.8616, 64.93359
630.3438, 16.83398
630.8259, 15.66846
631.3080, 15.39111
631.7901, 1.180176
632.2722, 30.25781
632.7543, 63.68457
633.2365, 77.43359
633.7186, 36.18652
634.2007, 5.133301
634.6828, 15.15479
635.1649, 9.671875
635.6470, 27.37939
636.1292, 27.44336
636.6113, 25.66357
637.0934, 31.42871
637.5755, 49.41992
638.0576, 57.01562
638.5397, 50.18164
639.0219, 40.84717
639.5040, 45.27246
639.9861, 62.20801
640.4682, 75.52539
640.9503, 82.31738
641.4324, 82.21777
641.9146, 68.48389
642.3967, 46.72070
642.8788, 32.48438
643.3609, 38.90820
643.8430, 50.47070
644.3251, 57.71484
644.8073, 61.02539
645.2894, 63.57861
645.7715, 61.72656
646.2536, 63.34131
646.7357, 73.57812
647.2178, 94.17969
647.7000, 113.4395
648.1821, 135.7861
648.6642, 149.9619
649.1463, 141.9702
649.6284, 108.4668
650.1105, 93.77002
650.5927, 105.1064
651.0748, 125.3115
651.5569, 129.7251
652.0390, 122.7114
652.5211, 119.2822
653.0032, 126.2783
653.4854, 135.8335
653.9675, 143.6860
654.4496, 148.1592
654.9317, 146.9673
655.4138, 121.4644
655.8959, 107.8501
656.3781, 131.4854
656.8602, 191.1973
657.3423, 228.2788
657.8244, 222.7017
658.3065, 221.5449
658.7886, 252.8931
659.2708, 325.3320
659.7529, 356.0122
660.2350, 334.9434
660.7171, 305.3013
661.1992, 304.5220
661.6813, 328.7324
662.1635, 366.8652
662.6456, 420.5620
663.1277, 474.7358
663.6099, 512.0034
664.0920, 538.6206
664.5741, 566.3599
665.0562, 595.2334
665.5383, 631.3115
666.0204, 680.2397
666.5026, 738.3877
666.9847, 795.8311
667.4668, 859.0952
667.9489, 912.5518
668.4310, 948.7344
668.9131, 969.8843
669.3953, 1005.535
669.8774, 1061.017
670.3595, 1113.128
670.8416, 1145.884
671.3237, 1161.877
671.8058, 1178.576
672.2880, 1196.033
672.7701, 1214.266
673.2522, 1238.239
673.7343, 1261.122
674.2164, 1274.981
674.6985, 1280.550
675.1807, 1268.955
675.6628, 1226.461
676.1449, 1167.842
676.6270, 1110.538
677.1091, 1053.787
677.5912, 1005.245
678.0734, 973.4468
678.5555, 945.9932
679.0376, 895.3101
679.5197, 816.0718
680.0018, 746.8052
680.4839, 700.8066
680.9661, 670.9385
681.4482, 633.9214
681.9303, 590.8315
682.4124, 546.5205
682.8945, 502.4399
683.3766, 460.2183
683.8588, 422.5332
684.3409, 389.0815
684.8230, 358.3652
685.3051, 332.8711
685.7872, 307.5977
686.2693, 276.2778
686.7515, 228.9502
687.2336, 202.5142
687.7157, 211.3672
688.1978, 229.4438
688.6799, 231.4194
689.1620, 212.6299
689.6442, 207.5947
690.1263, 223.9995
690.6084, 242.4194
691.0905, 223.2866
691.5726, 175.7222
692.0547, 146.8486
692.5369, 162.0547
693.0190, 187.1953
693.5011, 180.8315
693.9832, 152.3496
694.4653, 125.2021
694.9474, 101.4434
695.4296, 89.06885
695.9117, 102.9697
696.3938, 138.5576
696.8759, 146.2593
697.3580, 102.1382
697.8401, 61.51855
698.3223, 46.74707
698.8044, 58.33496
699.2865, 70.17285
699.7686, 82.65088
700.2507, 93.34424
700.7328, 100.9673
701.2150, 105.0854
701.6971, 103.0254
702.1792, 93.73193
702.6613, 84.91113
703.1434, 81.54004
703.6255, 82.45654
704.1077, 87.03906
704.5898, 98.36865
705.0719, 106.6538
705.5540, 112.1655
706.0361, 111.8706
706.5182, 100.6665
707.0004, 66.66357
707.4825, 48.41553
707.9646, 56.85254
708.4467, 78.47656
708.9288, 85.64307
709.4109, 78.56104
709.8931, 61.91650
710.3752, 30.69727
710.8573, 2.222168
711.3394, 16.97070
711.8215, 15.53711
712.3036, 5.699707
712.7858, 19.68115
713.2679, 42.55908
713.7500, 45.05273
714.2321, 28.33887
714.7142, 25.73535
715.1964, 67.58691
715.6785, 101.1440
716.1606, 102.8604
716.6427, 68.78174
717.1248, 37.11621
717.6069, 5.474121
718.0891, 15.79541
718.5712, 13.74658
719.0533, 7.354492
719.5354, 33.14697
720.0175, 64.65186
720.4996, 83.67773
720.9818, 63.51025
721.4639, 25.25879
721.9460, 3.654297
722.4281, 14.60840
722.9102, 19.67529
