##NAMES=Riebeckite
##RRUFFID=R120033
##IDEAL CHEMISTRY=[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_
##LOCALITY=Zagi Mountain, Hameed Abad Kafoor Dheri, Peshawar, Khyber Pakhtunkhwa, Pakistan
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Black prismatic crystals associated with titanite, R120030
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120033
228.5247, 50.59842
229.0068, 50.39761
229.4889, 51.54935
229.9710, 53.42252
230.4531, 54.62115
230.9353, 54.64313
231.4174, 54.76385
231.8995, 56.02902
232.3816, 58.10242
232.8637, 60.26831
233.3458, 62.45078
233.8280, 64.51846
234.3101, 65.86908
234.7922, 66.06946
235.2743, 66.13174
235.7564, 66.71198
236.2385, 67.61420
236.7207, 68.42056
237.2028, 68.82535
237.6849, 68.92847
238.1670, 69.26877
238.6491, 70.28564
239.1312, 70.88193
239.6134, 70.67871
240.0955, 69.81808
240.5776, 68.49677
241.0597, 66.72025
241.5418, 64.61359
242.0239, 62.82233
242.5061, 61.82755
242.9882, 60.43674
243.4703, 57.94183
243.9524, 54.94464
244.4345, 52.37009
244.9166, 50.76779
245.3988, 49.85095
245.8809, 48.37802
246.3630, 45.86386
246.8451, 43.39810
247.3272, 41.02994
247.8093, 38.88654
248.2915, 37.22794
248.7736, 36.23853
249.2557, 35.67639
249.7378, 34.55936
250.2199, 32.40048
250.7020, 30.17831
251.1842, 27.85233
251.6663, 25.61667
252.1484, 23.73663
252.6305, 22.32816
253.1126, 21.27371
253.5947, 20.15875
254.0769, 18.80832
254.5590, 17.63495
255.0411, 16.74704
255.5232, 16.01306
256.0053, 15.21222
256.4874, 14.25879
256.9695, 13.34351
257.4517, 12.92856
257.9338, 13.46002
258.4159, 14.00998
258.8980, 14.70569
259.3801, 15.35779
259.8622, 15.66849
260.3444, 15.54620
260.8265, 15.31641
261.3086, 15.60083
261.7907, 16.83920
262.2728, 17.93643
262.7549, 18.78268
263.2371, 19.53024
263.7192, 20.32144
264.2013, 21.19650
264.6834, 22.10269
265.1655, 22.93924
265.6476, 23.56219
266.1298, 24.51602
266.6119, 26.33521
267.0940, 28.20642
267.5761, 29.33768
268.0582, 29.58612
268.5403, 29.39029
269.0225, 29.28311
269.5046, 29.36240
269.9867, 28.91843
270.4688, 27.53009
270.9509, 25.86838
271.4330, 24.59903
271.9152, 23.78052
272.3973, 22.83377
272.8794, 21.11261
273.3615, 18.54285
273.8436, 16.45209
274.3257, 15.48199
274.8079, 14.54480
275.2900, 12.58191
275.7721, 9.606049
276.2542, 6.775757
276.7363, 5.051178
277.2184, 4.318542
277.7006, 3.080078
278.1827, 0.5092160
278.6648, 1.900970
279.1469, 2.953522
279.6290, 2.746368
280.1111, 2.271545
280.5933, 2.026276
281.0754, 1.996155
281.5575, 1.997345
282.0396, 2.033051
282.5217, 2.099335
283.0038, 2.230255
283.4860, 2.408722
283.9681, 2.520355
284.4502, 2.460480
284.9323, 2.314056
285.4144, 2.367401
285.8965, 2.878601
286.3787, 3.003143
286.8608, 1.762054
287.3429, 0.3810120
287.8250, 1.625671
288.3071, 1.059845
288.7892, 0.2359620
289.2714, 0.5949100
289.7535, 9.5917001E-02
290.2356, 0.6606750
290.7177, 0.3500670
291.1998, 0.5097960
291.6819, 1.036865
292.1641, 0.9652710
292.6462, 0.6598210
293.1283, 0.5489200
293.6104, 0.6038820
294.0925, 0.5457460
294.5746, 0.3422240
295.0568, 6.2652998E-02
295.5389, 0.9595030
296.0210, 2.628204
296.5031, 4.049255
296.9852, 4.121368
297.4673, 3.223511
297.9495, 2.251465
298.4316, 1.209534
298.9137, 0.3705440
299.3958, 0.3703310
299.8779, 1.432770
300.3600, 2.293518
300.8422, 1.759125
301.3243, 0.4937130
301.8064, 0.3782350
302.2885, 0.5425110
302.7706, 0.2970890
303.2527, 0.1588900
303.7349, 0.8562320
304.2170, 1.330368
304.6991, 1.257706
305.1812, 0.8684540
305.6633, 0.4308470
306.1454, 9.9868998E-02
306.6276, 0.4817350
307.1097, 0.4577640
307.5918, 4.5226999E-02
308.0739, 0.4538120
308.5560, 0.9920960
309.0381, 1.535553
309.5203, 2.081436
310.0024, 2.641693
310.4845, 3.079803
310.9666, 3.205444
311.4487, 3.094193
311.9308, 3.125381
312.4130, 3.396591
312.8951, 3.800598
313.3772, 4.270218
313.8593, 4.791061
314.3414, 5.262482
314.8235, 5.557083
315.3057, 5.767975
315.7878, 6.193558
316.2699, 6.981400
316.7520, 7.681915
317.2341, 7.718887
317.7162, 7.411407
318.1984, 7.488190
318.6805, 8.576309
319.1626, 10.03195
319.6447, 10.71123
320.1268, 10.43364
320.6089, 10.30034
321.0911, 11.42899
321.5732, 12.94861
322.0553, 13.51756
322.5374, 12.38548
323.0195, 11.02919
323.5016, 11.24680
323.9838, 13.05365
324.4659, 14.40082
324.9480, 14.31631
325.4301, 13.47459
325.9122, 12.69051
326.3943, 11.98460
326.8765, 11.40422
327.3586, 11.01274
327.8407, 10.78514
328.3228, 10.61783
328.8049, 10.54817
329.2870, 10.44380
329.7692, 10.13129
330.2513, 9.633240
330.7334, 9.194138
331.2155, 9.051971
331.6976, 9.044464
332.1797, 8.806107
332.6619, 8.298859
333.1440, 7.559647
333.6261, 6.308472
334.1082, 4.817169
334.5903, 3.784424
335.0724, 3.850418
335.5546, 4.284103
336.0367, 4.140625
336.5188, 3.318588
337.0009, 2.220673
337.4830, 0.8210600
337.9651, 0.5328520
338.4473, 1.194626
338.9294, 0.8185420
339.4115, 0.2061770
339.8936, 1.6144000E-02
340.3758, 0.1875310
340.8579, 0.2241520
341.3400, 0.1403960
341.8221, 0.6457370
342.3042, 0.8536830
342.7863, 0.7041170
343.2685, 0.6313630
343.7506, 0.9178310
344.2327, 1.436646
344.7148, 1.818542
345.1969, 1.870087
345.6790, 2.036118
346.1612, 3.256683
346.6433, 5.321671
347.1254, 6.839294
347.6075, 6.862915
348.0896, 6.466705
348.5717, 7.081650
349.0539, 8.826141
349.5360, 10.79291
350.0181, 12.42387
350.5002, 13.75406
350.9823, 14.99367
351.4644, 15.71629
351.9466, 16.71823
352.4287, 18.80449
352.9108, 21.75748
353.3929, 24.49109
353.8750, 26.36412
354.3571, 27.77057
354.8393, 29.73999
355.3214, 32.54199
355.8035, 35.20575
356.2856, 37.15163
356.7677, 38.75217
357.2498, 40.82404
357.7320, 43.68874
358.2141, 46.63014
358.6962, 48.65894
359.1783, 49.64789
359.6604, 50.46889
360.1425, 51.45593
360.6247, 52.25049
361.1068, 52.19730
361.5889, 51.33945
362.0710, 50.82925
362.5531, 51.80833
363.0352, 54.23889
363.5174, 55.69710
363.9995, 55.48163
364.4816, 55.07648
364.9637, 55.35437
365.4458, 56.06055
365.9279, 56.34848
366.4101, 55.70433
366.8922, 54.49355
367.3743, 53.95358
367.8564, 54.52454
368.3385, 55.08493
368.8206, 55.46304
369.3028, 55.76987
369.7849, 56.18562
370.2670, 56.74825
370.7491, 57.26575
371.2312, 57.49139
371.7133, 57.43379
372.1955, 56.96075
372.6776, 55.64883
373.1597, 54.31299
373.6418, 53.74854
374.1239, 53.72714
374.6060, 53.24159
375.0882, 51.44075
375.5703, 48.36597
376.0524, 45.25653
376.5345, 41.80957
377.0166, 38.65428
377.4987, 35.96205
377.9809, 33.63286
378.4630, 31.49811
378.9451, 29.48033
379.4272, 27.63170
379.9093, 26.12561
380.3914, 25.45695
380.8736, 24.26744
381.3557, 22.01595
381.8378, 19.63210
382.3199, 17.80681
382.8020, 16.61520
383.2841, 15.68477
383.7663, 14.63985
384.2484, 13.48108
384.7305, 12.20070
385.2126, 10.34555
385.6947, 8.797638
386.1768, 7.926086
386.6590, 7.576614
387.1411, 7.401978
387.6232, 7.188614
388.1053, 7.002029
388.5874, 7.168060
389.0695, 8.185669
389.5517, 8.598648
390.0338, 7.628036
390.5159, 6.293594
390.9980, 5.596664
391.4801, 5.790466
391.9622, 6.168549
392.4444, 5.702805
392.9265, 4.303345
393.4086, 3.424423
393.8907, 3.763824
394.3728, 4.173859
394.8549, 3.883835
395.3371, 2.976639
395.8192, 2.004379
396.3013, 1.423264
396.7834, 1.228729
397.2655, 1.150803
397.7477, 1.175598
398.2298, 1.225296
398.7119, 1.209686
399.1940, 1.261826
399.6761, 1.573914
400.1582, 2.267593
400.6404, 3.005280
401.1225, 3.484512
401.6046, 3.751709
402.0867, 3.857193
402.5688, 3.845078
403.0509, 3.726181
403.5331, 3.455444
404.0152, 3.025635
404.4973, 2.770767
404.9794, 3.071060
405.4615, 3.571640
405.9436, 3.494965
406.4258, 2.665588
406.9079, 2.019577
407.3900, 2.458405
407.8721, 3.789307
408.3542, 4.892654
408.8363, 5.585266
409.3185, 6.128357
409.8006, 6.712891
410.2827, 7.291779
410.7648, 7.578735
411.2469, 7.306335
411.7290, 6.950821
412.2112, 7.751358
412.6933, 10.26266
413.1754, 12.35208
413.6575, 13.42786
414.1396, 14.01715
414.6217, 14.66402
415.1039, 15.46564
415.5860, 16.21053
416.0681, 16.64211
416.5502, 16.70045
417.0323, 17.11264
417.5144, 18.12711
417.9966, 19.19867
418.4787, 20.08006
418.9608, 20.85641
419.4429, 21.71208
419.9250, 22.74094
420.4071, 23.93320
420.8893, 25.27679
421.3714, 26.93648
421.8535, 28.41031
422.3356, 29.41620
422.8177, 30.46660
423.2998, 32.08006
423.7820, 34.24512
424.2641, 36.42450
424.7462, 38.03204
425.2283, 39.00632
425.7104, 40.09042
426.1925, 41.46599
426.6747, 42.76544
427.1568, 43.91299
427.6389, 44.91302
428.1210, 45.81514
428.6031, 46.66275
429.0852, 47.29865
429.5674, 47.42558
430.0495, 47.02231
430.5316, 46.21983
431.0137, 45.03685
431.4958, 43.44801
431.9779, 41.24202
432.4601, 38.46687
432.9422, 35.67888
433.4243, 33.45882
433.9064, 31.61781
434.3885, 29.19156
434.8706, 25.81506
435.3528, 22.57344
435.8349, 20.07506
436.3170, 18.18132
436.7991, 16.77928
437.2812, 16.15436
437.7633, 15.58240
438.2455, 14.24419
438.7276, 12.26160
439.2097, 10.57573
439.6918, 9.651382
440.1739, 8.962296
440.6560, 7.596756
441.1382, 5.474335
441.6203, 3.713150
442.1024, 2.711212
442.5845, 2.185181
443.0666, 1.890854
443.5487, 1.786163
444.0309, 1.820755
444.5130, 2.025620
444.9951, 2.348267
445.4772, 2.306213
445.9593, 1.753143
446.4414, 1.070068
446.9236, 0.2753910
447.4057, 0.5497590
447.8878, 1.382401
448.3699, 2.205170
448.8520, 2.778183
449.3341, 2.667450
449.8163, 1.430099
450.2984, 0.7751920
450.7805, 1.144363
451.2626, 1.601364
451.7447, 1.776276
452.2268, 1.620499
452.7090, 1.110458
453.1911, 0.1696010
453.6732, 1.009659
454.1553, 1.573853
454.6374, 0.9935460
455.1195, 0.7134860
455.6017, 1.166351
456.0838, 1.845627
456.5659, 2.474075
457.0480, 2.945206
457.5301, 3.024017
458.0122, 2.107346
458.4944, 0.2265780
458.9765, 0.5575710
459.4586, 0.4505920
459.9407, 1.632935
460.4228, 2.212250
460.9049, 2.355087
461.3871, 2.294205
461.8692, 1.937531
462.3513, 1.696198
462.8334, 2.289505
463.3155, 3.673752
463.7976, 4.629715
464.2798, 4.572113
464.7619, 4.165634
465.2440, 4.360077
465.7261, 5.176575
466.2082, 5.695633
466.6903, 5.282516
467.1725, 4.578064
467.6546, 4.457550
468.1367, 4.952667
468.6188, 5.392441
469.1009, 5.357773
469.5830, 4.893845
470.0652, 4.229263
470.5473, 2.810547
471.0294, 1.915314
471.5115, 2.496765
471.9936, 3.518753
472.4757, 3.458664
472.9579, 1.997635
473.4400, 0.3116000
473.9221, 0.1245570
474.4042, 1.003418
474.8863, 1.559464
475.3684, 1.128799
475.8506, 0.6419980
476.3327, 0.4471590
476.8148, 0.4305730
477.2969, 0.3146360
477.7790, 4.1382000E-02
478.2611, 0.4326930
478.7433, 0.3472900
479.2254, 0.4845120
479.7075, 1.027130
480.1896, 1.023849
480.6717, 0.8197780
481.1538, 0.4247590
481.6360, 4.8431002E-02
482.1181, 0.2616580
482.6002, 0.2020420
483.0823, 1.032211
483.5644, 1.299042
484.0465, 0.8649900
484.5287, 0.3615110
485.0108, 3.9963000E-02
485.4929, 0.3047940
485.9750, 0.3838810
486.4571, 0.2581180
486.9392, 7.0190001E-03
487.4214, 0.4487610
487.9035, 0.9773560
488.3856, 1.204483
488.8677, 1.026886
489.3498, 0.9203340
489.8319, 1.396729
490.3141, 2.386063
