##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
288.0666, 28.21362
288.5487, 12.85132
289.0309, 10.47021
289.5130, 16.93726
289.9951, 7.267822
290.4772, 27.00659
290.9593, 69.51489
291.4414, 84.82617
291.9236, 75.42285
292.4057, 70.40991
292.8878, 98.83765
293.3699, 147.7756
293.8520, 173.2659
294.3341, 165.4783
294.8163, 144.7603
295.2984, 139.2354
295.7805, 147.3416
296.2626, 159.8835
296.7447, 175.7598
297.2268, 191.6724
297.7090, 199.2129
298.1911, 196.1086
298.6732, 189.0112
299.1553, 182.5281
299.6374, 177.8428
300.1195, 179.4004
300.6017, 195.0325
301.0838, 216.9189
301.5659, 231.2834
302.0480, 235.8728
302.5301, 239.6428
303.0122, 251.6704
303.4944, 269.8120
303.9765, 289.1167
304.4586, 308.4070
304.9407, 326.6306
305.4228, 342.8452
305.9049, 356.7485
306.3871, 369.1450
306.8692, 376.1785
307.3513, 382.2756
307.8334, 395.4790
308.3155, 426.8264
308.7976, 462.0476
309.2798, 486.8735
309.7619, 500.0520
310.2440, 515.7207
310.7261, 541.4126
311.2082, 575.2803
311.6903, 615.0173
312.1725, 662.5801
312.6546, 714.0356
313.1367, 768.6553
313.6188, 826.0276
314.1009, 882.3606
314.5830, 935.8110
315.0652, 986.5171
315.5473, 1035.360
316.0294, 1071.910
316.5115, 1116.198
316.9936, 1179.788
317.4757, 1261.232
317.9579, 1344.652
318.4400, 1422.313
318.9221, 1501.106
319.4042, 1585.432
319.8863, 1680.066
320.3684, 1777.277
320.8506, 1873.994
321.3327, 1971.126
321.8148, 2073.750
322.2969, 2182.651
322.7790, 2298.058
323.2611, 2418.954
323.7433, 2552.065
324.2254, 2683.515
324.7075, 2805.069
325.1896, 2922.244
325.6717, 3054.774
326.1538, 3218.470
326.6360, 3386.727
327.1181, 3549.640
327.6002, 3701.161
328.0823, 3850.991
328.5644, 3999.708
329.0465, 4146.697
329.5287, 4290.703
330.0108, 4434.991
330.4929, 4572.761
330.9750, 4704.309
331.4571, 4831.750
331.9392, 4943.618
332.4214, 5035.408
332.9035, 5113.110
333.3856, 5188.569
333.8677, 5272.838
334.3498, 5330.320
334.8319, 5346.910
335.3141, 5318.109
335.7962, 5283.673
336.2783, 5248.458
336.7604, 5201.704
337.2425, 5126.918
337.7246, 5017.838
338.2068, 4901.832
338.6889, 4784.353
339.1710, 4665.833
339.6531, 4543.422
340.1352, 4416.981
340.6173, 4286.848
341.0995, 4151.851
341.5816, 4013.391
342.0637, 3878.948
342.5458, 3748.681
343.0279, 3625.107
343.5100, 3521.174
343.9922, 3438.592
344.4743, 3359.625
344.9564, 3266.824
345.4385, 3163.060
345.9206, 3074.573
346.4027, 3009.699
346.8849, 2956.106
347.3670, 2893.499
347.8491, 2823.117
348.3312, 2751.732
348.8133, 2676.899
349.2954, 2605.293
349.7776, 2555.748
350.2597, 2536.425
350.7418, 2524.936
351.2239, 2492.722
351.7060, 2444.544
352.1881, 2398.357
352.6703, 2363.251
353.1524, 2336.224
353.6345, 2312.627
354.1166, 2291.843
354.5988, 2276.969
355.0809, 2273.590
355.5630, 2277.849
356.0451, 2282.833
356.5272, 2282.227
357.0093, 2283.416
357.4915, 2292.106
357.9736, 2308.576
358.4557, 2329.641
358.9378, 2346.075
359.4199, 2368.748
359.9020, 2409.867
360.3842, 2497.866
360.8663, 2582.592
361.3484, 2637.798
361.8305, 2666.770
362.3126, 2701.038
362.7947, 2746.578
363.2769, 2804.009
363.7590, 2874.414
364.2411, 2974.872
364.7232, 3068.711
365.2053, 3140.533
365.6874, 3198.409
366.1696, 3268.867
366.6517, 3373.803
367.1338, 3477.181
367.6159, 3563.765
368.0980, 3621.805
368.5801, 3682.451
369.0623, 3747.619
369.5444, 3815.230
370.0265, 3882.317
370.5086, 3954.625
370.9907, 4018.114
371.4728, 4068.087
371.9550, 4104.252
372.4371, 4129.532
372.9192, 4140.097
373.4013, 4143.821
373.8834, 4150.958
374.3655, 4164.545
374.8477, 4173.027
375.3298, 4173.901
375.8119, 4167.336
376.2940, 4154.972
376.7761, 4137.601
377.2582, 4112.561
377.7404, 4075.557
378.2225, 4025.589
378.7046, 3977.229
379.1867, 3934.579
379.6688, 3893.261
380.1509, 3841.741
380.6331, 3780.463
381.1152, 3717.072
381.5973, 3660.050
382.0794, 3606.912
382.5615, 3545.916
383.0436, 3471.426
383.5258, 3396.251
384.0079, 3340.648
384.4900, 3300.083
384.9721, 3252.496
385.4542, 3174.203
385.9363, 3085.201
386.4185, 3016.814
386.9006, 2971.011
387.3827, 2932.295
387.8648, 2895.787
388.3469, 2856.897
388.8290, 2808.310
389.3112, 2727.282
389.7933, 2650.451
390.2754, 2613.673
390.7575, 2613.979
391.2396, 2610.302
391.7217, 2570.147
392.2039, 2520.881
392.6860, 2487.625
393.1681, 2486.489
393.6502, 2488.521
