##NAMES=Gustavite
##RRUFFID=R110011
##IDEAL CHEMISTRY=AgPbBi_3_S_6_
##LOCALITY=Rotgulden, Salzburg, Austria
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Black bladed reticulated crystals associated with arsenopyrite, siderite and pyrrhotite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110011
253.1126, 137.3881
253.5947, 135.4900
254.0768, 134.3487
254.5590, 132.5761
255.0411, 129.4271
255.5232, 125.7506
256.0053, 122.6048
256.4874, 120.4641
256.9695, 118.8482
257.4517, 116.5842
257.9338, 113.0193
258.4159, 109.4701
258.8980, 105.8080
259.3801, 102.1753
259.8622, 98.73871
260.3444, 95.55121
260.8265, 92.44037
261.3086, 89.07404
261.7907, 85.07088
262.2728, 81.43335
262.7549, 78.18393
263.2371, 75.32025
263.7192, 72.94626
264.2013, 71.05463
264.6834, 69.35684
265.1655, 67.43547
265.6476, 65.20554
266.1298, 62.90050
266.6119, 60.32822
267.0940, 57.78035
267.5761, 55.58978
268.0582, 53.81955
268.5403, 52.27045
269.0225, 50.74399
269.5046, 49.26064
269.9867, 47.57973
270.4688, 45.59351
270.9509, 43.50479
271.4330, 41.40050
271.9152, 39.33292
272.3973, 37.51172
272.8794, 36.21463
273.3615, 35.48177
273.8436, 34.60713
274.3257, 33.23819
274.8079, 31.94925
275.2900, 31.39413
275.7721, 31.54755
276.2542, 31.59955
276.7363, 30.89583
277.2184, 29.50627
277.7006, 28.31628
278.1827, 27.60234
278.6648, 26.86949
279.1469, 25.67630
279.6290, 24.09538
280.1111, 22.55284
280.5933, 21.20772
281.0754, 20.13229
281.5575, 19.44876
282.0396, 19.62325
282.5217, 19.68190
283.0038, 18.87512
283.4860, 17.36287
283.9681, 15.95161
284.4502, 15.02826
284.9323, 14.40076
285.4144, 13.61823
285.8965, 12.59344
286.3787, 11.65492
286.8608, 11.01848
287.3429, 10.63058
287.8250, 10.28897
288.3071, 9.959503
288.7892, 9.606796
289.2714, 9.245300
289.7535, 8.913040
290.2356, 8.274948
290.7177, 6.788025
291.1998, 4.883240
291.6819, 3.766296
292.1641, 3.955246
292.6462, 4.486755
293.1283, 4.238571
293.6104, 3.315231
294.0925, 2.456329
294.5746, 1.885132
295.0568, 1.586533
295.5389, 1.614868
296.0210, 2.085526
296.5031, 2.565460
296.9852, 2.637466
297.4673, 2.414093
297.9495, 2.160934
298.4316, 1.993988
298.9137, 1.842224
299.3958, 1.541367
299.8779, 1.031754
300.3600, 0.6515500
300.8422, 0.8935850
301.3243, 1.384445
301.8064, 1.448303
302.2885, 0.6591340
302.7706, 0.3652570
303.2527, 0.8325500
303.7349, 0.6960370
304.2170, 0.7053990
304.6991, 1.559212
305.1812, 2.581818
305.6633, 2.776398
306.1454, 1.759201
306.6276, 0.5506360
307.1097, 4.9060001E-03
307.5918, 9.8320000E-02
308.0739, 0.4304660
308.5560, 1.105553
309.0381, 1.744202
309.5203, 1.825630
310.0024, 1.273880
310.4845, 0.8445130
310.9666, 1.314407
311.4487, 2.438614
311.9308, 2.925804
312.4130, 2.199524
312.8951, 1.247978
313.3772, 0.9810710
313.8593, 1.315384
314.3414, 1.762512
314.8235, 2.217667
315.3057, 2.603897
315.7878, 2.716881
316.2699, 2.492752
316.7520, 2.110611
317.2341, 1.598511
317.7162, 1.024109
318.1984, 0.5444560
318.6805, 0.1414340
319.1626, 9.6648999E-02
319.6447, 5.6830999E-02
320.1268, 0.6878890
320.6089, 1.270004
321.0911, 1.497185
321.5732, 1.490997
322.0553, 1.396515
322.5374, 1.249725
323.0195, 1.012665
323.5016, 0.5051270
323.9838, 0.2768480
324.4659, 0.6900100
324.9480, 0.2119060
325.4301, 0.5665890
325.9122, 0.9253620
326.3943, 0.7972260
326.8765, 0.4683990
327.3586, 6.5865003E-02
327.8407, 0.7156140
328.3228, 0.8752520
328.8049, 0.1334920
329.2870, 0.7757640
329.7692, 1.095306
330.2513, 0.8677520
330.7334, 0.5103070
331.2155, 0.2161330
331.6976, 6.1744999E-02
332.1797, 0.4749300
332.6619, 1.100281
333.1440, 1.689041
333.6261, 2.138573
334.1082, 2.415886
334.5903, 2.347580
335.0724, 1.386299
335.5546, 0.2967760
336.0367, 0.2543870
336.5188, 1.368042
337.0009, 2.378830
337.4830, 2.305252
337.9651, 1.740555
338.4473, 1.864548
338.9294, 3.245560
339.4115, 4.638542
339.8936, 4.927917
340.3757, 4.250008
340.8578, 3.610275
341.3400, 3.318535
341.8221, 3.314461
342.3042, 3.559509
342.7863, 4.143776
343.2684, 4.489792
343.7505, 4.094902
344.2327, 3.259033
344.7148, 2.725525
345.1969, 2.699089
345.6790, 2.865761
346.1611, 2.787758
346.6432, 2.517334
347.1254, 2.560898
347.6075, 3.388168
348.0896, 4.436150
348.5717, 4.934502
349.0538, 4.803223
349.5359, 4.632050
350.0181, 4.923759
350.5002, 5.543594
350.9823, 5.859520
351.4644, 5.542076
351.9465, 5.165024
352.4286, 5.136978
352.9108, 5.398155
353.3929, 5.640480
353.8750, 5.684341
354.3571, 5.652473
354.8392, 5.872124
355.3214, 6.480331
355.8035, 7.001022
356.2856, 7.231056
356.7677, 7.263229
357.2498, 7.280067
357.7319, 7.345848
358.2141, 7.326675
358.6962, 6.927994
359.1783, 6.022934
359.6604, 5.549355
360.1425, 5.920639
360.6246, 6.572395
361.1068, 7.053772
361.5889, 7.316917
362.0710, 7.370583
362.5531, 7.154274
363.0352, 6.651978
363.5173, 6.260132
363.9995, 5.961823
364.4816, 5.886253
364.9637, 6.153053
365.4458, 6.655128
365.9279, 7.179138
366.4100, 7.622253
366.8922, 7.936287
367.3743, 7.995956
367.8564, 7.736679
368.3385, 7.410866
368.8206, 6.742462
369.3027, 6.043449
369.7849, 5.897781
370.2670, 6.505180
370.7491, 7.350060
371.2312, 7.649979
371.7133, 7.155708
372.1954, 6.658722
372.6776, 5.881638
373.1597, 5.329628
373.6418, 5.552681
374.1239, 6.400597
374.6060, 7.157310
375.0881, 7.230804
375.5703, 6.650375
376.0524, 6.329643
376.5345, 6.520477
377.0166, 6.655128
377.4987, 6.560112
377.9808, 6.282867
378.4630, 5.928070
378.9451, 5.564163
379.4272, 5.227112
379.9093, 4.961609
380.3914, 4.674385
380.8735, 4.656082
381.3557, 5.319534
381.8378, 5.990234
382.3199, 5.952431
382.8020, 5.173241
383.2841, 4.350304
383.7662, 4.433540
384.2484, 5.682915
384.7305, 6.269302
385.2126, 5.318367
385.6947, 4.551910
386.1768, 4.654678
386.6589, 5.275940
387.1411, 5.703773
387.6232, 5.528610
388.1053, 4.977028
388.5874, 4.785477
389.0695, 5.249229
389.5516, 5.498177
390.0338, 5.314621
390.5159, 4.890747
390.9980, 4.307991
391.4801, 3.587997
391.9622, 2.910606
392.4443, 2.469727
392.9265, 2.239059
393.4086, 2.180450
393.8907, 2.535484
394.3728, 2.999313
394.8549, 3.390320
395.3370, 3.661217
395.8192, 3.793938
396.3013, 3.742256
396.7834, 3.607094
397.2655, 3.629646
397.7476, 3.882431
398.2297, 4.043129
398.7119, 3.903595
399.1940, 3.583923
399.6761, 3.197029
400.1582, 2.722542
400.6403, 2.313095
401.1224, 2.071251
401.6046, 1.990280
402.0867, 2.192009
402.5688, 2.950935
403.0509, 3.760506
403.5330, 3.976990
404.0151, 3.586891
404.4973, 3.149544
404.9794, 2.917831
405.4615, 2.829620
405.9436, 2.706413
406.4257, 2.497131
406.9078, 2.396042
407.3900, 2.701202
407.8721, 3.292336
408.3542, 3.523682
408.8363, 2.911835
409.3184, 2.310921
409.8005, 2.436066
410.2827, 3.077049
410.7648, 3.477898
411.2469, 3.280930
411.7290, 2.698112
412.2111, 2.142288
412.6932, 1.443871
413.1754, 1.172699
413.6575, 1.836273
414.1396, 2.749954
414.6217, 3.117317
415.1038, 2.835510
415.5859, 2.472427
416.0681, 2.620903
416.5502, 3.353508
417.0323, 3.760994
417.5144, 3.762665
417.9965, 3.594513
418.4786, 3.222626
418.9608, 2.761528
419.4429, 2.408401
419.9250, 2.267097
420.4071, 2.279495
420.8892, 2.284378
421.3713, 2.205666
421.8535, 2.243637
422.3356, 2.549484
422.8177, 2.870209
423.2998, 2.966827
423.7819, 2.836235
424.2640, 2.697914
424.7462, 2.822472
425.2283, 3.246887
425.7104, 3.366997
426.1925, 2.894569
426.6746, 2.409027
427.1567, 1.949539
427.6389, 1.616455
428.1210, 1.583023
428.6031, 1.960564
429.0852, 2.550491
429.5673, 3.011772
430.0494, 3.404762
430.5316, 3.460197
431.0137, 2.624191
431.4958, 1.763947
431.9779, 1.491058
432.4600, 1.819077
432.9421, 2.261734
433.4243, 2.473183
433.9064, 2.497902
434.3885, 2.518761
434.8706, 2.528885
435.3527, 2.569473
435.8348, 2.636902
436.3170, 2.756058
436.7991, 3.015434
437.2812, 3.611237
437.7633, 4.106323
438.2454, 3.984627
438.7275, 3.333824
439.2097, 2.761047
439.6918, 2.480705
440.1739, 2.365395
440.6560, 2.211617
441.1381, 2.000938
441.6202, 1.872849
442.1024, 1.788681
442.5845, 1.849884
443.0666, 2.402802
443.5487, 3.409180
444.0308, 4.001213
444.5129, 3.356956
444.9951, 1.674896
445.4772, 0.8583300
445.9593, 1.384537
446.4414, 2.080269
446.9235, 2.824768
447.4056, 3.450584
447.8878, 3.666656
448.3699, 3.381073
448.8520, 2.853729
449.3341, 2.460808
449.8162, 2.188103
450.2983, 2.124237
450.7805, 2.446014
451.2626, 2.783775
451.7447, 3.040764
452.2268, 3.155136
452.7089, 2.992180
453.1910, 2.415634
453.6732, 1.585945
454.1553, 1.222824
454.6374, 1.734840
455.1195, 2.018852
455.6016, 1.714813
456.0837, 1.259537
456.5659, 1.030182
457.0480, 1.088554
457.5301, 1.223991
458.0122, 1.230682
458.4943, 1.110588
458.9764, 0.9539490
459.4586, 0.6891710
459.9407, 0.5077900
460.4228, 0.4559170
460.9049, 0.5518340
461.3870, 0.8850020
461.8691, 1.650528
462.3513, 2.395180
462.8334, 2.496353
463.3155, 1.976776
463.7976, 1.389778
464.2797, 0.7584230
464.7618, 0.3155440
465.2440, 0.4884570
465.7261, 1.292450
466.2082, 1.817940
466.6903, 1.521965
467.1724, 0.9126740
467.6545, 0.5964280
468.1367, 0.6196900
468.6188, 0.7417070
469.1009, 0.8155360
469.5830, 0.8638690
470.0651, 0.9898070
470.5472, 1.330109
471.0294, 1.560471
471.5115, 1.597626
471.9936, 1.483162
472.4757, 1.185173
472.9578, 0.7220690
473.4399, 0.3369520
473.9221, 0.3564380
