##NAMES=Saneroite
##RRUFFID=R060488
##IDEAL CHEMISTRY=Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_
##LOCALITY=Molinello mine, Val Graveglia (Graveglia Valley), Ne, Genova, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange colored blebs associated with white quartz, black braunite and brown parsettensite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060488
287.370, 358.260
287.852, 355.439
288.334, 344.295
288.816, 321.267
289.298, 293.143
289.781, 270.016
290.263, 251.885
290.745, 238.743
291.227, 236.098
291.709, 239.722
292.191, 230.958
292.673, 205.431
293.155, 174.476
293.638, 153.598
294.120, 142.335
294.602, 136.037
295.084, 134.450
295.566, 135.916
296.048, 135.734
296.530, 133.227
297.012, 130.720
297.494, 131.915
297.977, 135.999
298.459, 139.354
298.941, 138.070
299.423, 135.441
299.905, 137.487
300.387, 144.922
300.869, 154.946
301.351, 168.269
301.833, 182.392
302.316, 190.224
302.798, 183.252
303.280, 170.554
303.762, 163.794
304.244, 164.037
304.726, 166.943
305.208, 168.924
305.690, 168.804
306.173, 166.652
306.655, 163.435
307.137, 161.131
307.619, 159.917
308.101, 158.982
308.583, 156.042
309.065, 154.360
309.547, 149.983
310.030, 136.591
310.512, 97.626
310.994, 58.997
311.476, 41.398
311.958, 43.265
312.440, 44.721
312.922, 32.694
313.404, 15.769
313.886, 2.593
314.369, 2.229
314.851, 0.069
315.333, 12.770
315.815, 34.508
316.297, 55.371
316.779, 72.991
317.261, 87.151
317.743, 97.718
318.225, 102.699
318.708, 106.351
319.190, 111.920
319.672, 117.684
320.154, 117.792
320.636, 108.727
321.118, 94.761
321.600, 77.528
322.082, 52.192
322.565, 31.756
323.047, 23.524
323.529, 22.187
324.011, 15.524
324.493, 1.865
324.975, 21.919
325.457, 41.118
325.939, 56.441
326.422, 76.649
326.904, 106.083
327.386, 140.161
327.868, 170.939
328.350, 193.105
328.832, 217.383
329.314, 245.604
329.796, 276.366
330.278, 316.304
330.760, 367.424
331.243, 426.160
331.725, 489.199
332.207, 559.983
332.689, 630.130
333.171, 696.362
333.653, 758.522
334.135, 824.595
334.617, 896.938
335.100, 970.007
335.582, 1037.058
336.064, 1095.635
336.546, 1154.443
337.028, 1216.133
337.510, 1279.504
337.992, 1339.898
338.474, 1399.429
338.957, 1451.703
339.439, 1487.758
339.921, 1503.722
340.403, 1529.833
340.885, 1573.734
341.367, 1628.376
341.849, 1670.597
342.331, 1699.923
342.813, 1721.778
343.296, 1739.793
343.778, 1753.844
344.260, 1760.642
344.742, 1757.654
345.224, 1751.458
345.706, 1756.768
346.188, 1773.294
346.670, 1785.769
347.152, 1782.438
347.635, 1767.830
348.117, 1757.639
348.599, 1752.961
349.081, 1751.706
349.563, 1752.839
350.045, 1755.521
350.527, 1756.889
351.009, 1756.128
351.491, 1752.707
351.974, 1743.251
352.456, 1727.141
352.938, 1714.073
353.420, 1717.586
353.902, 1729.769
354.384, 1736.008
354.866, 1723.611
355.349, 1708.034
355.831, 1703.730
356.313, 1710.063
356.795, 1720.423
357.277, 1734.075
357.759, 1748.417
358.241, 1759.775
358.723, 1761.181
359.205, 1767.359
359.688, 1792.899
360.170, 1831.765
360.652, 1863.136
361.134, 1859.866
361.616, 1857.630
362.098, 1882.688
362.580, 1955.091
363.062, 2022.906
363.544, 2067.718
364.027, 2097.550
364.509, 2127.846
364.991, 2151.791
365.473, 2185.858
365.955, 2238.055
366.437, 2313.767
366.919, 2391.076
367.401, 2468.129
367.884, 2544.930
368.366, 2621.061
368.848, 2697.434
369.330, 2772.043
369.812, 2843.670
